id,brand,product_name,form,life_stage,kcal_per_100g,protein_percent,fat_percent,fiber_percent,ash_percent,moisture_percent,carbs_percent,ingredients_raw,ingredients_tokens,contains_chicken,grain_free,pack_sizes,gtin,retailer_source,retailer_url,retailer_product_id,retailer_sku,retailer_price_eur,retailer_original_price_eur,retailer_currency,retailer_in_stock,retailer_stock_level,retailer_rating,retailer_review_count,image_url,image_urls,image_primary_url,feeding_guidelines,additives,analytical_constituents_raw,available_countries,shipping_countries,vat_included,api_response,last_api_sync,data_source,created_at,updated_at,last_scraped_at,fingerprint,data_complete,verified
c03e0d80-1a8e-4a2f-974b-336a2c561349,Royal Canin Veterinary & Expert,Royal Canin Veterinary Dog - Mobility Support,dry,,,25.0,11.9,3.0,5.6,,,"Dry food for adult dogs, helping to support natural joint function with a moderate energy content for weight management, including beneficial omega-3 fatty acids and green-lipped mussel extract.",,False,,[],,zooplus,https://www.zooplus.com/shop/dogs/dry_dog_food/royal_canin_vet_diet/313820?activeVariant=313820.7,12kg,12kg,118.99,118.99,EUR,,,5.0,15,https://media.zooplus.com/bilder/4/400/rc_vet_dry_dogmob_mv_eretailkit_de_de_4.jpg,"['https://media.zooplus.com/bilder/4/400/rc_vet_dry_dogmob_mv_eretailkit_de_de_4.jpg', 'https://media.zooplus.com/bilder/4/50/rc_vet_dry_dogmob_mv_eretailkit_de_de_4.jpg', 'https://media.zooplus.com/bilder/1/400/198396_198496_pla_elvetis_royalcanin_veterinarydiet_canine_mobility_hs_01_1.jpg', 'https://media.zooplus.com/bilder/1/50/198396_198496_pla_elvetis_royalcanin_veterinarydiet_canine_mobility_hs_01_1.jpg']",,,,,['UK'],,True,,,scraper,2025-09-08T16:17:40.43111+00:00,2025-09-08T16:17:40.43111+00:00,2025-09-08T15:26:56.122+00:00,,True,False
af1cd192-93f4-46f7-842f-60d89048084f,Happy Dog Supreme,Happy Dog Supreme fit & vital Maxi Adult,dry,,,23.0,13.0,,7.0,,,"Wheat-free dry food for large dogs weighing 26kg+. Made with a varied protein source, larger kibble for large breeds, with New Zealand mussels and omega fatty acids. Previously: Fit & Well Maxi Adult",,False,,[],,zooplus,https://www.zooplus.com/shop/dogs/dry_dog_food/happy_dog/fit_vital/945829?activeVariant=945829.1,945829,945829,53.49,53.49,EUR,,,0.0,0,https://media.zooplus.com/bilder/6/400/_interquell_happydog_supreme_fitvital_maxi_adult__hs_02_6.jpg,"['https://media.zooplus.com/bilder/6/400/_interquell_happydog_supreme_fitvital_maxi_adult__hs_02_6.jpg', 'https://media.zooplus.com/bilder/6/50/_interquell_happydog_supreme_fitvital_maxi_adult__hs_02_6.jpg']",,,,,['UK'],,True,,,scraper,2025-09-08T16:17:40.43111+00:00,2025-09-08T16:17:40.43111+00:00,2025-09-08T15:26:57.521+00:00,,True,False
b5e7e99d-3e77-49ef-83f6-6eac1683af7f,Concept for Life,Concept for Life Large Puppy & Junior,dry,,,31.0,15.0,,6.8,,,"Concept for Life Large Puppy & Junior has been specially developed to optimally support the unique nutritional needs of growing puppies and junior dogs of large breeds (adult weight 26-44 kg).

Concept for Life offers optimised, scientifically based nutrition.

Product advantages:

Brain development
The omega-3 fatty acids contained in salmon oil can support normal brain development and increase learning ability.
Harmonious growth
The balanced protein content and moderate energy intake can promote even growth and minimise the risk of excessive weight gain during the prolonged growth phase of large dogs.
Bones and teeth
The increased vitamin D3 content and the balanced ratio of calcium and phosphorus support optimum bone and tooth development during the growth phase. The formula also contains the two natural cartilage components glucosamine and chondroitin sulphate.
Support for the body's natural defences
The special vitamin and antioxidant complex with aronia berries, hops and green tea can strengthen the body's defences and support the immune system during the growth phase.

Excellent acceptance and tolerability
The balanced recipe with fresh meat and high-quality ingredients ensures optimum acceptance, even with fussy puppies.
Well-balanced nutrients
This recipe provides all the essential proteins, fatty acids, vitamins and minerals required for optimum all-round nutrition.
Dental care
The special structure of the kibble can support dental hygiene.

.

This scientifically based formula promotes optimal development during the critical growth phase and supports your dog's vitality.

Available in the sizes: 1.5kg, 6kg, 12kg and 24kg.

Try it too:

Snacks & Feed supplement

Concept for Life Insect Snack
Concept for Life salmon oil
Concept for Life Prebiotic Snack with chicken",,False,,[],,zooplus,https://www.zooplus.com/shop/dogs/dry_dog_food/concept_for_life/concept_for_life_large/561475?activeVariant=561475.7,561475,561475,92.99,92.99,EUR,,,4.0,25,https://media.zooplus.com/bilder/6/400/66951_pla_concept_for_life_large_junior_12_kg_6.jpg,"['https://media.zooplus.com/bilder/6/400/66951_pla_concept_for_life_large_junior_12_kg_6.jpg', 'https://media.zooplus.com/bilder/6/50/66951_pla_concept_for_life_large_junior_12_kg_6.jpg', 'https://media.zooplus.com/bilder/0/19584_CFL_Dog_Dry_1_PetNeed_SizeAgeLargeJunior_GB_0.jpg', 'https://media.zooplus.com/bilder/9/Concept_for_Life_Entwickelt_mitTierrzten_und_Ernhrungsexperten15_9.jpg', 'https://media.zooplus.com/bilder/7/400/concept_for_life_large_puppy_junior_brain_development_harmonious_growth_7.jpg', 'https://media.zooplus.com/bilder/5/19584_CFL_Dog_Dry_4_BrandRTB_SizeAgeLargeJunior_GB_5.jpg', 'https://media.zooplus.com/bilder/7/50/concept_for_life_large_puppy_junior_brain_development_harmonious_growth_7.jpg', 'https://media.zooplus.com/bilder/4/800/concept_for_life_hund_hundefutter_trocken_large_puppy_junior_12kg_4.jpg']",,,,,['UK'],,True,,,scraper,2025-09-08T16:17:40.43111+00:00,2025-09-08T16:17:40.43111+00:00,2025-09-08T15:27:00.423+00:00,,True,False
e733ab96-d4bb-4048-a6de-0478b9044658,Royal Canin Breed,Royal Canin Shih Tzu Puppy,dry,,,28.0,18.0,1.5,7.6,,,"Complete dry dog food for Shih Tzu puppies up to 10 months of age, with omega-3 fatty acids and vitamins to support healthy skin and coat, alongside L.I.P. proteins and prebiotics for good digestion.",,False,,[],,zooplus,https://www.zooplus.com/shop/dogs/dry_dog_food/royal_canin_breed/shih_tzu/207891?activeVariant=207891.7,207891,207891,14.99,14.99,EUR,,,1.5,8,https://media.zooplus.com/bilder/1/400/84451_pla_royalcanin_puppyhund_shihtzu_1.jpg,"['https://media.zooplus.com/bilder/1/400/84451_pla_royalcanin_puppyhund_shihtzu_1.jpg', 'https://media.zooplus.com/bilder/1/50/84451_pla_royalcanin_puppyhund_shihtzu_1.jpg', 'https://media.zooplus.com/bilder/6/50/61168_PLA_rgb_Royal_Canin_Shih_Tzu_Junior_6.jpg', 'https://media.zooplus.com/bilder/6/800/61168_PLA_rgb_Royal_Canin_Shih_Tzu_Junior_6.jpg', 'https://media.mediazs.com/bilder/1/rc_bhn_puppyshihtzu_cv_eretailkit_2__6_1.jpg', 'https://media.mediazs.com/bilder/1/rc_bhn_puppyshihtzu_cv_eretailkit_3__8_1.jpg']",,,,,['UK'],,True,,,scraper,2025-09-08T16:17:40.43111+00:00,2025-09-08T16:17:40.43111+00:00,2025-09-08T15:27:01.725+00:00,,True,False
70fa3a40-0463-4f8e-bc2e-abcc2ec3f3ac,Purizon,Purizon Venison with Rabbit Adult – Grain-free,dry,,,39.0,18.0,1.5,8.9,,,"Meat and protein-rich dry dog food, with 39% top quality meat from delicious venison and rabbit. This tasty kibble is made to a unique 80:20:0 recipe with 80% meat ingredients. No grain or gluten.

Purizon Adult Dog - Grain-Free Venison with Rabbit at a glance:

Meat and protein-rich complete dry dog food
80:20:0 recipe: 39% animal protein from top quality ingredients including fresh meat and fresh fish
Grain-free with 20% fruit, vegetables and herbs
Irresistible combination of 39% fresh game meat and tender rabbit

Purizon Adult - Grain-free Venison with Rabbit dry dog food is is based on the natural carnivorous diet of dogs and made to a unique recipe with a balanced mix of meat and fish ingredients. All dogs, no matter what their breed or size, need a meat and protein-rich diet. Each Purizon 80:20:0 recipe is formulated to meet this dietary need and contains 80% meat & fish ingredients, as well as a 20% nutrient-rich mix of fruit, vegetables and herbs.

This premium, complete dog food contains 0% grain and gluten and is free from artificial preservatives and colours. It provides your dog with an easy to digest meal with 39% animal protein and other essential nutrients, vitamins, minerals and roughage.

Your dog will savour the taste of this kibble with tasty fresh venison and rabbit.

Purizon: Nature is our Inspiration

Available in the following sizes:

1kg
4kg (4 x 1kg)
12kg
Economy Pack: 2 x 12kg",,False,,[],,zooplus,https://www.zooplus.com/shop/dogs/dry_dog_food/purizon/purizon_grainfree/983632?activeVariant=983632.0,983632,983632,7.49,7.49,EUR,,,1.0,13,https://media.zooplus.com/bilder/9/400/2024_09_purizon_dog_adult_venison_rabbit_1kg_1000x1000_9.jpg,"['https://media.zooplus.com/bilder/9/400/2024_09_purizon_dog_adult_venison_rabbit_1kg_1000x1000_9.jpg', 'https://media.zooplus.com/bilder/9/50/2024_09_purizon_dog_adult_venison_rabbit_1kg_1000x1000_9.jpg', 'https://media.zooplus.com/bilder/2/800/purizon_idcard_venison_1000x1000_1__2.jpg', 'https://media.zooplus.com/bilder/6/800/purizon_marketingboard_0_6.jpg', 'https://media.zooplus.com/bilder/2/50/purizon_idcard_venison_1000x1000_1__2.jpg']",,,,,['UK'],,True,,,scraper,2025-09-08T16:17:40.43111+00:00,2025-09-08T16:17:40.43111+00:00,2025-09-08T15:27:01.239+00:00,,True,False
1090ce7e-6280-4d3e-baa7-7f2ad8fa4c35,PURINA PRO PLAN,PURINA PRO PLAN All Size Adult Performance,dry,,,31.0,21.0,2.0,7.5,,,"Dry food for adult dogs with a high level of activity, lots of high-quality proteins and fats, covers high energy requirements, with vitamin D, minerals and omega-3 fatty acids. Before: OPTIPOWER",,False,,[],,zooplus,https://www.zooplus.com/shop/dogs/dry_dog_food/purina_pro_plan/adult/128289?activeVariant=128289.8,128289,128289,67.99,67.99,EUR,,,5.0,9,https://media.zooplus.com/bilder/4/400/92096_pla_purina_proplan_allsize_adult_performance_optipower_14kg_hs_01_4.jpg,"['https://media.zooplus.com/bilder/4/400/92096_pla_purina_proplan_allsize_adult_performance_optipower_14kg_hs_01_4.jpg', 'https://media.zooplus.com/bilder/4/50/92096_pla_purina_proplan_allsize_adult_performance_optipower_14kg_hs_01_4.jpg', 'https://media.zooplus.com/bilder/5/400/07613035122833_h1n1_01_gb_44152236_5.jpg', 'https://media.zooplus.com/bilder/5/50/07613035122833_h1n1_01_gb_44152236_5.jpg', 'https://media.zooplus.com/bilder/4/800/92096_pla_purina_proplan_allsize_adult_performance_optipower_14kg_hs_01_4.jpg', 'https://media.zooplus.com/bilder/3/800/b00y9ssxd0_pt01_3.jpg']",,,,,['UK'],,True,,,scraper,2025-09-08T16:17:40.43111+00:00,2025-09-08T16:17:40.43111+00:00,2025-09-08T15:27:05.331+00:00,,True,False
66f4c543-b6b1-41e9-9cca-3fb8a9665535,JULIUS-K9,JULIUS K-9 Puppy & Junior Grain Free Lamb & Herbals,dry,,,30.0,16.0,6.5,11.0,10.0,,"Hypoallergenic dry food for young dogs with high activity levels, with a grain- and gluten-free recipe rich in energy and protein, with prebiotics for optimum digestion, with no added sugar.",,False,,[],,zooplus,https://www.zooplus.com/shop/dogs/dry_dog_food/julius_k9/puppy/1996219?activeVariant=1996219.1,1996219.1,1996219.1,85.49,85.49,EUR,,,0.0,0,https://media.zooplus.com/bilder/8/400/463520_pla_julius_k_9_10kg_puppy_juniormb_herbals_hs_01_8.jpg,"['https://media.zooplus.com/bilder/8/50/463520_pla_julius_k_9_10kg_puppy_juniormb_herbals_hs_01_8.jpg', 'https://media.zooplus.com/bilder/8/400/463520_pla_julius_k_9_10kg_puppy_juniormb_herbals_hs_01_8.jpg']",,,,,['UK'],,True,,,scraper,2025-09-08T16:17:43.10859+00:00,2025-09-08T16:17:43.10859+00:00,2025-09-08T15:44:26.434+00:00,,True,False
65500824-5d40-47d7-ab12-51f746a5b432,Concept for Life,Concept for Life Large Senior,dry,,,,15.0,3.0,,,,"High premium dry food, formulated specifically for large breed senior dogs aged 6+ years. This complete dog food promotes your dog's vitality, protects cells against ageing and keeps joints healthy.",,False,,[],,zooplus,https://www.zooplus.com/shop/dogs/dry_dog_food/concept_for_life/concept_for_life_large/561476?activeVariant=561476.6,561476,561476,47.99,47.99,EUR,,,5.0,22,https://media.zooplus.com/bilder/0/400/66879_pla_concept_for_life_large_senior_12kg_0.jpg,"['https://media.zooplus.com/bilder/0/400/66879_pla_concept_for_life_large_senior_12kg_0.jpg', 'https://media.zooplus.com/bilder/0/50/66879_pla_concept_for_life_large_senior_12kg_0.jpg', 'https://media.zooplus.com/bilder/2/400/concept_for_life_senior_large_vitality_support_ideal_weight_management_2.jpg', 'https://media.zooplus.com/bilder/2/50/concept_for_life_senior_large_vitality_support_ideal_weight_management_2.jpg', 'https://media.zooplus.com/bilder/0/800/66879_pla_concept_for_life_large_senior_12kg_0.jpg', 'https://media.zooplus.com/bilder/5/800/66878_pla_concept_for_life_large_senior_1_5kg_5.jpg']",,,,,['UK'],,True,,,scraper,2025-09-08T16:17:40.43111+00:00,2025-09-08T16:17:40.43111+00:00,2025-09-08T15:27:10.931+00:00,,True,False
f96f71a8-f234-4415-bb21-bcaddd33f133,Wolf of Wilderness,Wolf of Wilderness Soft “Green Fields” - Lamb,dry,,,26.0,16.5,2.0,6.9,18.0,,"A wholesome semi-moist dry dog food based around the natural nutrition of a wolf in the wild, with plenty of delicious meat and a high moisture content for softer kibble pieces.",,False,,[],,zooplus,https://www.zooplus.com/shop/dogs/dry_dog_food/wolf_of_wilderness/semi_moist/684709?activeVariant=684709.0,684709,684709,33.99,33.99,EUR,,,5.0,19,https://media.zooplus.com/bilder/1/400/wow_soft_2022_greenfields_front_1kg_1000x1000_1.jpg,"['https://media.mediazs.com/bilder/2/Wow_IDcard_Softstrong_GreenFields_1000x650_EN_2.jpg', 'https://media.zooplus.com/bilder/1/400/wow_soft_2022_greenfields_front_1kg_1000x1000_1.jpg', 'https://media.zooplus.com/bilder/1/50/wow_soft_2022_greenfields_front_1kg_1000x1000_1.jpg', 'https://media.zooplus.com/bilder/8/400/wow_soft_2022_greenfields_leftside_12kg_1000x1000_8.jpg', 'https://media.zooplus.com/bilder/8/800/5_wow_newbrandboard_dry_food_snacks_2023_8.jpg', 'https://media.zooplus.com/bilder/8/50/wow_soft_2022_greenfields_leftside_12kg_1000x1000_8.jpg', 'https://media.zooplus.com/bilder/5/800/wow__soft_strong__kaninchen____14_16_mm_5.jpg', 'https://media.zooplus.com/bilder/8/50/5_wow_newbrandboard_dry_food_snacks_2023_8.jpg', 'https://media.zooplus.com/bilder/3/800/2_wow_benefitboard_soft_strong_greenfields_1000x1000_de_3.jpg']",,,,,['UK'],,True,,,scraper,2025-09-08T16:17:40.43111+00:00,2025-09-08T16:17:40.43111+00:00,2025-09-08T15:27:39.024+00:00,,True,False
851b4e73-4a61-4f3f-b2ce-361a406dbe24,Royal Canin Veterinary & Expert,Royal Canin Veterinary Dog - Gastrointestinal Puppy,dry,,,29.0,22.0,1.3,7.9,,,"Dietetic dry food for puppies with chronic and acute stomach and digestive issues such as gastritis, diarrhoea and colitis, with FOS for balanced intestinal flora and with digestible protein.",,False,,[],,zooplus,https://www.zooplus.com/shop/dogs/dry_dog_food/royal_canin_vet_diet/567605?activeVariant=567605.5,567605,567605,191.99,191.99,EUR,,,5.0,5,https://media.zooplus.com/bilder/4/400/vhn_gastrointestinal_puppy__dog_dry_packshot_high_res____print_4.jpg,"['https://media.zooplus.com/bilder/4/400/vhn_gastrointestinal_puppy__dog_dry_packshot_high_res____print_4.jpg', 'https://media.zooplus.com/bilder/4/50/vhn_gastrointestinal_puppy__dog_dry_packshot_high_res____print_4.jpg', 'https://media.zooplus.com/bilder/0/400/rc_vet_dry_doggastropu_eretailkit_b1_page_1_0.jpg', 'https://media.zooplus.com/bilder/0/50/rc_vet_dry_doggastropu_eretailkit_b1_page_1_0.jpg', 'https://media.zooplus.com/bilder/3/800/rc_vet_dry_doggastropu_eretailkit_b1_page_2_3.jpg', 'https://media.zooplus.com/bilder/0/800/rc_vet_dry_doggastropu_eretailkit_b1_page_3_0.jpg', 'https://media.zooplus.com/bilder/3/50/rc_vet_dry_doggastropu_eretailkit_b1_page_2_3.jpg', 'https://media.zooplus.com/bilder/1/50/rc_vet_dry_doggastropu_eretailkit_b1_page_9_1.jpg']",,,,,['UK'],,True,,,scraper,2025-09-08T16:17:40.43111+00:00,2025-09-08T16:17:40.43111+00:00,2025-09-08T15:27:11.427+00:00,,True,False
