product_key,brand,brand_slug,product_name,name_slug,form,life_stage,kcal_per_100g,kcal_is_estimated,protein_percent,fat_percent,ingredients_tokens,primary_protein,has_chicken,has_poultry,available_countries,price_per_kg,price_bucket,image_url,product_url,source,updated_at,quality_score,sources
4paws|supplies_premium_cold_pressed_omega_salmon|unknown,4PAWS,4paws,Supplies Premium Cold Pressed Omega Salmon,supplies_premium_cold_pressed_omega_salmon,dry,senior,366.0,False,2.0,6.0,[],,False,False,"['UK', 'EU']",,,https://cibjeqgftuxuezarjsdl.supabase.co/storage/v1/object/public/dog-food/4paws-supplies-premium-cold-pressed-omega-salmon.jpg?,https://petfoodexpert.com/food/4paws-supplies-premium-cold-pressed-omega-salmon,food_candidates,2025-09-07T02:11:08.395738+00:00,2,"[{'source': 'food_candidates', 'updated_at': '2025-09-07T02:11:08.395738+00:00'}]"
4paws|supplies_premium_cold_pressed_tasty_chicken|unknown,4PAWS,4paws,Supplies Premium Cold Pressed Tasty Chicken,supplies_premium_cold_pressed_tasty_chicken,dry,senior,366.0,False,2.0,6.0,[],,False,False,"['UK', 'EU']",,,https://cibjeqgftuxuezarjsdl.supabase.co/storage/v1/object/public/dog-food/4paws-supplies-premium-cold-pressed-tasty-chicken.jpg?,https://petfoodexpert.com/food/4paws-supplies-premium-cold-pressed-tasty-chicken,food_candidates,2025-09-07T02:11:11.351198+00:00,2,"[{'source': 'food_candidates', 'updated_at': '2025-09-07T02:11:11.351198+00:00'}]"
4paws|supplies_working_dog_cold_pressed_brilliant_beef|unknown,4PAWS,4paws,Supplies Working Dog Cold Pressed Brilliant Beef,supplies_working_dog_cold_pressed_brilliant_beef,dry,senior,366.0,False,2.0,6.0,[],,False,False,"['UK', 'EU']",,,https://cibjeqgftuxuezarjsdl.supabase.co/storage/v1/object/public/dog-food/4paws-supplies-working-dog-cold-pressed-brilliant-beef.jpg?,https://petfoodexpert.com/food/4paws-supplies-working-dog-cold-pressed-brilliant-beef,food_candidates,2025-09-07T02:11:14.884841+00:00,2,"[{'source': 'food_candidates', 'updated_at': '2025-09-07T02:11:14.884841+00:00'}]"
4paws|supplies_working_dog_cold_pressed_choice_chicken|unknown,4PAWS,4paws,Supplies Working Dog Cold Pressed Choice Chicken,supplies_working_dog_cold_pressed_choice_chicken,dry,senior,366.0,False,2.0,6.0,[],,False,False,"['UK', 'EU']",,,https://cibjeqgftuxuezarjsdl.supabase.co/storage/v1/object/public/dog-food/4paws-supplies-working-dog-cold-pressed-choice-chicken.jpg?,https://petfoodexpert.com/food/4paws-supplies-working-dog-cold-pressed-choice-chicken,food_candidates,2025-09-07T02:11:18.466447+00:00,2,"[{'source': 'food_candidates', 'updated_at': '2025-09-07T02:11:18.466447+00:00'}]"
4paws|supplies_working_dog_cold_pressed_palatable_pork|unknown,4PAWS,4paws,Supplies Working Dog Cold Pressed Palatable Pork,supplies_working_dog_cold_pressed_palatable_pork,dry,senior,362.5,False,2.0,6.0,[],,False,False,"['UK', 'EU']",,,https://cibjeqgftuxuezarjsdl.supabase.co/storage/v1/object/public/dog-food/4paws-supplies-working-dog-cold-pressed-palatable-pork.jpg?,https://petfoodexpert.com/food/4paws-supplies-working-dog-cold-pressed-palatable-pork,food_candidates,2025-09-07T02:11:21.784035+00:00,2,"[{'source': 'food_candidates', 'updated_at': '2025-09-07T02:11:21.784035+00:00'}]"
eukanuba|adult_dachshund|unknown,Eukanuba,eukanuba,Adult Dachshund,adult_dachshund,dry,adult,376.0,False,4.0,8.0,"['chicken', 'rice', 'maize', 'barley', 'animal fat', 'dried beet pulp', 'minerals', 'vitamins']",,False,False,"['UK', 'EU']",12.5,,https://cibjeqgftuxuezarjsdl.supabase.co/storage/v1/object/public/dog-food/eukanuba-adult-dachshund.jpg?,https://petfoodexpert.com/food/eukanuba-adult-dachshund,food_candidates,2025-09-11T10:27:13.139708+00:00,2,"[{'source': 'food_candidates', 'updated_at': '2025-09-06T23:25:53.392843+00:00'}, {'manufacturer_harvest': {'batch': 'test_20250911', 'timestamp': '2025-09-11T10:27:13.139708+00:00', 'confidence': 1.0}}]"
"4pawsraw|grain_free_puppy_chicken,_turkey,_salmon_sweet_potato__carrot|raw",4PAWSRAW,4pawsraw,"Grain Free Puppy Chicken, Turkey, Salmon Sweet Potato  Carrot","grain_free_puppy_chicken,_turkey,_salmon_sweet_potato__carrot",raw,puppy,366.0,False,10.0,6.0,[],,False,False,"['UK', 'EU']",,,https://cibjeqgftuxuezarjsdl.supabase.co/storage/v1/object/public/dog-food/4pawsraw-puppy-chicken-turkey-salmon-sweet-potato-carrot.jpg?,https://petfoodexpert.com/food/4pawsraw-puppy-chicken-turkey-salmon-sweet-potato-carrot,food_candidates,2025-09-07T03:01:24.488756+00:00,3,"[{'source': 'food_candidates', 'updated_at': '2025-09-07T03:01:24.488756+00:00'}]"
4pawsraw|grain_free_angus_beef_with_carrot|raw,4PAWSRAW,4pawsraw,Grain Free Angus Beef with Carrot,grain_free_angus_beef_with_carrot,raw,adult,366.0,False,8.0,6.0,[],,False,False,"['UK', 'EU']",,,https://cibjeqgftuxuezarjsdl.supabase.co/storage/v1/object/public/dog-food/4pawsraw-grain-free-angus-beef-with-carrot.jpg?,https://petfoodexpert.com/food/4pawsraw-grain-free-angus-beef-with-carrot,food_candidates,2025-09-07T03:01:30.640576+00:00,3,"[{'source': 'food_candidates', 'updated_at': '2025-09-07T03:01:30.640576+00:00'}]"
4pawsraw|grain_free_chicken_sweet_potato__herbs|raw,4PAWSRAW,4pawsraw,Grain Free Chicken Sweet Potato  Herbs,grain_free_chicken_sweet_potato__herbs,raw,adult,366.0,False,10.0,6.0,[],,False,False,"['UK', 'EU']",,,https://cibjeqgftuxuezarjsdl.supabase.co/storage/v1/object/public/dog-food/4pawsraw-chicken-sweet-potato-herbs.jpg?,https://petfoodexpert.com/food/4pawsraw-chicken-sweet-potato-herbs,food_candidates,2025-09-07T03:01:21.113269+00:00,3,"[{'source': 'food_candidates', 'updated_at': '2025-09-07T03:01:21.113269+00:00'}]"
"4pawsraw|grain_free_haddock,_sweet_potato_with_parsley|raw",4PAWSRAW,4pawsraw,"Grain Free Haddock, Sweet Potato With Parsley","grain_free_haddock,_sweet_potato_with_parsley",raw,adult,366.0,False,8.0,6.0,[],,False,False,"['UK', 'EU']",,,https://cibjeqgftuxuezarjsdl.supabase.co/storage/v1/object/public/dog-food/4pawsraw-grain-free-haddock-sweet-potato-with-parsley.jpg?,https://petfoodexpert.com/food/4pawsraw-grain-free-haddock-sweet-potato-with-parsley,food_candidates,2025-09-07T03:01:53.651829+00:00,3,"[{'source': 'food_candidates', 'updated_at': '2025-09-07T03:01:53.651829+00:00'}]"
