brand,product_name,brand_slug,name_slug,product_key,product_url,image_url,source,form,life_stage,ingredients_tokens,available_countries,sources,kcal_per_100g,kcal_per_100g_final,kcal_is_estimated,protein_percent,fat_percent,primary_protein,price_per_kg,price_bucket,quality_score,has_chicken,has_poultry,updated_at,allowlist_status,allowlist_updated_at
4PAWS,Supplies Premium Cold Pressed Omega Salmon,4paws,supplies_premium_cold_pressed_omega_salmon,4paws|supplies_premium_cold_pressed_omega_salmon|unknown,https://petfoodexpert.com/food/4paws-supplies-premium-cold-pressed-omega-salmon,https://cibjeqgftuxuezarjsdl.supabase.co/storage/v1/object/public/dog-food/4paws-supplies-premium-cold-pressed-omega-salmon.jpg?,food_candidates,dry,senior,[],"['UK', 'EU']","[{'source': 'food_candidates', 'updated_at': '2025-09-07T02:11:08.395738+00:00'}]",366.0,366.0,False,2.0,6.0,,,,2,False,False,2025-09-07T02:11:08.395738+00:00,PENDING,
4PAWS,Supplies Premium Cold Pressed Tasty Chicken,4paws,supplies_premium_cold_pressed_tasty_chicken,4paws|supplies_premium_cold_pressed_tasty_chicken|unknown,https://petfoodexpert.com/food/4paws-supplies-premium-cold-pressed-tasty-chicken,https://cibjeqgftuxuezarjsdl.supabase.co/storage/v1/object/public/dog-food/4paws-supplies-premium-cold-pressed-tasty-chicken.jpg?,food_candidates,dry,senior,[],"['UK', 'EU']","[{'source': 'food_candidates', 'updated_at': '2025-09-07T02:11:11.351198+00:00'}]",366.0,366.0,False,2.0,6.0,,,,2,False,False,2025-09-07T02:11:11.351198+00:00,PENDING,
4PAWS,Supplies Working Dog Cold Pressed Brilliant Beef,4paws,supplies_working_dog_cold_pressed_brilliant_beef,4paws|supplies_working_dog_cold_pressed_brilliant_beef|unknown,https://petfoodexpert.com/food/4paws-supplies-working-dog-cold-pressed-brilliant-beef,https://cibjeqgftuxuezarjsdl.supabase.co/storage/v1/object/public/dog-food/4paws-supplies-working-dog-cold-pressed-brilliant-beef.jpg?,food_candidates,dry,senior,[],"['UK', 'EU']","[{'source': 'food_candidates', 'updated_at': '2025-09-07T02:11:14.884841+00:00'}]",366.0,366.0,False,2.0,6.0,,,,2,False,False,2025-09-07T02:11:14.884841+00:00,PENDING,
4PAWS,Supplies Working Dog Cold Pressed Choice Chicken,4paws,supplies_working_dog_cold_pressed_choice_chicken,4paws|supplies_working_dog_cold_pressed_choice_chicken|unknown,https://petfoodexpert.com/food/4paws-supplies-working-dog-cold-pressed-choice-chicken,https://cibjeqgftuxuezarjsdl.supabase.co/storage/v1/object/public/dog-food/4paws-supplies-working-dog-cold-pressed-choice-chicken.jpg?,food_candidates,dry,senior,[],"['UK', 'EU']","[{'source': 'food_candidates', 'updated_at': '2025-09-07T02:11:18.466447+00:00'}]",366.0,366.0,False,2.0,6.0,,,,2,False,False,2025-09-07T02:11:18.466447+00:00,PENDING,
4PAWS,Supplies Working Dog Cold Pressed Palatable Pork,4paws,supplies_working_dog_cold_pressed_palatable_pork,4paws|supplies_working_dog_cold_pressed_palatable_pork|unknown,https://petfoodexpert.com/food/4paws-supplies-working-dog-cold-pressed-palatable-pork,https://cibjeqgftuxuezarjsdl.supabase.co/storage/v1/object/public/dog-food/4paws-supplies-working-dog-cold-pressed-palatable-pork.jpg?,food_candidates,dry,senior,[],"['UK', 'EU']","[{'source': 'food_candidates', 'updated_at': '2025-09-07T02:11:21.784035+00:00'}]",362.5,362.5,False,2.0,6.0,,,,2,False,False,2025-09-07T02:11:21.784035+00:00,PENDING,
Eukanuba,Adult Dachshund,eukanuba,adult_dachshund,eukanuba|adult_dachshund|unknown,https://petfoodexpert.com/food/eukanuba-adult-dachshund,https://cibjeqgftuxuezarjsdl.supabase.co/storage/v1/object/public/dog-food/eukanuba-adult-dachshund.jpg?,food_candidates,dry,adult,"['chicken', 'rice', 'maize', 'barley', 'animal fat', 'dried beet pulp', 'minerals', 'vitamins']","['UK', 'EU']","[{'source': 'food_candidates', 'updated_at': '2025-09-06T23:25:53.392843+00:00'}, {'manufacturer_harvest': {'batch': 'test_20250911', 'timestamp': '2025-09-11T10:27:13.139708+00:00', 'confidence': 1.0}}]",376.0,376.0,False,4.0,8.0,,12.5,,2,False,False,2025-09-11T10:27:13.139708+00:00,PENDING,
4PAWSRAW,"Grain Free Puppy Chicken, Turkey, Salmon Sweet Potato  Carrot",4pawsraw,"grain_free_puppy_chicken,_turkey,_salmon_sweet_potato__carrot","4pawsraw|grain_free_puppy_chicken,_turkey,_salmon_sweet_potato__carrot|raw",https://petfoodexpert.com/food/4pawsraw-puppy-chicken-turkey-salmon-sweet-potato-carrot,https://cibjeqgftuxuezarjsdl.supabase.co/storage/v1/object/public/dog-food/4pawsraw-puppy-chicken-turkey-salmon-sweet-potato-carrot.jpg?,food_candidates,raw,puppy,[],"['UK', 'EU']","[{'source': 'food_candidates', 'updated_at': '2025-09-07T03:01:24.488756+00:00'}]",366.0,366.0,False,10.0,6.0,,,,3,False,False,2025-09-07T03:01:24.488756+00:00,PENDING,
4PAWSRAW,Grain Free Angus Beef with Carrot,4pawsraw,grain_free_angus_beef_with_carrot,4pawsraw|grain_free_angus_beef_with_carrot|raw,https://petfoodexpert.com/food/4pawsraw-grain-free-angus-beef-with-carrot,https://cibjeqgftuxuezarjsdl.supabase.co/storage/v1/object/public/dog-food/4pawsraw-grain-free-angus-beef-with-carrot.jpg?,food_candidates,raw,adult,[],"['UK', 'EU']","[{'source': 'food_candidates', 'updated_at': '2025-09-07T03:01:30.640576+00:00'}]",366.0,366.0,False,8.0,6.0,,,,3,False,False,2025-09-07T03:01:30.640576+00:00,PENDING,
4PAWSRAW,Grain Free Chicken Sweet Potato  Herbs,4pawsraw,grain_free_chicken_sweet_potato__herbs,4pawsraw|grain_free_chicken_sweet_potato__herbs|raw,https://petfoodexpert.com/food/4pawsraw-chicken-sweet-potato-herbs,https://cibjeqgftuxuezarjsdl.supabase.co/storage/v1/object/public/dog-food/4pawsraw-chicken-sweet-potato-herbs.jpg?,food_candidates,raw,adult,[],"['UK', 'EU']","[{'source': 'food_candidates', 'updated_at': '2025-09-07T03:01:21.113269+00:00'}]",366.0,366.0,False,10.0,6.0,,,,3,False,False,2025-09-07T03:01:21.113269+00:00,PENDING,
4PAWSRAW,"Grain Free Haddock, Sweet Potato With Parsley",4pawsraw,"grain_free_haddock,_sweet_potato_with_parsley","4pawsraw|grain_free_haddock,_sweet_potato_with_parsley|raw",https://petfoodexpert.com/food/4pawsraw-grain-free-haddock-sweet-potato-with-parsley,https://cibjeqgftuxuezarjsdl.supabase.co/storage/v1/object/public/dog-food/4pawsraw-grain-free-haddock-sweet-potato-with-parsley.jpg?,food_candidates,raw,adult,[],"['UK', 'EU']","[{'source': 'food_candidates', 'updated_at': '2025-09-07T03:01:53.651829+00:00'}]",366.0,366.0,False,8.0,6.0,,,,3,False,False,2025-09-07T03:01:53.651829+00:00,PENDING,
