product_key,brand,brand_slug,product_name,name_slug,form,life_stage,kcal_per_100g,kcal_is_estimated,kcal_per_100g_final,protein_percent,fat_percent,ingredients_tokens,primary_protein,has_chicken,has_poultry,available_countries,price_per_kg,price_bucket,image_url,product_url,source,updated_at,quality_score
bounce|bella_tasty_trout__salmon_senior|unknown,Bounce,bounce,Bella Tasty Trout  Salmon Senior,bella_tasty_trout__salmon_senior,,senior,366.0,False,366.0,8.0,6.0,[],,False,False,"['UK', 'EU']",,,https://cibjeqgftuxuezarjsdl.supabase.co/storage/v1/object/public/dog-food/bounce-bella-tasty-trout-salmon-senior.jpg?,https://petfoodexpert.com/food/bounce-bella-tasty-trout-salmon-senior,food_candidates,2025-09-06T23:00:49.012915+00:00,2
bounce|bella_salmon_large_breed_puppy|unknown,Bounce,bounce,Bella Salmon Large Breed Puppy,bella_salmon_large_breed_puppy,,puppy,366.0,False,366.0,10.0,6.0,[],,False,False,"['UK', 'EU']",,,https://cibjeqgftuxuezarjsdl.supabase.co/storage/v1/object/public/dog-food/bounce-bella-salmon-large-breed-puppy.jpg?,https://petfoodexpert.com/food/bounce-bella-salmon-large-breed-puppy,food_candidates,2025-09-06T23:00:54.874262+00:00,2
purina|pro_plan_healthy_start_large_athletic_puppy|unknown,Purina,purina,Pro Plan Healthy Start Large Athletic Puppy,pro_plan_healthy_start_large_athletic_puppy,,puppy,346.0,False,346.0,2.0,2.0,[],,False,False,"['UK', 'EU']",,,https://cibjeqgftuxuezarjsdl.supabase.co/storage/v1/object/public/dog-food/purina-pro-plan-healthy-start-large-athletic-puppy.jpg?,https://petfoodexpert.com/food/purina-pro-plan-healthy-start-large-athletic-puppy,food_candidates,2025-09-06T23:01:04.863249+00:00,2
aatu|aatu_free_run_duck|dry,Aatu,aatu,Aatu Free Run Duck,aatu_free_run_duck,dry,adult,372.5,False,372.5,10.0,8.0,"['duck', 'dried duck', 'peas', 'sweet potato', 'apple', 'chickpeas', 'minerals', 'salmon oil', 'tapioca', 'glucosamine mg/kg', 'methylsulfonylmethane  mg/kg', 'chondroitin  mg/kg', 'lucerne', 'cranberry', 'pear', 'blueberry', 'mulberry', 'orange', 'bilberry', 'cowberry', 'carrot', 'tomato', 'chicory', 'parsley', 'peppermint', 'spirulina', 'seaweed', 'oregano', 'sage', 'marjoram', 'thyme', 'chamomile', 'rosehip', 'stinging nettle', 'yucca', 'marigold', 'aniseed', 'fenugreek', 'cinnamon']",salmon,False,False,"['UK', 'EU']",28.07,High,https://cibjeqgftuxuezarjsdl.supabase.co/storage/v1/object/public/dog-food/aatu-duck-dry-dog.jpg?,https://petfoodexpert.com/food/aatu-duck-dry-dog,food_candidates,2025-09-07T12:56:33.838183+00:00,6
purina|pro_plan_everyday_nutrition_large_robust_puppy|unknown,Purina,purina,Pro Plan Everyday Nutrition Large Robust Puppy,pro_plan_everyday_nutrition_large_robust_puppy,,puppy,,False,,,,[],,False,False,"['UK', 'EU']",,,https://cibjeqgftuxuezarjsdl.supabase.co/storage/v1/object/public/dog-food/purina-pro-plan-everyday-nutrition-large-robust-puppy.jpg?,https://petfoodexpert.com/food/purina-pro-plan-everyday-nutrition-large-robust-puppy,food_candidates,2025-09-06T23:01:14.81417+00:00,1
purina|pro_plan_everyday_nutrition_medium_adult|unknown,Purina,purina,Pro Plan Everyday Nutrition Medium Adult,pro_plan_everyday_nutrition_medium_adult,,adult,,False,,,,[],,False,False,"['UK', 'EU']",,,https://cibjeqgftuxuezarjsdl.supabase.co/storage/v1/object/public/dog-food/purina-pro-plan-everyday-nutrition-medium-adult.jpg?,https://petfoodexpert.com/food/purina-pro-plan-everyday-nutrition-medium-adult,food_candidates,2025-09-06T23:01:31.760285+00:00,1
purina|pro_plan_sensitive_skin_medium_puppy|unknown,Purina,purina,Pro Plan Sensitive Skin Medium Puppy,pro_plan_sensitive_skin_medium_puppy,,puppy,346.0,False,346.0,2.0,2.0,[],,False,False,"['UK', 'EU']",,,https://cibjeqgftuxuezarjsdl.supabase.co/storage/v1/object/public/dog-food/purina-pro-plan-sensitive-skin-medium-puppy.jpg?,https://petfoodexpert.com/food/purina-pro-plan-sensitive-skin-medium-puppy,food_candidates,2025-09-06T23:01:41.751619+00:00,2
mcadams|mcadams_freeze_dried_free_range_turkey|dry,McAdams,mcadams,McAdams Freeze Dried Free Range Turkey,mcadams_freeze_dried_free_range_turkey,dry,adult,382.5,False,382.5,10.0,10.0,"['boneless free range turkey', 'sweet potato', 'carrots', 'cranberries', 'glucosamine', 'chondroitin sulphate', 'seaweed', 'yucca', 'chicory extract', 'green tea  dandelion root', 'hawthorn leaf .']",turkey,False,False,['EU'],,,https://cibjeqgftuxuezarjsdl.supabase.co/storage/v1/object/public/dog-food/mcadams-freeze-dried-free-range-turkey.jpg?,https://petfoodexpert.com/food/mcadams-freeze-dried-free-range-turkey,food_candidates,2025-09-06T21:57:25.465929+00:00,5
purina|pro_plan_performance_chicken_adult|unknown,Purina,purina,Pro Plan Performance Chicken Adult,pro_plan_performance_chicken_adult,,adult,346.0,False,346.0,4.0,2.0,[],,False,False,"['UK', 'EU']",,,https://cibjeqgftuxuezarjsdl.supabase.co/storage/v1/object/public/dog-food/purina-pro-plan-performance-chicken-adult.jpg?,https://petfoodexpert.com/food/purina-pro-plan-performance-chicken-adult,food_candidates,2025-09-06T23:01:51.161313+00:00,2
aardvark|aardvark_complete_grain_free_insect_dry_food|dry,Aardvark,aardvark,Aardvark Complete Grain Free Insect Dry Food,aardvark_complete_grain_free_insect_dry_food,dry,all,376.0,False,376.0,4.0,8.0,"['insect (insect meal', 'insect oil )', 'sweet potato', 'field beans', 'linseed', 'sunflower oil', 'vegetable stock', 'chickpea', 'vitamins and minerals', 'coconut oil', 'fructooligosaccharides', 'mannan oligosaccharides .']",,False,False,"['UK', 'EU']",15.2,High,https://cibjeqgftuxuezarjsdl.supabase.co/storage/v1/object/public/dog-food/aardvark-complete-grain-free-insect-dry-food-dry-dog.jpg?,https://petfoodexpert.com/food/aardvark-complete-grain-free-insect-dry-food-dry-dog,food_candidates,2025-09-06T21:57:28.239747+00:00,5
bounce|bella_turkey__cranberry_large_breed_adult|unknown,Bounce,bounce,Bella Turkey  Cranberry Large Breed Adult,bella_turkey__cranberry_large_breed_adult,,adult,376.0,False,376.0,8.0,8.0,[],,False,False,"['UK', 'EU']",,,https://cibjeqgftuxuezarjsdl.supabase.co/storage/v1/object/public/dog-food/bounce-bella-turkey-cranberry-large-breed-adult.jpg?,https://petfoodexpert.com/food/bounce-bella-turkey-cranberry-large-breed-adult,food_candidates,2025-09-06T23:00:51.951367+00:00,2
purina|pro_plan_everyday_nutrition_large_athletic_adult|unknown,Purina,purina,Pro Plan Everyday Nutrition Large Athletic Adult,pro_plan_everyday_nutrition_large_athletic_adult,,adult,,False,,,,[],,False,False,"['UK', 'EU']",,,https://cibjeqgftuxuezarjsdl.supabase.co/storage/v1/object/public/dog-food/purina-pro-plan-everyday-nutrition-large-athletic-adult.jpg?,https://petfoodexpert.com/food/purina-pro-plan-everyday-nutrition-large-athletic-adult,food_candidates,2025-09-06T23:01:01.356541+00:00,1
purina|pro_plan_everyday_nutrition_large_robust_adult|unknown,Purina,purina,Pro Plan Everyday Nutrition Large Robust Adult,pro_plan_everyday_nutrition_large_robust_adult,,adult,,False,,,,[],,False,False,"['UK', 'EU']",,,https://cibjeqgftuxuezarjsdl.supabase.co/storage/v1/object/public/dog-food/purina-pro-plan-everyday-nutrition-large-robust-adult.jpg?,https://petfoodexpert.com/food/purina-pro-plan-everyday-nutrition-large-robust-adult,food_candidates,2025-09-06T23:01:11.66582+00:00,1
sainsburys|natures_goodness_puppy_terrine_with_chicken__vegetables|unknown,Sainsburys,sainsburys,Natures Goodness Puppy Terrine with Chicken  Vegetables,natures_goodness_puppy_terrine_with_chicken__vegetables,,puppy,366.0,False,366.0,10.0,6.0,[],,False,False,"['UK', 'EU']",,,https://cibjeqgftuxuezarjsdl.supabase.co/storage/v1/object/public/dog-food/sainsbury-s-nature-s-goodness-puppy-terrine-with-chicken-vegetables.jpg?,https://petfoodexpert.com/food/sainsbury-s-nature-s-goodness-puppy-terrine-with-chicken-vegetables,food_candidates,2025-09-07T12:56:39.644582+00:00,2
purina|pro_plan_sensitive_skin_medium__large_adult_7|unknown,Purina,purina,Pro Plan Sensitive Skin Medium  Large Adult 7,pro_plan_sensitive_skin_medium__large_adult_7,,adult,346.0,False,346.0,2.0,2.0,[],,False,False,"['UK', 'EU']",,,https://cibjeqgftuxuezarjsdl.supabase.co/storage/v1/object/public/dog-food/purina-pro-plan-sensitive-skin-medium-large-adult-7.jpg?,https://petfoodexpert.com/food/purina-pro-plan-sensitive-skin-medium-large-adult-7,food_candidates,2025-09-06T23:01:21.778387+00:00,2
purina|pro_plan_age_defence_small__mini_adult_9|unknown,Purina,purina,Pro Plan Age Defence Small  Mini Adult 9,pro_plan_age_defence_small__mini_adult_9,,adult,346.0,False,346.0,2.0,2.0,[],,False,False,"['UK', 'EU']",,,https://cibjeqgftuxuezarjsdl.supabase.co/storage/v1/object/public/dog-food/purina-pro-plan-age-defence-small-mini-adult-9.jpg?,https://petfoodexpert.com/food/purina-pro-plan-age-defence-small-mini-adult-9,food_candidates,2025-09-06T23:01:54.168262+00:00,2
purina|pro_plan_sensitive_skin_small__mini_adult|unknown,Purina,purina,Pro Plan Sensitive Skin Small  Mini Adult,pro_plan_sensitive_skin_small__mini_adult,,adult,346.0,False,346.0,2.0,2.0,[],,False,False,"['UK', 'EU']",,,https://cibjeqgftuxuezarjsdl.supabase.co/storage/v1/object/public/dog-food/purina-pro-plan-sensitive-skin-small-mini-adult.jpg?,https://petfoodexpert.com/food/purina-pro-plan-sensitive-skin-small-mini-adult,food_candidates,2025-09-06T23:02:04.769316+00:00,2
pets|at_home_complete_nutrition_adult_rich_in_chicken|unknown,Pets,pets,at Home Complete Nutrition Adult Rich in Chicken,at_home_complete_nutrition_adult_rich_in_chicken,,adult,,False,,,,[],,False,False,"['UK', 'EU']",,,https://cibjeqgftuxuezarjsdl.supabase.co/storage/v1/object/public/dog-food/pets-at-home-complete-nutrition-adult-rich-in-chicken.jpg?,https://petfoodexpert.com/food/pets-at-home-complete-nutrition-adult-rich-in-chicken,food_candidates,2025-09-06T23:02:14.590828+00:00,1
pets|at_home_complete_nutrition_large_breed_rich_in_chicken|unknown,Pets,pets,at Home Complete Nutrition Large Breed Rich in Chicken,at_home_complete_nutrition_large_breed_rich_in_chicken,,,,False,,,,[],,False,False,"['UK', 'EU']",,,https://cibjeqgftuxuezarjsdl.supabase.co/storage/v1/object/public/dog-food/pets-at-home-complete-nutrition-large-breed-rich-in-chicken.jpg?,https://petfoodexpert.com/food/pets-at-home-complete-nutrition-large-breed-rich-in-chicken,food_candidates,2025-09-06T23:02:26.925071+00:00,1
pets|at_home_complete_nutrition_puppy_wet_food_in_jelly|wet,Pets,pets,at Home Complete Nutrition Puppy Wet Food in Jelly,at_home_complete_nutrition_puppy_wet_food_in_jelly,wet,puppy,,False,,,,[],,False,False,"['UK', 'EU']",,,https://cibjeqgftuxuezarjsdl.supabase.co/storage/v1/object/public/dog-food/pets-at-home-complete-nutrition-puppy-wet-food-in-jelly.jpg?,https://petfoodexpert.com/food/pets-at-home-complete-nutrition-puppy-wet-food-in-jelly,food_candidates,2025-09-06T23:02:35.86766+00:00,2
amazon|rich_in_chicken_with_peas|unknown,Amazon,amazon,Rich in Chicken with Peas,rich_in_chicken_with_peas,,,346.0,False,346.0,4.0,2.0,[],,False,False,"['UK', 'EU']",,,https://cibjeqgftuxuezarjsdl.supabase.co/storage/v1/object/public/dog-food/amazon-rich-in-chicken-with-peas.jpg?,https://petfoodexpert.com/food/amazon-rich-in-chicken-with-peas,food_candidates,2025-09-06T23:26:34.446406+00:00,2
morrisons|worker_dog_food_meat_chunks_in_gravy|unknown,Morrisons,morrisons,Worker Dog Food Meat Chunks in Gravy,worker_dog_food_meat_chunks_in_gravy,,,349.5,False,349.5,2.0,2.0,[],,False,False,"['UK', 'EU']",,,https://cibjeqgftuxuezarjsdl.supabase.co/storage/v1/object/public/dog-food/morrisons-worker-dog-food-meat-chunks-in-gravy.jpg?,https://petfoodexpert.com/food/morrisons-worker-dog-food-meat-chunks-in-gravy,food_candidates,2025-09-06T23:33:57.952932+00:00,2
lukullus|cold-pressed_charolais_beef__trout|unknown,Lukullus,lukullus,Cold-Pressed Charolais Beef  Trout,cold-pressed_charolais_beef__trout,,,342.5,False,342.5,4.0,2.0,[],,False,False,"['UK', 'EU']",,,https://cibjeqgftuxuezarjsdl.supabase.co/storage/v1/object/public/dog-food/lukullus-cold-pressed-charolais-beef-trout.jpg?,https://petfoodexpert.com/food/lukullus-cold-pressed-charolais-beef-trout,food_candidates,2025-09-06T23:34:19.385877+00:00,2
