breed_slug,display_name,size,energy,sections_count,has_image,url
affenpinscher,Affenpinscher,small,,4,False,https://dogo.app/dog-breeds/affenpinscher
afghan-hound,Afghan Hound,small,,3,False,https://dogo.app/dog-breeds/afghan-hound
airedale-terrier,Airedale Terrier,small,,4,False,https://dogo.app/dog-breeds/airedale-terrier
akita,Akita,small,,3,False,https://dogo.app/dog-breeds/akita
alaskan-malamute,Alaskan Malamute,small,,4,False,https://dogo.app/dog-breeds/alaskan-malamute
american-english-coonhound,American English Coonhound,small,,4,False,https://dogo.app/dog-breeds/american-english-coonhound
american-eskimo-dog,American Eskimo Dog,small,,4,False,https://dogo.app/dog-breeds/american-eskimo-dog
american-foxhound,American Foxhound,small,,4,False,https://dogo.app/dog-breeds/american-foxhound
american-hairless-terrier,American Hairless Terrier,small,,4,False,https://dogo.app/dog-breeds/american-hairless-terrier
american-staffordshire-terrier,American Staffordshire Terrier,small,,3,False,https://dogo.app/dog-breeds/american-staffordshire-terrier
