web-scraper-order,web-scraper-start-url,pagination-selector,data-page-selector,data-page-selector-href,Product Name-0,Type of food-0,Dog ages-0,Price per day-0,Ingredients-0,Energy-0,Manufacturer-0,Product Country of Origin-0,text-8,text-9,text-10,image
"1757927338-1","https://www.allaboutdogfood.co.uk/the-dog-food-directory","","40
                                
                                    40 people have viewed this product in the last 30 days
                                
                            
                        

                        
                            
                                Royal Canin X-Small Adult
                                                                                            

                            
                                
                                    
                                        Type:
                                    
                                    
                                        Complete Dry extruded
                                    
                                
                                
                                    
                                        Breeds:
                                    
                                    
                                        
                                            Toy breeds
                                        
                                    
                                
                                
                                    
                                        Ages:
                                    
                                    
                                        
                                            From 18 months to 8 years
                                        
                                    
                                
                                
                                    
                                        RRP:
                                    
                                    
                                        
                                            1.5kg bags = £11.49","https://www.allaboutdogfood.co.uk/dog-food-reviews/0387/royal-canin-x-small-adult","Royal Canin X-Small Adult Review","Complete Dry extruded","From 18 months to 8 years","£1.75","Rice, Dehydrated Poultry Meat, Maize, Animal Fats, Maize Flour, Maize Gluten, Hydrolysed Animal Proteins, Vegetable Protein Isolate, Chicory Pulp, Minerals, Soya Oil, Psyllium Husks and Seeds (1%), Yeasts, Fish Oil, Fructo-Oligosaccharides, Antioxidants.","400.5 kcal/100g","","","Nutritional additives (per
                                            kg)

Vitamin a: 22000 IU, Vitamin D3: 1000 IU, E1 (Iron): 44 mg, E2 (Iodine): 4.5 mg, E4 (Copper): 14 mg, E5 (Manganese): 58 mg, E6 (Zinc): 142 mg, E8 (Selenium): 0.05 mg.

Company info","Typical Analysis

Protein 24.0%, Fat 18.0%, Fibre 1.7%, Ash 5.9%, Moisture 8.0%.

Manufacturer's product description","Energy

400.5 kcal/100g",""
"1757927341-2","https://www.allaboutdogfood.co.uk/the-dog-food-directory","","20
                                
                                    20 people have viewed this product in the last 30 days
                                
                            
                        

                        
                            
                                Bosch Puppy
                                                                                            

                            
                                
                                    
                                        Type:
                                    
                                    
                                        Complete Dry extruded
                                    
                                
                                
                                    
                                        Breeds:
                                    
                                    
                                        
                                            All breeds
                                        
                                    
                                
                                
                                    
                                        Ages:
                                    
                                    
                                        
                                            From weaning to 4 months
                                        
                                    
                                
                                
                                    
                                        RRP:
                                    
                                    
                                        
                                            7.5kg bags = £15.99","https://www.allaboutdogfood.co.uk/dog-food-reviews/0923/bosch-puppy","Bosch Puppy Review","Complete Dry extruded","From weaning to 4 months","£0.85","Fresh Poultry (25 %), Poultry Meat Meal, Rice, Barley, Maize, Animal Fat, Beet Pulp (Sugar Removed), Skimmed Milk Powder, Powdered Egg, Fish Meal, Hydrolysed Protein, Meat Meal, Linseed, Greaves (Dried), Peas, Yeast, Fish Oil, Colostrum (0.3 %), Sodium Chloride, Green-Lipped Mussel Extract (0.1 %), Chicory (Dried), Antioxidants.","396.5 kcal/100g","","","Nutritional additives (per
                                            kg)

Vitamin a 15, 000 I.u. Vitamin D3 1, 200 I.u. Vitamin B1 12 mg, Vitamin B2 12 mg, Vitamin B6 7 mg, Vitamin B12 100 Mcg, Biotin 500 Mcg, Pantothenic Acid 30 mg, Niacin 50 mg, Folic Acid 3 mg, Vitamin C 70 mg, Choline Chloride 2, 000 mg, Vitamin E 150 mg, Zinc (as Zinc Chelate of Amino Acids Hydrate) 75 mg, Copper (as Copper (II) Sulfate, Pentahydrate) 10 mg, Manganese 15 mg, Iodine (as Calcium Iodate, Anhydrous) 2 mg, Selenium (as Sodium Selenite) 0.20 mg, Zinc (as Zinc Oxide) 90 mg, Iron 135 mg.

Company info","Typical Analysis

Protein 28.0%, Fat 17.0%, Fibre 2.5%, Ash 6.0%, Moisture 8.0%, Sodium 0.30%, Calcium 1.20%, Phosphorus 0.95%, Magnesium 0.10%.

Manufacturer's product description","Energy

396.5 kcal/100g",""
"1757927345-3","https://www.allaboutdogfood.co.uk/the-dog-food-directory","","354
                                
                                    354 people have viewed this product in the last 30 days
                                
                            
                        

                        
                            
                                Cotswold Raw Active 80/20 Wild
                                                                                                                                             (4 varieties)
                                                                                                

                            
                                
                                    
                                        Type:
                                    
                                    
                                        Complete Raw
                                    
                                
                                
                                    
                                        Breeds:
                                    
                                    
                                        
                                            All breeds
                                        
                                    
                                
                                
                                    
                                        Ages:
                                    
                                    
                                        
                                            From 12 months to 10 years
                                        
                                    
                                
                                
                                    
                                        RRP:
                                    
                                    
                                        
                                            1kg trays = £7.75","https://www.allaboutdogfood.co.uk/dog-food-reviews/1709/cotswold-raw-active-80-20-wild","Cotswold Raw Active 80/20 Wild Review","Complete Raw","From 12 months to 10 years","£2.71","British Turkey Drumstick 25%, Venison Trim 20%, Whole Rabbit 20%, British Beef Heart 5%, Beef Liver 5%, Beef Kidney 5%, Fresh Seasonal Vegetables (Carrot 5%, Broccoli 5%, Cabbage 5%, Cauliflower 5%), Free Range Eggs 0.5%, Milled Flaxseed 0.5%, Wheatgerm 0.25%, Kelp 0.15%, Turmeric 0.12%, Milk Thistle 0.05%, Dandelion 0.05%, Alfalfa 0.025%, Nettle Leaf 0.05%, Spirulina 0.02%, Thyme 0.02%.","181.8 kcal/100g","Cotswold Raw","United Kingdom","","Typical Analysis

Protein 16.5%, Fat 11.2%, Fibre 0.3%, Ash 2.2%, Moisture 68.5%.","Energy

181.8 kcal/100g

"" Our 80/20 complete meal is formulated for healthy, active and working dogs and consists of 80% raw meat and bone, 20% high quality carbohydrates and natural herbal supplements. """,""
"1757927348-4","https://www.allaboutdogfood.co.uk/the-dog-food-directory","","0
                                
                                    0 people have viewed this product in the last 30 days
                                
                            
                        

                        
                            
                                Edmondson's Puppy
                                                                    Private label
                                                                                                                                             (2 varieties)
                                                                                                

                            
                                
                                    
                                        Type:
                                    
                                    
                                        Complete Dry extruded
                                    
                                
                                
                                    
                                        Breeds:
                                    
                                    
                                        
                                            All breeds
                                        
                                    
                                
                                
                                    
                                        Ages:
                                    
                                    
                                        
                                            From weaning to 12 months
                                        
                                    
                                
                                
                                    
                                        RRP:
                                    
                                    
                                        
                                            12kg bags from £55.99","https://www.allaboutdogfood.co.uk/dog-food-reviews/2362/edmondsons-puppy","Edmondson's Puppy Review","Complete Dry extruded","From weaning to 12 months","£1.13","Chicken Turkey & Salmon 60% (Freshly Prepared Chicken 20%, Dried Chicken 14%, Freshly Prepared Turkey 7%, Freshly Prepared
Salmon 7%, Dried Turkey 7%, Dried Salmon 3%, Chicken Stock 2%), Sweet Potato (22%), Potato, Linseed, Omega 3 Supplement, Beet Pulp, Minerals, Vitamins, Carrot (0.2%), Peas (0.07%), Glucosamine (170 mg/kg), Methylsulfonylmethane (170 mg/kg), Chondroitin Sulphate (125 mg/ Kg), Vegetable Stock, Nucleotides, FOS (96 mg/kg), MOS (24 mg/kg).","384.0 kcal/100g","","","Nutritional additives (per
                                            kg)

Vitamins: Vitamin a 15, 000 IU, Vitamin D3 2, 000 IU, Vitamin E 95 IU. Trace Elements: Zinc (Zinc Sulphate Monohydrate) 50mg, Iron (Iron (II) Sulphate Monohydrate) 50mg, Manganese (Manganous Sulphate Monohydrate) 35mg, Copper (Copper (II) Sulphate Pentahydrate) 15 mg, Iodine (Calcium Iodate Anhydrous) 1mg, Selenium (Sodium Selenite) 0.3mg.

Company info","Typical Analysis

Protein 27%, Fat 13%, Fibre 3.5%, Ash 8.0%, Moisture 8%.

Manufacturer's product description","Energy

384.0 kcal/100g",""
"1757927351-5","https://www.allaboutdogfood.co.uk/the-dog-food-directory","","29
                                
                                    29 people have viewed this product in the last 30 days
                                
                            
                        

                        
                            
                                Simpsons Premium Puppy Wet Food
                                                                                            

                            
                                
                                    
                                        Type:
                                    
                                    
                                        Complete Wet paté/loaf
                                    
                                
                                
                                    
                                        Breeds:
                                    
                                    
                                        
                                            All breeds
                                        
                                    
                                
                                
                                    
                                        Ages:
                                    
                                    
                                        
                                            From weaning to 12 months
                                        
                                    
                                
                                
                                    
                                        RRP:
                                    
                                    
                                        
                                            400g cans = £3.25","https://www.allaboutdogfood.co.uk/dog-food-reviews/0871/simpsons-premium-puppy-wet-food","Simpsons Premium Puppy Wet Food Review","Complete Wet paté/loaf","From weaning to 12 months","£3.91","60% Fresh Meat (Turkey 40%, Duck 10%, Venison 10%), Organic Potato, Organic Carrots, Organic Pumpkin, Organic Spinach, Minerals.","","","","Technological additives

Company info","Typical Analysis

Protein 10.2%, Fat 5.2%, Fibre 0.5%, Ash 2.5%, Moisture 79.0%.

Manufacturer's product description","",""
"1757927355-6","https://www.allaboutdogfood.co.uk/the-dog-food-directory","","34
                                
                                    34 people have viewed this product in the last 30 days
                                
                            
                        

                        
                            
                                Hill's Science Plan Adult 1-6 Light Medium
                                                                                            

                            
                                
                                    
                                        Type:
                                    
                                    
                                        Complete Dry extruded
                                    
                                
                                
                                    
                                        Breeds:
                                    
                                    
                                        
                                            Medium breeds
                                        
                                    
                                
                                
                                    
                                        Ages:
                                    
                                    
                                        
                                            From 12 months to 6 years
                                        
                                    
                                
                                
                                    
                                        RRP:
                                    
                                    
                                        
                                            14kg bags = £62.99","https://www.allaboutdogfood.co.uk/dog-food-reviews/0423/hills-science-plan-adult-1-6-light-medium","Hill's Science Plan Adult 1-6 Light Medium Review","Complete Dry extruded","From 12 months to 6 years","£1.00","Maize, Chicken and Turkey Meal, Pea Bran Meal, Maize Gluten Meal, Digest, Cellulose, Animal Fat, Dried Beet Pulp, Vegetable Oil, Minerals, Flaxseed.","313.0 kcal/100g","","","Nutritional additives (per
                                            kg)

3b103 [Iron] (76mg/kg), 3b202 [Iodine] (1.2mg/kg), 3b405 [Copper] (7.5mg/kg), 3b502 [Manganese] (7.9mg/kg), 3b603 [Zinc] (157mg/kg), 3b801 [Selenium] (0.2mg/kg).

Company info","Typical Analysis

Protein 22.0%, Fat 10.4%, Fibre 12.4%, Ash 4.9%, Moisture 8.0%, Sodium 0.27%, Calcium 0.73%, Phosphorus 0.53%, Magnesium 0.12%, Omega6 2.80%.

Manufacturer's product description","Energy

313.0 kcal/100g",""
"1757927359-7","https://www.allaboutdogfood.co.uk/the-dog-food-directory","","127
                                
                                    127 people have viewed this product in the last 30 days
                                
                            
                        

                        
                            
                                Tilly & Ted Adult Cans
                                                                                                                                             (2 varieties)
                                                                                                

                            
                                
                                    
                                        Type:
                                    
                                    
                                        Complete Wet paté/loaf
                                    
                                
                                
                                    
                                        Breeds:
                                    
                                    
                                        
                                            All breeds
                                        
                                    
                                
                                
                                    
                                        Ages:
                                    
                                    
                                        
                                            From 12 months to old age
                                        
                                    
                                
                                
                                    
                                        RRP:
                                    
                                    
                                        
                                            400g cans = £1.20","https://www.allaboutdogfood.co.uk/dog-food-reviews/3926/tilly-and-ted-adult-cans","Tilly & Ted Adult Cans Review","Complete Wet paté/loaf","From 12 months to old age","£3.12","Chicken 38%, Poultry 11%, Pork 6%, Green Beans 2%, Minerals, Dehydrated Carrots 0.36%, Parsley 0.25%, Fish Oil, Chicory Root Powder 0.08%, Cranberry Powder 0.01%, Rosemary Powder 0.01%","Cassia Gum 2.6g/kg.","","","Nutritional additives (per
                                            kg)

Iodine (Potassium Iodide) 0.2mg, Copper (Copper II Sulphate) 1.6mg, Manganese (Manganese II Oxide) 0.8mg, Zinc (Zinc Sulphate) 18mg.

Technological additives

Company info","Typical Analysis

Protein 8.0%, Fat 6.0%, Fibre 0.5%, Ash 2.5%, Moisture 80.0%, Omega3 0.16%.

Manufacturer's product description","Technological additives

Cassia Gum 2.6g/kg.",""
"1757927362-8","https://www.allaboutdogfood.co.uk/the-dog-food-directory","","75
                                
                                    75 people have viewed this product in the last 30 days
                                
                            
                        

                        
                            
                                Nature's Variety Selected Adult Mini
                                                                                                                                             (2 varieties)
                                                                                                

                            
                                
                                    
                                        Type:
                                    
                                    
                                        Complete Dry extruded
                                    
                                
                                
                                    
                                        Breeds:
                                    
                                    
                                        
                                            Toy & small breeds
                                        
                                    
                                
                                
                                    
                                        Ages:
                                    
                                    
                                        
                                            From 12 months to old age
                                        
                                    
                                
                                
                                    
                                        RRP:
                                    
                                    
                                        
                                            1.5kg bags = £14.59","https://www.allaboutdogfood.co.uk/dog-food-reviews/2384/natures-variety-selected-adult-mini","Nature's Variety Selected Adult Mini Review","Complete Dry extruded","From 12 months to old age","£1.97","Deboned Free Range Chicken Meat 30%, Dried Chicken Protein 23%, Dried Peas 12%, Dried Sweet Potato 7%, Poultry Fat 6%, Dried Chickpeas 5.5%, Protein Hydrolysate 3.5%, Pea Starch, Dried Chicory Root, Pea Fibre, Minerals, Dried Carrot, Dried Broccoli, Dried Apple, Dried Kelp, Dried Rosemary.","401.0 kcal/100g","Nature's Variety","","Nutritional additives (per
                                            kg)

Vitamin a 27000 IU, Vitamin D3 1800 IU, Vitamin E 410 mg, Vitamin C 350 mg, Iron II Sulphate Monohydrate 260 mg (Fe 86 mg/kg), Potassium Iodide 1.9 mg (I 1.4 mg/kg), Copper II Sulphate Pentahydrate 33 mg (Cu 8.8 mg/kg), Manganous Sulphate Monohydrate 123 mg (Mn 40 mg/kg), Zinc Sulphate Monohydrate 363 mg (Zn 128 mg/kg), Sodium Selenite 0.24 mg (Se 0.11 mg/kg).

Company info","Typical Analysis

Protein 32.0%, Fat 19.0%, Fibre 3.0%, Ash 8.0%, Omega3 0.30%, Omega6 2.90%.

Manufacturer's product description","Energy

401.0 kcal/100g",""
"1757927366-9","https://www.allaboutdogfood.co.uk/the-dog-food-directory","","106
                                
                                    106 people have viewed this product in the last 30 days
                                
                            
                        

                        
                            
                                Nutriment Leo & Wolf Meatballs
                                                                                                                                             (3 varieties)
                                                                                                

                            
                                
                                    
                                        Type:
                                    
                                    
                                        Complete Raw
                                    
                                
                                
                                    
                                        Breeds:
                                    
                                    
                                        
                                            All breeds
                                        
                                    
                                
                                
                                    
                                        Ages:
                                    
                                    
                                        
                                            From 2 months to old age
                                        
                                    
                                
                                
                                    
                                        RRP:
                                    
                                    
                                        
                                            1kg bags = £8.50","https://www.allaboutdogfood.co.uk/dog-food-reviews/3677/nutriment-leo-and-wolf-meatballs","Nutriment Leo & Wolf Meatballs Review","Complete Raw","From 2 months to old age","£2.98","Chicken Meat and Bone 33%, Beef Tripe 25%, Salmon 25%, Beef Heart 5%, Chicken Liver 5%, Vegetable Mix 5% (Cauliflower, Broccoli, China Cabbage, Lettuce, Carrot, Cucumber, Seaweed), Vegetable Fibre 2%.","","","","Nutritional additives (per
                                            kg)

Vitamin D3 288 IU, Vitamin E 31mg, Calcium 883mg, Choline 543mg, Iron 30mg, Magnesium 306mg, Copper 2.1mg, Selenium 0.045mg, Manganese 3.5mg, Zinc 39.5mg.

Company info","Typical Analysis

Protein 14.8%, Fat 14.4%, Fibre 2.0%, Ash 2.5%, Moisture 69.5%, Calcium 0.55%, Phosphorus 0.30%.

Manufacturer's product description","",""
"1757927370-10","https://www.allaboutdogfood.co.uk/the-dog-food-directory","","62
                                
                                    62 people have viewed this product in the last 30 days
                                
                            
                        

                        
                            
                                Pedigree Senior Dry
                                                                                            

                            
                                
                                    
                                        Type:
                                    
                                    
                                        Complete Dry extruded
                                    
                                
                                
                                    
                                        Breeds:
                                    
                                    
                                        
                                            All breeds
                                        
                                    
                                
                                
                                    
                                        Ages:
                                    
                                    
                                        
                                            From 7 years to old age
                                        
                                    
                                
                                
                                    
                                        RRP:
                                    
                                    
                                        
                                            13kg bags = £23.99","https://www.allaboutdogfood.co.uk/dog-food-reviews/0453/pedigree-senior-dry","Pedigree Senior Dry Review","Complete Dry extruded","From 7 years to old age","£0.28","Cereals (Including 4% Rice), Meat and Animal Derivatives 22% (Including 4% Chicken in the Brown Kibbles), Oils and Fats (Including 0.4% Sunflower Oil), Derivatives of Vegetable Origin, Minerals, Vegetables (4% Carrots in the Orange Kibbles, 4% Peas in the Green Kibbles), Antioxidants BHA & BHT.","364.0 kcal/100g","","","Nutritional additives (per
                                            kg)

Vitamin a 19914 IU, Vitamin D3 1748 IU, Vitamin E 352 mg, Vitamin B1 9.2 mg, Vitamin B2 18.9 mg, Vitamin B6 4.7 mg, Vitamin B9 2.8 mg, Vitamin B12 0.06 mg, Vitamin B5 41.3 mg, Vitamin B3 35.4 mg, Biotin 0.38 mg, Calcium Iodate Anhydrous 1.9 mg, Cupric Sulphate Pentahydrate 73.4 mg, Manganous Sulphate Monohydrate 413 mg, Sodium Selenite 0.64 mg, Zinc Sulphate Monohydrate 603 mg.

Company info","Typical Analysis

Protein 23.0%, Fat 13.0%, Fibre 3.0%, Ash 6.5%, Moisture 8.0%, Calcium 1.30%, Phosphorus 0.90%, Omega3 0.40%, Omega6 3.00%.

Manufacturer's product description","Energy

364.0 kcal/100g",""
