product_key,brand,brand_source,product_name,original_name,ingredients_raw,energy_kcal,price_per_day,product_url,type_of_food,dog_ages,form,source,import_timestamp
royalcanin|royal_canin_xsmall_adult|dry,Royal Canin,product_name,Royal Canin X-Small Adult,Royal Canin X-Small Adult Review,"Rice, Dehydrated Poultry Meat, Maize, Animal Fats, Maize Flour, Maize Gluten, Hydrolysed Animal Proteins, Vegetable Protein Isolate, Chicory Pulp, Minerals, Soya Oil, Psyllium Husks and Seeds (1%), Yeasts, Fish Oil, Fructo-Oligosaccharides, Antioxidants.",400.5,1.75,https://www.allaboutdogfood.co.uk/dog-food-reviews/0387/royal-canin-x-small-adult,Complete Dry extruded,From 18 months to 8 years,dry,allaboutdogfood,2025-09-15T13:49:40.681216
bosch|bosch_puppy|dry,Bosch,product_name,Bosch Puppy,Bosch Puppy Review,"Fresh Poultry (25 %), Poultry Meat Meal, Rice, Barley, Maize, Animal Fat, Beet Pulp (Sugar Removed), Skimmed Milk Powder, Powdered Egg, Fish Meal, Hydrolysed Protein, Meat Meal, Linseed, Greaves (Dried), Peas, Yeast, Fish Oil, Colostrum (0.3 %), Sodium Chloride, Green-Lipped Mussel Extract (0.1 %), Chicory (Dried), Antioxidants.",396.5,0.85,https://www.allaboutdogfood.co.uk/dog-food-reviews/0923/bosch-puppy,Complete Dry extruded,From weaning to 4 months,dry,allaboutdogfood,2025-09-15T13:49:40.681292
cotswoldraw|cotswold_raw_active_8020_wild|raw,Cotswold Raw,manufacturer,Cotswold Raw Active 80/20 Wild,Cotswold Raw Active 80/20 Wild Review,"British Turkey Drumstick 25%, Venison Trim 20%, Whole Rabbit 20%, British Beef Heart 5%, Beef Liver 5%, Beef Kidney 5%, Fresh Seasonal Vegetables (Carrot 5%, Broccoli 5%, Cabbage 5%, Cauliflower 5%), Free Range Eggs 0.5%, Milled Flaxseed 0.5%, Wheatgerm 0.25%, Kelp 0.15%, Turmeric 0.12%, Milk Thistle 0.05%, Dandelion 0.05%, Alfalfa 0.025%, Nettle Leaf 0.05%, Spirulina 0.02%, Thyme 0.02%.",181.8,2.71,https://www.allaboutdogfood.co.uk/dog-food-reviews/1709/cotswold-raw-active-80-20-wild,Complete Raw,From 12 months to 10 years,raw,allaboutdogfood,2025-09-15T13:49:40.681339
edmondsons|edmondsons_puppy|dry,Edmondson's,product_name,Edmondson's Puppy,Edmondson's Puppy Review,"Chicken Turkey & Salmon 60% (Freshly Prepared Chicken 20%, Dried Chicken 14%, Freshly Prepared Turkey 7%, Freshly Prepared
Salmon 7%, Dried Turkey 7%, Dried Salmon 3%, Chicken Stock 2%), Sweet Potato (22%), Potato, Linseed, Omega 3 Supplement, Beet Pulp, Minerals, Vitamins, Carrot (0.2%), Peas (0.07%), Glucosamine (170 mg/kg), Methylsulfonylmethane (170 mg/kg), Chondroitin Sulphate (125 mg/ Kg), Vegetable Stock, Nucleotides, FOS (96 mg/kg), MOS (24 mg/kg).",384.0,1.13,https://www.allaboutdogfood.co.uk/dog-food-reviews/2362/edmondsons-puppy,Complete Dry extruded,From weaning to 12 months,dry,allaboutdogfood,2025-09-15T13:49:40.681391
simpsons|simpsons_premium_puppy_wet_food|wet,Simpsons,product_name,Simpsons Premium Puppy Wet Food,Simpsons Premium Puppy Wet Food Review,"60% Fresh Meat (Turkey 40%, Duck 10%, Venison 10%), Organic Potato, Organic Carrots, Organic Pumpkin, Organic Spinach, Minerals.",,3.91,https://www.allaboutdogfood.co.uk/dog-food-reviews/0871/simpsons-premium-puppy-wet-food,Complete Wet paté/loaf,From weaning to 12 months,wet,allaboutdogfood,2025-09-15T13:49:40.681437
hillsscienceplan|hills_science_plan_adult_16_light_medium|dry,Hill's Science Plan,product_name,Hill's Science Plan Adult 1-6 Light Medium,Hill's Science Plan Adult 1-6 Light Medium Review,"Maize, Chicken and Turkey Meal, Pea Bran Meal, Maize Gluten Meal, Digest, Cellulose, Animal Fat, Dried Beet Pulp, Vegetable Oil, Minerals, Flaxseed.",313.0,1.0,https://www.allaboutdogfood.co.uk/dog-food-reviews/0423/hills-science-plan-adult-1-6-light-medium,Complete Dry extruded,From 12 months to 6 years,dry,allaboutdogfood,2025-09-15T13:49:40.681475
tillyted|tilly_ted_adult_cans|wet,Tilly & Ted,product_name,Tilly & Ted Adult Cans,Tilly & Ted Adult Cans Review,"Chicken 38%, Poultry 11%, Pork 6%, Green Beans 2%, Minerals, Dehydrated Carrots 0.36%, Parsley 0.25%, Fish Oil, Chicory Root Powder 0.08%, Cranberry Powder 0.01%, Rosemary Powder 0.01%",,3.12,https://www.allaboutdogfood.co.uk/dog-food-reviews/3926/tilly-and-ted-adult-cans,Complete Wet paté/loaf,From 12 months to old age,wet,allaboutdogfood,2025-09-15T13:49:40.681515
naturesvariety|natures_variety_selected_adult_mini|dry,Nature's Variety,manufacturer,Nature's Variety Selected Adult Mini,Nature's Variety Selected Adult Mini Review,"Deboned Free Range Chicken Meat 30%, Dried Chicken Protein 23%, Dried Peas 12%, Dried Sweet Potato 7%, Poultry Fat 6%, Dried Chickpeas 5.5%, Protein Hydrolysate 3.5%, Pea Starch, Dried Chicory Root, Pea Fibre, Minerals, Dried Carrot, Dried Broccoli, Dried Apple, Dried Kelp, Dried Rosemary.",401.0,1.97,https://www.allaboutdogfood.co.uk/dog-food-reviews/2384/natures-variety-selected-adult-mini,Complete Dry extruded,From 12 months to old age,dry,allaboutdogfood,2025-09-15T13:49:40.681547
nutriment|nutriment_leo_wolf_meatballs|raw,Nutriment,product_name,Nutriment Leo & Wolf Meatballs,Nutriment Leo & Wolf Meatballs Review,"Chicken Meat and Bone 33%, Beef Tripe 25%, Salmon 25%, Beef Heart 5%, Chicken Liver 5%, Vegetable Mix 5% (Cauliflower, Broccoli, China Cabbage, Lettuce, Carrot, Cucumber, Seaweed), Vegetable Fibre 2%.",,2.98,https://www.allaboutdogfood.co.uk/dog-food-reviews/3677/nutriment-leo-and-wolf-meatballs,Complete Raw,From 2 months to old age,raw,allaboutdogfood,2025-09-15T13:49:40.681586
pedigree|pedigree_senior_dry|dry,Pedigree,product_name,Pedigree Senior Dry,Pedigree Senior Dry Review,"Cereals (Including 4% Rice), Meat and Animal Derivatives 22% (Including 4% Chicken in the Brown Kibbles), Oils and Fats (Including 0.4% Sunflower Oil), Derivatives of Vegetable Origin, Minerals, Vegetables (4% Carrots in the Orange Kibbles, 4% Peas in the Green Kibbles), Antioxidants BHA & BHT.",364.0,0.28,https://www.allaboutdogfood.co.uk/dog-food-reviews/0453/pedigree-senior-dry,Complete Dry extruded,From 7 years to old age,dry,allaboutdogfood,2025-09-15T13:49:40.681623
