product_key,brand,brand_slug,product_name
4paws|supplies_premium_cold_pressed_omega_salmon|unknown,4PAWS,4paws,Supplies Premium Cold Pressed Omega Salmon
4paws|supplies_premium_cold_pressed_tasty_chicken|unknown,4PAWS,4paws,Supplies Premium Cold Pressed Tasty Chicken
4paws|supplies_working_dog_cold_pressed_brilliant_beef|unknown,4PAWS,4paws,Supplies Working Dog Cold Pressed Brilliant Beef
4paws|supplies_working_dog_cold_pressed_choice_chicken|unknown,4PAWS,4paws,Supplies Working Dog Cold Pressed Choice Chicken
4paws|supplies_working_dog_cold_pressed_palatable_pork|unknown,4PAWS,4paws,Supplies Working Dog Cold Pressed Palatable Pork
eukanuba|adult_dachshund|unknown,Eukanuba,eukanuba,Adult Dachshund
"4pawsraw|grain_free_puppy_chicken,_turkey,_salmon_sweet_potato__carrot|raw",4PAWSRAW,4pawsraw,"Grain Free Puppy Chicken, Turkey, Salmon Sweet Potato  Carrot"
4pawsraw|grain_free_angus_beef_with_carrot|raw,4PAWSRAW,4pawsraw,Grain Free Angus Beef with Carrot
4pawsraw|grain_free_chicken_sweet_potato__herbs|raw,4PAWSRAW,4pawsraw,Grain Free Chicken Sweet Potato  Herbs
"4pawsraw|grain_free_haddock,_sweet_potato_with_parsley|raw",4PAWSRAW,4pawsraw,"Grain Free Haddock, Sweet Potato With Parsley"
"4pawsraw|grain_free_lamb,_sweet_potato__mint|raw",4PAWSRAW,4pawsraw,"Grain Free Lamb, Sweet Potato  Mint"
"4pawsraw|grain_free_light_turkey,_sweet_potato__cranberry|raw",4PAWSRAW,4pawsraw,"Grain Free Light Turkey, Sweet Potato  Cranberry"
4pawsraw|grain_free_pork_sweet_potato__apple|raw,4PAWSRAW,4pawsraw,Grain Free Pork Sweet Potato  Apple
angell|petco_superior_puppy_grain_free|unknown,Angell,angell,PetCo Superior Puppy Grain Free
aardvark|aardvark_complete_grain_free_insect_dry_food|dry,Aardvark,aardvark,Aardvark Complete Grain Free Insect Dry Food
aatu|aatu_free_run_chicken|dry,Aatu,aatu,Aatu Free Run Chicken
aatu|aatu_free_run_duck|dry,Aatu,aatu,Aatu Free Run Duck
aatu|aatu_free_run_turkey|dry,Aatu,aatu,Aatu Free Run Turkey
aatu|aatu_puppy_salmon|dry,Aatu,aatu,Aatu Puppy Salmon
"4pawsraw|grain_free_tuna_with_salmon,_sweet_potato_and_broccoli|raw",4PAWSRAW,4pawsraw,"Grain Free Tuna with Salmon, Sweet Potato and Broccoli"
4pawsraw|grain_free_turkey_sweet_potato__cranberry|raw,4PAWSRAW,4pawsraw,Grain Free Turkey Sweet Potato  Cranberry
"4pawsraw|grain_free_venison,_salmon,_sweet_potato__mulberry|raw",4PAWSRAW,4pawsraw,"Grain Free Venison, Salmon, Sweet Potato  Mulberry"
aardvark|complete_grain_free_insect_dry_food|dry,Aardvark,aardvark,Complete Grain Free Insect Dry Food
aatu|aatu_salmon|dry,Aatu,aatu,Aatu Salmon
aatu|chicken|unknown,Aatu,aatu,Chicken
aatu|duck__turkey|unknown,Aatu,aatu,Duck  Turkey
aatu|pork__wild_boar|unknown,Aatu,aatu,Pork  Wild Boar
aatu|shellfish|unknown,Aatu,aatu,Shellfish
aatu|tuna__salmon|unknown,Aatu,aatu,Tuna  Salmon
eukanuba|adult_german_shepherd|unknown,Eukanuba,eukanuba,Adult German Shepherd
aatu|puppy_salmon|dry,Aatu,aatu,Puppy Salmon
acana|acana_free_run_duck|dry,Acana,acana,Acana Free Run Duck
acana|acana_grass-fed_lamb|dry,Acana,acana,Acana Grass-Fed Lamb
aatu|free_run_duck|dry,Aatu,aatu,Free Run Duck
aatu|free_run_turkey|dry,Aatu,aatu,Free Run Turkey
aatu|salmon|dry,Aatu,aatu,Salmon
acana|acana_adult_dog_recipe_(grain-free)|dry,ACANA,acana,ACANA Adult Dog Recipe (Grain-Free)
acana|acana_highest_protein_grasslands|dry,Acana,acana,Acana Highest Protein Grasslands
acana|acana_highest_protein_pacifica|dry,Acana,acana,Acana Highest Protein Pacifica
acana|acana_light__fit_recipe|dry,Acana,acana,Acana Light  fit Recipe
acana|acana_light_&_fit_recipe|dry,Acana,acana,Acana Light & fit Recipe
acana|acana_prairie_poultry|dry,Acana,acana,Acana Prairie Poultry
acana|acana_puppy_large_breed_recipe|dry,Acana,acana,Acana Puppy Large Breed Recipe
doggy_dog|doggy_dog_adult_beef|dry,DOGGY Dog,doggy_dog,Doggy Dog Adult Beef
acana|acana_puppy_recipe|dry,Acana,acana,Acana Puppy Recipe
acana|acana_puppy_small_breed_recipe|dry,Acana,acana,Acana Puppy Small Breed Recipe
acana|acana_red_meat|dry,Acana,acana,Acana Red Meat
acana|acana_senior|dry,Acana,acana,Acana Senior
acana|acana_yorkshire_pork|dry,Acana,acana,Acana Yorkshire Pork
ami|one_planet_green_lentils__broccoli|unknown,Ami,ami,One Planet Green Lentils  Broccoli
acana|adult_large_breed_recipe|unknown,Acana,acana,Adult Large Breed Recipe
acana|adult_small_breed_recipe|unknown,Acana,acana,Adult Small Breed Recipe
acana|free_run_duck|dry,Acana,acana,Free Run Duck
ami|one_planet_medium_and_large_breeds|unknown,Ami,ami,One Planet Medium and Large Breeds
acana|puppy_large_breed_recipe|dry,Acana,acana,Puppy Large Breed Recipe
acana|puppy_recipe|dry,Acana,acana,Puppy Recipe
