product_key,brand,brand_slug
acana|acana_adult_dog_recipe_(grain-free)|dry,ACANA,acana
arden|grange_adult_grain_free_duck|unknown,Arden,arden
almo_nature|almo_nature_bioorganic_maintenance|wet,Almo Nature,almo_nature
almo_nature|almo_nature_hfc_adult_dog_medium/large_chicken|dry,Almo Nature,almo_nature
almo_nature|almo_nature_hfc_adult_dog_medium/large_pork|dry,Almo Nature,almo_nature
almo_nature|almo_nature_hfc_adult_dog_medium/large_salmon|dry,Almo Nature,almo_nature
almo_nature|almo_nature_hfc|wet,Almo Nature,almo_nature
almo_nature|almo_nature_holistic_large_adult_dog_-_chicken_&_rice|dry,Almo Nature,almo_nature
almo_nature|almo_nature_holistic_large_adult_dog_-_lamb_&_rice|dry,Almo Nature,almo_nature
almo_nature|almo_nature_holistic_large_adult_salmon_&_rice_kibble_for_dogs|dry,Almo Nature,almo_nature
almo_nature|almo_nature_holistic_medium_adult_dog_-_lamb_&_rice|dry,Almo Nature,almo_nature
almo_nature|almo_nature_holistic_medium_adult_dog_-_salmon_&_rice|dry,Almo Nature,almo_nature
almo_nature|almo_nature_holistic_small_adult_dog_-_salmon_&_rice|dry,Almo Nature,almo_nature
almo_nature|almo_nature_saver_pack|wet,Almo Nature,almo_nature
alpha_spirit|alpha_spirit_7_days_formula_(semi-moist)|dry,Alpha Spirit,alpha_spirit
aniforte|pure_nature_country_beef|unknown,AniForte,aniforte
aniforte|semi_moist_cold_pressed_salmon|unknown,AniForte,aniforte
animonda|animonda_grancarno_original_junior|wet,animonda,animonda
aniforte|pure_nature_farms_lamb|unknown,AniForte,aniforte
aniforte|pure_nature_greenfield_turkey|unknown,AniForte,aniforte
aniforte|pure_nature_senior_menu|unknown,AniForte,aniforte
aniforte|pure_nature_wild_buffalo|unknown,AniForte,aniforte
animonda|animonda_grancarno_original_adult|wet,animonda,animonda
animonda|animonda_grancarno_original_senior|wet,animonda,animonda
animonda|animonda_vom_feinsten_adult_grain-free|wet,animonda,animonda
arden_grange|arden_grange_adult_chicken_&_rice|dry,Arden Grange,arden_grange
arden_grange|arden_grange_adult_lamb_&_rice|dry,Arden Grange,arden_grange
arden_grange|arden_grange_adult_light_chicken_&_rice|dry,Arden Grange,arden_grange
arden_grange|arden_grange_adult_mini_lamb_&_rice|dry,Arden Grange,arden_grange
arden_grange|arden_grange_adult_premium_chicken_&_rice|dry,Arden Grange,arden_grange
arden_grange|arden_grange_adult_prestige_chicken|dry,Arden Grange,arden_grange
arden_grange|arden_grange_adult_salmon_&_rice|dry,Arden Grange,arden_grange
arden_grange|arden_grange_large_breed|dry,Arden Grange,arden_grange
"arden_grange|arden_grange_partners_chicken,_rice_&_veg|wet",Arden Grange,arden_grange
"arden_grange|arden_grange_partners_lamb,_rice_&_veg|wet",Arden Grange,arden_grange
arden_grange|arden_grange_puppy_junior_chicken_&_rice|dry,Arden Grange,arden_grange
arden_grange|arden_grange_puppy_junior_large_breed_chicken_&_rice|dry,Arden Grange,arden_grange
arden_grange|arden_grange_senior_chicken_&_rice|dry,Arden Grange,arden_grange
arden_grange|arden_grange_sensitive_adult|dry,Arden Grange,arden_grange
arden|grange_adult_chicken__rice|dry,Arden,arden
arden|grange_adult_lamb__rice|dry,Arden,arden
arden|grange_adult_light_chicken__rice|dry,Arden,arden
arden|grange_adult_mini_lamb__rice|dry,Arden,arden
arden|grange_adult_premium_chicken__rice|dry,Arden,arden
arden|grange_adult_prestige_chicken|dry,Arden,arden
arden|grange_adult_salmon__rice|dry,Arden,arden
arden|grange_adult_grain_free_lamb|unknown,Arden,arden
arden|grange_adult_grain_free_salmon|unknown,Arden,arden
arden|grange_adult_grain_free_turkey|unknown,Arden,arden
arden|grange_adult_large_breed_sensitive|unknown,Arden,arden
arden|grange_adult_pork__rice|unknown,Arden,arden
arden|grange_grain_free_adult_duck__superfoods|unknown,Arden,arden
arden|grange_grain_free_adult_lamb__superfoods|unknown,Arden,arden
arden|grange_grain_free_adult_turkey__superfoods|unknown,Arden,arden
arden|grange_grain_free_light/senior|unknown,Arden,arden
arden|grange_grain_free_puppy|unknown,Arden,arden
arden|grange_puppy_junior_chicken__rice|dry,Arden,arden
arden|grange_puppy_junior_large_breed_chicken__rice|dry,Arden,arden
arden|grange_senior_chicken__rice|dry,Arden,arden
arden|grange_sensitive_adult|dry,Arden,arden
"arden|grange_partners_chicken,_rice__veg|wet",Arden,arden
"arden|grange_partners_lamb,_rice__veg|wet",Arden,arden
arden|grange_mini_adult_chicken__rice|unknown,Arden,arden
arden|grange_partners_sensitive_adult|unknown,Arden,arden
arden|grange_performance_adult|unknown,Arden,arden
arden|grange_sensitive_light/senior|unknown,Arden,arden
arden|grange_sensitive_mini_adult|unknown,Arden,arden
arden|grange_sensitive_puppy/junior|unknown,Arden,arden
arden|grange_weaning/puppy|unknown,Arden,arden
asda|asda_hero_beef_&_vegetables|dry,ASDA,asda
asda|asda_hero_chicken_rice_&_vegetables|dry,ASDA,asda
asda|asda_hero_meaty_&_poultry_chunks_in_jelly|wet,ASDA,asda
asda|asda_hero_puppy_with_chicken|dry,ASDA,asda
asda|asda_hero_senior_chicken_rice_&_veg|dry,ASDA,asda
asda|hero_chicken__veg_working|unknown,ASDA,asda
asda|hero_light_with_chicken_rice__veg|unknown,ASDA,asda
asda|hero_puppy_with_chicken|dry,ASDA,asda
asda|hero_senior_chicken_rice__veg|dry,ASDA,asda
asda|hero_chicken_rice__vegetables|dry,ASDA,asda
asda|hero_meaty__poultry_chunks_in_jelly|wet,ASDA,asda
barking|heads_all_hounder_bowl_lickin_goodness_lamb|unknown,Barking,barking
barking|heads_all_hounder_fat_dog_slim|unknown,Barking,barking
barking|heads_all_hounder_puppy_days_turkey|unknown,Barking,barking
barking|heads_all_hounder_golden_years|unknown,Barking,barking
barking|heads_all_hounder_hair_necessities|unknown,Barking,barking
barking|heads_all_hounder_tummy_lovin_care_fish|unknown,Barking,barking
barking|heads_big_foot_golden_years|unknown,Barking,barking
barking|heads_big_foot_puppy_days|dry,Barking,barking
barking|heads_beef_waggington_wet|wet,Barking,barking
barking|heads_big_foot_bowl_lickin_chicken|dry,Barking,barking
barking|heads_big_foot_chop_lickin_lamb|dry,Barking,barking
barking|heads_bowl_lickin_chicken_wet|wet,Barking,barking
barking|heads_bowl_lickin_chicken|dry,Barking,barking
barking|heads_chop_lickin_lamb_wet|wet,Barking,barking
barking|heads_chop_lickin_lamb|dry,Barking,barking
barking|heads_doggylicious_duck|dry,Barking,barking
barking|heads_little_paws_golden_years|unknown,Barking,barking
barking|heads_puppy_days_wet|wet,Barking,barking
barking|heads_puppy_days|dry,Barking,barking
barking|heads_fat_dog_slim|dry,Barking,barking
barking|heads_fish_n_delish|dry,Barking,barking
barking|heads_golden_years_wet|wet,Barking,barking
barking|heads_little_paws_bowl_lickin_chicken|dry,Barking,barking
barking|heads_little_paws_chop_lickin_lamb|dry,Barking,barking
barking|heads_little_paws_fuss_pot_duck|dry,Barking,barking
barking|heads_plant_powered_pooches|dry,Barking,barking
barking|heads_pooched_salmon|dry,Barking,barking
barking|heads_top_dog_turkey_wet|wet,Barking,barking
barking|heads_top_dog_turkey|dry,Barking,barking
bosch|bosch_adult_dry_dog_food_mixed_trial_pack|dry,bosch,bosch
bosch|bosch_adult_fish_&_potato_dry_dog_food|dry,bosch,bosch
bosch|bosch_adult_lamb_&_rice|dry,bosch,bosch
bosch|bosch_adult_life_&_care_dry_dog_food|dry,bosch,bosch
bosch|bosch_junior_medium_dry_dog_food|dry,bosch,bosch
bosch|bosch_adult_menu_dry_dog_food|dry,bosch,bosch
bosch|bosch_adult_mini_poultry_&_millet_dry_dog_food|dry,bosch,bosch
bosch|bosch_adult_mini_senior_dry_dog_food|dry,bosch,bosch
bosch|bosch_adult_salmon_&_potato|dry,bosch,bosch
bosch|bosch_hpc_adult_vegan_potato_&_pea|dry,bosch,bosch
bosch|bosch_hpc_oven_baked_beef|dry,bosch,bosch
bosch|bosch_hpc_soft_maxi_water_buffalo_&_sweet_potato|dry,bosch,bosch
bosch|bosch_junior_lamb_&_rice_dry_dog_food|dry,bosch,bosch
bosch|bosch_light_dry_dog_food|dry,bosch,bosch
bosch|bosch_organic_adult_dry_dog_food|dry,bosch,bosch
bosch|bosch_puppy_dry_dog_food|dry,bosch,bosch
bosch|bosch_senior_age_&_weight_dry_dog_food|dry,bosch,bosch
bosch|bosch_sensible_renal_&_reduction_dry_dog_food|dry,bosch,bosch
bosch|bosch_soft_chicken_&_banana_hpc_dry_dog_food|dry,bosch,bosch
bosch|bosch_soft_duck_&_potato_hpc_dry_dog_food|dry,bosch,bosch
bosch|bosch_soft_senior_goat_&_potato_hpc_dog_food|dry,bosch,bosch
bosch|bosch_special_light_dry_dog_food|dry,bosch,bosch
bullybillows|angus_beef_super_food_adult|unknown,BULLYBILLOWS,bullybillows
bullybillows|angus_beef_super_food_puppy|unknown,BULLYBILLOWS,bullybillows
bullybillows|free_range_chicken_super_food_adult|unknown,BULLYBILLOWS,bullybillows
bullybillows|scottish_salmon_super_food_adult|unknown,BULLYBILLOWS,bullybillows
bullybillows|scottish_salmon_super_food_puppy|unknown,BULLYBILLOWS,bullybillows
bullybillows|scottish_salmon_super_food_senior|unknown,BULLYBILLOWS,bullybillows
