brand,product,url,price
stella and chewys,"Stella & Chewy's Chewy's Chicken Meal Mixers Freeze-Dried Raw Dog Food Topper, 1-oz bag",https://www.chewy.com/stella-chewys-chewys-chicken-meal/dp/612142,1.62
redbarn,"Redbarn Powerfood Digestive Health Beef & Lamb Gently Air Dried Dog Food, 2.5-oz bag",https://www.chewy.com/redbarn-grain-free-beef-lamb-gut/dp/1605566,2.92
stella and chewys,"Stella & Chewy's Stella's Super Beef Dinner Patties Freeze-Dried Raw Dog Food, 14-oz bag",https://www.chewy.com/stella-chewys-stellas-super-beef/dp/34229,23.39
justfoodfordogs,"JustFoodForDogs JustFresh Human Grade Home-Cooked Chicken Recipe Fresh Dog Food, 12-oz pouch",https://www.chewy.com/justfoodfordogs-justfresh-home-cooked/dp/1487430,6.99
portland pet food company,"Portland Pet Food Company Homestyle Variety Pack Wet Dog Food Topper, 9-oz pouch, case of 5",https://www.chewy.com/portland-pet-food-company-homestyle/dp/279347,22.72
pawstruck,"Pawstruck Beef High Protein Grain-Free Air-Dried Dog Food, 32-oz bag",https://www.chewy.com/pawstruck-beef-recipe-grain-free-air/dp/971910,19.48
natures diet,"Nature's Diet Fresh Beef Simply Raw Freeze-Dried Dog Food, 3-lb bag",https://www.chewy.com/natures-diet-fresh-beef-simply-raw/dp/344413,24.34
stella and chewys,"Stella & Chewy's Stella's Super Beef Meal Mixers Freeze-Dried Raw Dog Food Topper, 35-oz bag, bundle of 2",https://www.chewy.com/stella-chewys-stellas-super-beef-meal/dp/109897,110.49
stella and chewys,"Stella & Chewy's Chewy's Chicken Dinner Patties Freeze-Dried Raw Dog Food, 25-oz bag",https://www.chewy.com/stella-chewys-chewys-chicken-dinner/dp/121085,38.99
jinx,"Jinx Freeze-Dried Salmon Dry Dog Food Topper, 3-oz bag",https://www.chewy.com/jinx-freeze-dried-salmon-dry-dog-food/dp/394021,6.49
the honest kitchen,"The Honest Kitchen Bone Broth POUR OVERS Beef Stew Wet Dog Food Topper, 5.5-oz, case of 12",https://www.chewy.com/honest-kitchen-bone-broth-pour-overs/dp/177105,20.2
solid gold,"Solid Gold Homestyle Meal Skin & Coat Health Chicken Dog Food Topper, 9-oz pouch",https://www.chewy.com/solid-gold-homestyle-meal-chicken-dog/dp/1082542,3.23
american natural premium,"American Natural Premium Market Fresh Pork with Pumpkin & Apples Freeze-Dried Dog Food, 4-oz bag",https://www.chewy.com/american-natural-premium-market-fresh/dp/2469302,9.89
solid gold,"Solid Gold Beef Bone Broth with Turmeric Dog Food Topper, 8-oz pouch",https://www.chewy.com/solid-gold-beef-bone-broth-turmeric/dp/176129,2.91
