product_key,brand,product_name,normalized_name,has_size,has_pack,url
4paws|supplies_premium_cold_pressed_omega_salmon|unknown,4PAWS,Supplies Premium Cold Pressed Omega Salmon,supplies premium cold pressed omega salmon,False,False,https://petfoodexpert.com/food/4paws-supplies-premium-cold-pressed-omega-salmon
4paws|supplies_premium_cold_pressed_tasty_chicken|unknown,4PAWS,Supplies Premium Cold Pressed Tasty Chicken,supplies premium cold pressed tasty chicken,False,False,https://petfoodexpert.com/food/4paws-supplies-premium-cold-pressed-tasty-chicken
4paws|supplies_working_dog_cold_pressed_brilliant_beef|unknown,4PAWS,Supplies Working Dog Cold Pressed Brilliant Beef,supplies working dog cold pressed brilliant beef,False,False,https://petfoodexpert.com/food/4paws-supplies-working-dog-cold-pressed-brilliant-beef
4paws|supplies_working_dog_cold_pressed_choice_chicken|unknown,4PAWS,Supplies Working Dog Cold Pressed Choice Chicken,supplies working dog cold pressed choice chicken,False,False,https://petfoodexpert.com/food/4paws-supplies-working-dog-cold-pressed-choice-chicken
4paws|supplies_working_dog_cold_pressed_palatable_pork|unknown,4PAWS,Supplies Working Dog Cold Pressed Palatable Pork,supplies working dog cold pressed palatable pork,False,False,https://petfoodexpert.com/food/4paws-supplies-working-dog-cold-pressed-palatable-pork
eukanuba|adult_dachshund|unknown,Eukanuba,Adult Dachshund,dachshund,False,False,https://petfoodexpert.com/food/eukanuba-adult-dachshund
"4pawsraw|grain_free_puppy_chicken,_turkey,_salmon_sweet_potato__carrot|raw",4PAWSRAW,"Grain Free Puppy Chicken, Turkey, Salmon Sweet Potato  Carrot",grain free chicken turkey salmon sweet potato carrot,False,False,https://petfoodexpert.com/food/4pawsraw-puppy-chicken-turkey-salmon-sweet-potato-carrot
4pawsraw|grain_free_angus_beef_with_carrot|raw,4PAWSRAW,Grain Free Angus Beef with Carrot,grain free angus beef with carrot,False,False,https://petfoodexpert.com/food/4pawsraw-grain-free-angus-beef-with-carrot
4pawsraw|grain_free_chicken_sweet_potato__herbs|raw,4PAWSRAW,Grain Free Chicken Sweet Potato  Herbs,grain free chicken sweet potato herbs,False,False,https://petfoodexpert.com/food/4pawsraw-chicken-sweet-potato-herbs
"4pawsraw|grain_free_haddock,_sweet_potato_with_parsley|raw",4PAWSRAW,"Grain Free Haddock, Sweet Potato With Parsley",grain free haddock sweet potato with parsley,False,False,https://petfoodexpert.com/food/4pawsraw-grain-free-haddock-sweet-potato-with-parsley
"4pawsraw|grain_free_lamb,_sweet_potato__mint|raw",4PAWSRAW,"Grain Free Lamb, Sweet Potato  Mint",grain free lamb sweet potato mint,False,False,https://petfoodexpert.com/food/4pawsraw-grain-free-lamb-sweet-potato-mint
"4pawsraw|grain_free_light_turkey,_sweet_potato__cranberry|raw",4PAWSRAW,"Grain Free Light Turkey, Sweet Potato  Cranberry",grain free light turkey sweet potato cranberry,False,False,https://petfoodexpert.com/food/4pawsraw-grain-free-light-turkey-sweet-potato-cranberry
4pawsraw|grain_free_pork_sweet_potato__apple|raw,4PAWSRAW,Grain Free Pork Sweet Potato  Apple,grain free pork sweet potato apple,False,False,https://petfoodexpert.com/food/4pawsraw-grain-free-pork-sweet-potato-apple
