product_key,brand,brand_slug,product_name,name_slug,form,life_stage,kcal_per_100g,kcal_is_estimated,kcal_per_100g_final,protein_percent,fat_percent,ingredients_tokens,primary_protein,has_chicken,has_poultry,available_countries,price_per_kg,price_bucket,image_url,product_url,source,updated_at,quality_score,sources,allergens
4paws|supplies_premium_cold_pressed_lovely_lamb|unknown,4PAWS,4paws,Supplies Premium Cold Pressed Lovely Lamb,supplies_premium_cold_pressed_lovely_lamb,,,366.0,False,366.0,2.0,6.0,[],,False,False,"['UK', 'EU']",,,https://cibjeqgftuxuezarjsdl.supabase.co/storage/v1/object/public/dog-food/4paws-supplies-premium-cold-pressed-lovely-lamb.jpg?,https://petfoodexpert.com/food/4paws-supplies-premium-cold-pressed-lovely-lamb,food_candidates,2025-09-07T02:11:05.236725+00:00,2,"[{'source': 'food_candidates', 'updated_at': '2025-09-07T02:11:05.236725+00:00'}]",
4paws|supplies_premium_cold_pressed_omega_salmon|unknown,4PAWS,4paws,Supplies Premium Cold Pressed Omega Salmon,supplies_premium_cold_pressed_omega_salmon,,,366.0,False,366.0,2.0,6.0,[],,False,False,"['UK', 'EU']",,,https://cibjeqgftuxuezarjsdl.supabase.co/storage/v1/object/public/dog-food/4paws-supplies-premium-cold-pressed-omega-salmon.jpg?,https://petfoodexpert.com/food/4paws-supplies-premium-cold-pressed-omega-salmon,food_candidates,2025-09-07T02:11:08.395738+00:00,2,"[{'source': 'food_candidates', 'updated_at': '2025-09-07T02:11:08.395738+00:00'}]",
4paws|supplies_premium_cold_pressed_tasty_chicken|unknown,4PAWS,4paws,Supplies Premium Cold Pressed Tasty Chicken,supplies_premium_cold_pressed_tasty_chicken,,,366.0,False,366.0,2.0,6.0,[],,False,False,"['UK', 'EU']",,,https://cibjeqgftuxuezarjsdl.supabase.co/storage/v1/object/public/dog-food/4paws-supplies-premium-cold-pressed-tasty-chicken.jpg?,https://petfoodexpert.com/food/4paws-supplies-premium-cold-pressed-tasty-chicken,food_candidates,2025-09-07T02:11:11.351198+00:00,2,"[{'source': 'food_candidates', 'updated_at': '2025-09-07T02:11:11.351198+00:00'}]",
4paws|supplies_working_dog_cold_pressed_brilliant_beef|unknown,4PAWS,4paws,Supplies Working Dog Cold Pressed Brilliant Beef,supplies_working_dog_cold_pressed_brilliant_beef,,,366.0,False,366.0,2.0,6.0,[],,False,False,"['UK', 'EU']",,,https://cibjeqgftuxuezarjsdl.supabase.co/storage/v1/object/public/dog-food/4paws-supplies-working-dog-cold-pressed-brilliant-beef.jpg?,https://petfoodexpert.com/food/4paws-supplies-working-dog-cold-pressed-brilliant-beef,food_candidates,2025-09-07T02:11:14.884841+00:00,2,"[{'source': 'food_candidates', 'updated_at': '2025-09-07T02:11:14.884841+00:00'}]",
4paws|supplies_working_dog_cold_pressed_choice_chicken|unknown,4PAWS,4paws,Supplies Working Dog Cold Pressed Choice Chicken,supplies_working_dog_cold_pressed_choice_chicken,,,366.0,False,366.0,2.0,6.0,[],,False,False,"['UK', 'EU']",,,https://cibjeqgftuxuezarjsdl.supabase.co/storage/v1/object/public/dog-food/4paws-supplies-working-dog-cold-pressed-choice-chicken.jpg?,https://petfoodexpert.com/food/4paws-supplies-working-dog-cold-pressed-choice-chicken,food_candidates,2025-09-07T02:11:18.466447+00:00,2,"[{'source': 'food_candidates', 'updated_at': '2025-09-07T02:11:18.466447+00:00'}]",
4paws|supplies_working_dog_cold_pressed_palatable_pork|unknown,4PAWS,4paws,Supplies Working Dog Cold Pressed Palatable Pork,supplies_working_dog_cold_pressed_palatable_pork,,,362.5,False,362.5,2.0,6.0,[],,False,False,"['UK', 'EU']",,,https://cibjeqgftuxuezarjsdl.supabase.co/storage/v1/object/public/dog-food/4paws-supplies-working-dog-cold-pressed-palatable-pork.jpg?,https://petfoodexpert.com/food/4paws-supplies-working-dog-cold-pressed-palatable-pork,food_candidates,2025-09-07T02:11:21.784035+00:00,2,"[{'source': 'food_candidates', 'updated_at': '2025-09-07T02:11:21.784035+00:00'}]",
4pawsraw|grain_free_angus_beef_with_carrot|raw,4PAWSRAW,4pawsraw,Grain Free Angus Beef with Carrot,grain_free_angus_beef_with_carrot,raw,,366.0,False,366.0,8.0,6.0,[],,False,False,"['UK', 'EU']",,,https://cibjeqgftuxuezarjsdl.supabase.co/storage/v1/object/public/dog-food/4pawsraw-grain-free-angus-beef-with-carrot.jpg?,https://petfoodexpert.com/food/4pawsraw-grain-free-angus-beef-with-carrot,food_candidates,2025-09-07T03:01:30.640576+00:00,3,"[{'source': 'food_candidates', 'updated_at': '2025-09-07T03:01:30.640576+00:00'}]",
4pawsraw|grain_free_chicken_sweet_potato__herbs|raw,4PAWSRAW,4pawsraw,Grain Free Chicken Sweet Potato  Herbs,grain_free_chicken_sweet_potato__herbs,raw,,366.0,False,366.0,10.0,6.0,[],,False,False,"['UK', 'EU']",,,https://cibjeqgftuxuezarjsdl.supabase.co/storage/v1/object/public/dog-food/4pawsraw-chicken-sweet-potato-herbs.jpg?,https://petfoodexpert.com/food/4pawsraw-chicken-sweet-potato-herbs,food_candidates,2025-09-07T03:01:21.113269+00:00,3,"[{'source': 'food_candidates', 'updated_at': '2025-09-07T03:01:21.113269+00:00'}]",
"4pawsraw|grain_free_haddock,_sweet_potato_with_parsley|raw",4PAWSRAW,4pawsraw,"Grain Free Haddock, Sweet Potato With Parsley","grain_free_haddock,_sweet_potato_with_parsley",raw,,366.0,False,366.0,8.0,6.0,[],,False,False,"['UK', 'EU']",,,https://cibjeqgftuxuezarjsdl.supabase.co/storage/v1/object/public/dog-food/4pawsraw-grain-free-haddock-sweet-potato-with-parsley.jpg?,https://petfoodexpert.com/food/4pawsraw-grain-free-haddock-sweet-potato-with-parsley,food_candidates,2025-09-07T03:01:53.651829+00:00,3,"[{'source': 'food_candidates', 'updated_at': '2025-09-07T03:01:53.651829+00:00'}]",
"4pawsraw|grain_free_lamb,_sweet_potato__mint|raw",4PAWSRAW,4pawsraw,"Grain Free Lamb, Sweet Potato  Mint","grain_free_lamb,_sweet_potato__mint",raw,,376.0,False,376.0,8.0,8.0,[],,False,False,"['UK', 'EU']",,,https://cibjeqgftuxuezarjsdl.supabase.co/storage/v1/object/public/dog-food/4pawsraw-grain-free-lamb-sweet-potato-mint.jpg?,https://petfoodexpert.com/food/4pawsraw-grain-free-lamb-sweet-potato-mint,food_candidates,2025-09-07T03:01:27.636035+00:00,3,"[{'source': 'food_candidates', 'updated_at': '2025-09-07T03:01:27.636035+00:00'}]",
