aadf_brand_raw,aadf_brand_normalized,aadf_product_name,aadf_form,aadf_key,match_score,exact_key_match,canonical_brand,canonical_product_name,canonical_key,canonical_form
Forthglade,Forthglade,complete meal with brown rice,wet,forthglade|complete_meal_with_brown_rice|wet,0.20833333333333334,False,Forthglade,Salmon Cold Pressed,forthglade|salmon_cold_pressed|unknown,dry
Ava,Ava,breed health pug,wet,ava|breed_health_pug|wet,0.0,False,,,,
Fish4Dogs,Fish4Dogs,finest complete,dry,fish4dogs|finest_complete|dry,0.0,False,,,,
Paleo,Paleo,ridge classic,unknown,paleo|ridge_classic|unknown,0.0,False,,,,
Nutribalance,Nutribalance,,wet,nutribalance||wet,0.0,False,,,,
Nutro,Nutro,grain free,dry,nutro|grain_free|dry,0.0,False,,,,
Eukanuba,Eukanuba,daily care sensitive skin,dry,eukanuba|daily_care_sensitive_skin|dry,0.4150943396226416,False,Eukanuba,Adult Large Breed Lamb  Rice,eukanuba|adult_large_breed_lamb__rice|dry,dry
Icepaw,Icepaw,sport pure 30 20,wet,icepaw|sport_pure_30_20|wet,0.0,False,,,,
Royal Canin,Royal Canin,golden retriever,wet,royal_canin|golden_retriever|wet,0.0,False,,,,
Scrumbles,Scrumbles,and,wet,scrumbles|and|wet,0.0,False,,,,
CSJ,CSJ,thatll do hi lost,dry,csj|thatll_do_hi_lost|dry,0.0,False,,,,
Essential,Essential,superior living,dry,essential|superior_living|dry,0.0,False,,,,
Feelwells,Feelwells,grain free,dry,feelwells|grain_free|dry,0.0,False,,,,
Southend Dog,Southend Dog,cold pressed,wet,southend_dog|cold_pressed|wet,0.0,False,,,,
Country Pursuit,Country Pursuit,muesli moist mix,dry,country_pursuit|muesli_moist_mix|dry,0.0,False,,,,
Salters,Salters,,wet,salters||wet,0.0,False,,,,
Noochy Poochy,Noochy Poochy,,dry,noochy_poochy||dry,0.0,False,,,,
Husse,Husse,prima plus,wet,husse|prima_plus|wet,0.0,False,,,,
Calibra Expert,Calibra Expert,nutrition mobility,dry,calibra_expert|nutrition_mobility|dry,0.0,False,,,,
Alpha Spirit,Alpha Spirit,mediterranean diet sausage multiprotein,raw,alpha_spirit|mediterranean_diet_sausage_multiprotein|raw,0.23684210526315788,False,Alpha Spirit,Alpha Spirit 7 Days Formula (Semi-Moist),alpha_spirit|alpha_spirit_7_days_formula_(semi-moist)|dry,dry
Rocco,Rocco,,wet,rocco||wet,0.0,False,,,,
Cooper,Cooper,and co grain free,wet,cooper|and_co_grain_free|wet,0.0,False,,,,
Wainwrights,Wainwrights,mature,wet,wainwrights|mature|wet,0.0,False,,,,
Wainwrights,Wainwrights,,wet,wainwrights||wet,0.0,False,,,,
Ci,Ci,tickety boo,wet,ci|tickety_boo|wet,0.0,False,,,,
Josera,Josera,youngstar,wet,josera|youngstar|wet,0.0,False,,,,
Ava,Ava,breed health cockapoo,wet,ava|breed_health_cockapoo|wet,0.0,False,,,,
Beta,Beta,,dry,beta||dry,0.0,False,,,,
Wainwrights,Wainwrights,and potato,wet,wainwrights|and_potato|wet,0.0,False,,,,
Country Dog,Country Dog,classic 1,dry,country_dog|classic_1|dry,0.0,False,,,,
Pets at Home,Pets at Home,complete nutrition mature,wet,pets_at_home|complete_nutrition_mature|wet,0.0,False,,,,
Wildways,Wildways,,wet,wildways||wet,0.0,False,,,,
Pro Plan,Pro Plan,all size light sterilised optiweight,wet,pro_plan|all_size_light_sterilised_optiweight|wet,0.0,False,,,,
Wainwrights,Wainwrights,grain free mature,wet,wainwrights|grain_free_mature|wet,0.0,False,,,,
Barking Heads,Barking Heads,big foot days,wet,barking_heads|big_foot_days|wet,0.6842105263157895,False,Barking Heads,Heads Big Foot Puppy Days,barking|heads_big_foot_puppy_days|dry,dry
Wolf of Wilderness,Wolf of Wilderness,the taste of mini kibbles,wet,wolf_of_wilderness|the_taste_of_mini_kibbles|wet,0.0,False,,,,
Gentle,Gentle,bites,wet,gentle|bites|wet,0.0,False,,,,
Fish4Dogs,Fish4Dogs,superior complete,wet,fish4dogs|superior_complete|wet,0.0,False,,,,
Ava,Ava,breed health german shepherd,wet,ava|breed_health_german_shepherd|wet,0.0,False,,,,
