product_key,brand,brand_slug,brand_family,product_name,name_slug,form,life_stage,kcal_per_100g,protein_percent,fat_percent,fiber_percent,ash_percent,moisture_percent,ingredients_raw,ingredients_tokens,price_per_kg_eur,price_bucket,available_countries,sources,product_url,staging_source,staging_confidence
1k_1_018_f9e3c3,"1k 1,018",1k_1_018,1k,"1k 1,018 people have viewed this product in the last 30 days Forthglade Complete Meal with Brown Rice Adult (5 varieties) Type: Complete Wet paté/loaf Breeds: All breeds Ages: From 12 months to old age RRP: 395g trays = £1.75",1k-1-018-people-have-viewed-this-product-in-the-last-30-days-forthglade-complete-meal-with-brown-ric,wet,senior,,,,,,,"Chicken (75%), Brown Rice (4%), Carrots (2%), Peas (2%), Minerals, Linseed Oil (0.5%), Dried Seaweed (0.45%), Herbs (Camomile, Parsley, Rosemary, Nettle) (0.12%), Glucosamine (50mg/kg), Chondroitin (50mg/kg), Chicory Root Extract (as a Source of Prebiotic Fructo-Oligosaccharide (0.05%), Yucca Extract (0.005%).","[""Chicken (75%)"", ""Brown Rice (4%)"", ""Carrots (2%)"", ""Peas (2%)"", ""Minerals"", ""Linseed Oil (0.5%)"", ""Dried Seaweed (0.45%)"", ""Herbs (Camomile"", ""Parsley"", ""Rosemary"", ""Nettle) (0.12%)"", ""Glucosamine (50mg/kg)"", ""Chondroitin (50mg/kg)"", ""Chicory Root Extract (as a Source of Prebiotic Fructo-Oligosaccharide (0.05%)"", ""Yucca Extract (0.005%).""]",7.421333333333333,low,"[""UK""]","[{""type"": ""retailer:aadf"", ""url"": ""https://www.allaboutdogfood.co.uk/dog-food-reviews/0535/forthglade-complete-meal-with-brown-rice-adult""}]",https://www.allaboutdogfood.co.uk/dog-food-reviews/0535/forthglade-complete-meal-with-brown-rice-adult,aadf,0.7
31_31_5ac9f1,31 31,31_31,31,31 31 people have viewed this product in the last 30 days Ava Breed Health Pug Dry Type: Complete Dry extruded Breeds: Pugs Ages: From 10 months to old age RRP: 1.5kg bags = £8.49,31-31-people-have-viewed-this-product-in-the-last-30-days-ava-breed-health-pug-dry-type-complete-dry,dry,senior,,,,,,,"Fish Meal (20.5%), White Fish (19.0%), Potato (17.3%), Sweet Potato (15.6%), Salmon Oil (7.7%), Beet Pulp (7.0%), Cellulose (2.6%), Brewers Yeast, Salmon Stock (2.2%), Peas, Sunflower Oil, Minerals, Egg, Chicory Inulin (a Source of Prebiotic Fructooligosaccharides (2, 000mg/kg), Yeasts(1375mg/kg), Glucosamine (700mg/kg), Chondroitin Sulphate (500mg/kg), Mint (440mg/kg), Yucca Schidigera Extract (250mg/kg), Cranberry Extract (180mg/kg), Pomegranate Extract (90mg/kg), Green Tea Extract (90mg/kg).","[""Fish Meal (20.5%)"", ""White Fish (19.0%)"", ""Potato (17.3%)"", ""Sweet Potato (15.6%)"", ""Salmon Oil (7.7%)"", ""Beet Pulp (7.0%)"", ""Cellulose (2.6%)"", ""Brewers Yeast"", ""Salmon Stock (2.2%)"", ""Peas"", ""Sunflower Oil"", ""Minerals"", ""Egg"", ""Chicory Inulin (a Source of Prebiotic Fructooligosaccharides (2"", ""000mg/kg)"", ""Yeasts(1375mg/kg)"", ""Glucosamine (700mg/kg)"", ""Chondroitin Sulphate (500mg/kg)"", ""Mint (440mg/kg)"", ""Yucca Schidigera Extract (250mg/kg)""]",3.5573333333333337,low,"[""UK""]","[{""type"": ""retailer:aadf"", ""url"": ""https://www.allaboutdogfood.co.uk/dog-food-reviews/1847/ava-breed-health-pug-dry""}]",https://www.allaboutdogfood.co.uk/dog-food-reviews/1847/ava-breed-health-pug-dry,aadf,0.7
234_234_cad491,234 234,234_234,234,234 234 people have viewed this product in the last 30 days Fish4Dogs Finest Complete (3 varieties) Type: Complete Dry extruded Breeds: All breeds Ages: From 12 months to old age RRP: 12kg bags from £53.50,234-234-people-have-viewed-this-product-in-the-last-30-days-fish4dogs-finest-complete-3-varieties-ty,dry,senior,,,,,,,"Ocean White Fish (27%), Potato (23%), Pea Flour (21%), Salmon Meal (12%), Salmon Oil (8.7%), Beet Pulp, Brewers Yeast, Sunflower Oil, Minerals.","[""Ocean White Fish (27%)"", ""Potato (23%)"", ""Pea Flour (21%)"", ""Salmon Meal (12%)"", ""Salmon Oil (8.7%)"", ""Beet Pulp"", ""Brewers Yeast"", ""Sunflower Oil"", ""Minerals.""]",2.6373333333333333,low,"[""UK""]","[{""type"": ""retailer:aadf"", ""url"": ""https://www.allaboutdogfood.co.uk/dog-food-reviews/0086/fish4dogs-finest-complete""}]",https://www.allaboutdogfood.co.uk/dog-food-reviews/0086/fish4dogs-finest-complete,aadf,0.7
216_216_464ee0,216 216,216_216,216,216 216 people have viewed this product in the last 30 days Paleo Ridge Classic (5 varieties) Type: Complete Raw Breeds: All breeds Ages: From 2 months to old age RRP: 1kg boxes from £4.99,216-216-people-have-viewed-this-product-in-the-last-30-days-paleo-ridge-classic-5-varieties-type-com,raw,senior,,,,,,,"60% Beef Tripe, 30% Organic Chicken Meat with Bone, 5% Beef Liver, 5% Beef Kidney.","[""60% Beef Tripe"", ""30% Organic Chicken Meat with Bone"", ""5% Beef Liver"", ""5% Beef Kidney.""]",4.814666666666667,low,"[""UK""]","[{""type"": ""retailer:aadf"", ""url"": ""https://www.allaboutdogfood.co.uk/dog-food-reviews/1936/paleo-ridge-classic""}]",https://www.allaboutdogfood.co.uk/dog-food-reviews/1936/paleo-ridge-classic,aadf,0.7
270_270_25afd8,270 270,270_270,270,270 270 people have viewed this product in the last 30 days Nutribalance Large Breed Adult Type: Complete Dry extruded Breeds: Large breeds Ages: From 12 months to 7 years RRP: 14kg bags = £31.99,270-270-people-have-viewed-this-product-in-the-last-30-days-nutribalance-large-breed-adult-type-comp,dry,adult,,,,,,,"Whole Barley, Chicken Meal (18%), Whole Maize, Rice, Poultry Oil (6.5%), Turkey Meal (4%), Sugar Beet Pellets (3%), Turkey Digest (2%), Salmon Oil (1%), Chicory Root Extract (0.2%), Mannan Oligosaccharides (0.1%), Glucosamine (0.027%), MSM (0.027%), Chondroitin (0.019%).","[""Whole Barley"", ""Chicken Meal (18%)"", ""Whole Maize"", ""Rice"", ""Poultry Oil (6.5%)"", ""Turkey Meal (4%)"", ""Sugar Beet Pellets (3%)"", ""Turkey Digest (2%)"", ""Salmon Oil (1%)"", ""Chicory Root Extract (0.2%)"", ""Mannan Oligosaccharides (0.1%)"", ""Glucosamine (0.027%)"", ""MSM (0.027%)"", ""Chondroitin (0.019%).""]",1.3493333333333335,low,"[""UK""]","[{""type"": ""retailer:aadf"", ""url"": ""https://www.allaboutdogfood.co.uk/dog-food-reviews/4152/nutribalance-large-breed-adult""}]",https://www.allaboutdogfood.co.uk/dog-food-reviews/4152/nutribalance-large-breed-adult,aadf,0.7
45_45_da516f,45 45,45_45,45,45 45 people have viewed this product in the last 30 days Nutro Grain Free Adult (2 varieties) Type: Complete Dry extruded Breeds: All breeds Ages: From 12 months to old age RRP: 11.5kg bags = £65.99,45-45-people-have-viewed-this-product-in-the-last-30-days-nutro-grain-free-adult-2-varieties-type-co,dry,senior,,,,,,,"Chicken (25%), Dried Chicken Protein, Fresh Chicken (4%), Pea Starch, Pea Protein, Poultry Fat, Dried Poultry Protein (Turkey, Goose, Duck), Beef Greaves Protein, Dried Beet Pulp, Tapioca Starch, Turkey Liver Digest, Minerals, Sunflower Oil, Chicory Extract, Rosemary Extract.","[""Chicken (25%)"", ""Dried Chicken Protein"", ""Fresh Chicken (4%)"", ""Pea Starch"", ""Pea Protein"", ""Poultry Fat"", ""Dried Poultry Protein (Turkey"", ""Goose"", ""Duck)"", ""Beef Greaves Protein"", ""Dried Beet Pulp"", ""Tapioca Starch"", ""Turkey Liver Digest"", ""Minerals"", ""Sunflower Oil"", ""Chicory Extract"", ""Rosemary Extract.""]",3.066666666666667,low,"[""UK""]","[{""type"": ""retailer:aadf"", ""url"": ""https://www.allaboutdogfood.co.uk/dog-food-reviews/2106/nutro-grain-free-adult""}]",https://www.allaboutdogfood.co.uk/dog-food-reviews/2106/nutro-grain-free-adult,aadf,0.7
60_60_0e4b34,60 60,60_60,60,60 60 people have viewed this product in the last 30 days Eukanuba Daily Care Sensitive Skin Type: Complete Dry extruded Breeds: All breeds Ages: From 12 months to old age RRP: 12kg bags = £52.99,60-60-people-have-viewed-this-product-in-the-last-30-days-eukanuba-daily-care-sensitive-skin-type-co,dry,senior,,,,,,,"Maize, Fish Meal (21%), Animal Fat (from Chicken and Pork), Dried Whole Egg, Dried Beet Pulp (3.3%), Hydrolysed Fish Proteins, Brewer's Dried Yeast, Fructooligosaccharides (0.52%), Dicalcium Phosphate, Sodium Chloride, Potassium Chloride, Sodium Hexametaphosphate, Calcium Carbonate.","[""Maize"", ""Fish Meal (21%)"", ""Animal Fat (from Chicken and Pork)"", ""Dried Whole Egg"", ""Dried Beet Pulp (3.3%)"", ""Hydrolysed Fish Proteins"", ""Brewer's Dried Yeast"", ""Fructooligosaccharides (0.52%)"", ""Dicalcium Phosphate"", ""Sodium Chloride"", ""Potassium Chloride"", ""Sodium Hexametaphosphate"", ""Calcium Carbonate.""]",2.238666666666667,low,"[""UK""]","[{""type"": ""retailer:aadf"", ""url"": ""https://www.allaboutdogfood.co.uk/dog-food-reviews/0412/eukanuba-daily-care-sensitive-skin""}]",https://www.allaboutdogfood.co.uk/dog-food-reviews/0412/eukanuba-daily-care-sensitive-skin,aadf,0.7
14_14_6ffdea,14 14,14_14,14,14 14 people have viewed this product in the last 30 days Icepaw Sport Pure 30/20 Type: Complete Dry extruded Breeds: All dogs except toy breeds Ages: From 12 months to old age RRP: 15kg bags = £59.99,14-14-people-have-viewed-this-product-in-the-last-30-days-icepaw-sport-pure-30-20-type-complete-dry-,dry,senior,,,,,,,"Fish Flour (Herring) 35%, Rice 31%, Rice Flour 4%, Poultry Fat, Salmon Oil 4%, Dried Beet Pulp, Linseed Oil 0.2%, Rosemary Extract 0.01%, Glucosamine-Hcl 0.01%, Yucca Schidigera 0.02%.","[""Fish Flour (Herring) 35%"", ""Rice 31%"", ""Rice Flour 4%"", ""Poultry Fat"", ""Salmon Oil 4%"", ""Dried Beet Pulp"", ""Linseed Oil 0.2%"", ""Rosemary Extract 0.01%"", ""Glucosamine-Hcl 0.01%"", ""Yucca Schidigera 0.02%.""]",3.68,low,"[""UK""]","[{""type"": ""retailer:aadf"", ""url"": ""https://www.allaboutdogfood.co.uk/dog-food-reviews/1713/icepaw-sport-pure-30-20""}]",https://www.allaboutdogfood.co.uk/dog-food-reviews/1713/icepaw-sport-pure-30-20,aadf,0.7
227_227_26cf23,227 227,227_227,227,227 227 people have viewed this product in the last 30 days Royal Canin Golden Retriever Puppy Type: Complete Dry extruded Breeds: Golden Retrievers Ages: From 2 months to 15 months RRP: 12kg bags = £76.99,227-227-people-have-viewed-this-product-in-the-last-30-days-royal-canin-golden-retriever-puppy-type-,dry,,,,,,,,"Dehydrated Poultry Protein, Rice, Maize, Vegetable Protein Isolate, Wheat, Animal Fats, Vegetable Fibres, Hydrolysed Animal Proteins, Beet Pulp, Fish Oil, Minerals, Soya Oil, Fructo-Oligo-Saccharides (0.34%), Psyllium Husks and Seeds, Hydrolysed Yeast, Hydrolysed Crustaceans, Borage Oil (0.1%), Yeasts Extracts, Marigold Extract, Hydrolysed Cartilage.","[""Dehydrated Poultry Protein"", ""Rice"", ""Maize"", ""Vegetable Protein Isolate"", ""Wheat"", ""Animal Fats"", ""Vegetable Fibres"", ""Hydrolysed Animal Proteins"", ""Beet Pulp"", ""Fish Oil"", ""Minerals"", ""Soya Oil"", ""Fructo-Oligo-Saccharides (0.34%)"", ""Psyllium Husks and Seeds"", ""Hydrolysed Yeast"", ""Hydrolysed Crustaceans"", ""Borage Oil (0.1%)"", ""Yeasts Extracts"", ""Marigold Extract"", ""Hydrolysed Cartilage.""]",4.876000000000001,low,"[""UK""]","[{""type"": ""retailer:aadf"", ""url"": ""https://www.allaboutdogfood.co.uk/dog-food-reviews/2739/royal-canin-golden-retriever-puppy""}]",https://www.allaboutdogfood.co.uk/dog-food-reviews/2739/royal-canin-golden-retriever-puppy,aadf,0.5
823_823_76255e,823 823,823_823,823,823 823 people have viewed this product in the last 30 days Scrumbles Adult & Senior Turkey Type: Complete Dry extruded Breeds: All breeds Ages: From 12 months to 0 months RRP: 15kg bags = £86.00,823-823-people-have-viewed-this-product-in-the-last-30-days-scrumbles-adult-senior-turkey-type-compl,dry,adult,,,,,,,"50% Turkey (26% Freshly Prepared Turkey, 20% Dehydrated Turkey, 4% Turkey Fat), Sweet Potato, Peas, Beet Pulp, Vegetable Digest, 1% Whole Linseed, Vitamins and Minerals, 01% Chicory, 0.02% Extract of Yucca Schidigera, 0.02% Glucosamine, 0.015% Chondroitin, Dried Spearmint.","[""50% Turkey (26% Freshly Prepared Turkey"", ""20% Dehydrated Turkey"", ""4% Turkey Fat)"", ""Sweet Potato"", ""Peas"", ""Beet Pulp"", ""Vegetable Digest"", ""1% Whole Linseed"", ""Vitamins and Minerals"", ""01% Chicory"", ""0.02% Extract of Yucca Schidigera"", ""0.02% Glucosamine"", ""0.015% Chondroitin"", ""Dried Spearmint.""]",,,"[""UK""]","[{""type"": ""retailer:aadf"", ""url"": ""https://www.allaboutdogfood.co.uk/dog-food-reviews/4162/scrumbles-adult-and-senior-turkey""}]",https://www.allaboutdogfood.co.uk/dog-food-reviews/4162/scrumbles-adult-and-senior-turkey,aadf,0.7
