brand,base_name,variant_count,product_key,product_name,is_parent,has_size,size_value,has_pack,pack_value,has_ingredients,has_nutrition,ingredients_consistent,nutrition_consistent
Purizon Wet Dog Food,purizon adult 6 x,3,purizonwetdogfood|purizon_adult_6_x_300g|wet,Purizon Adult 6 x 300g,True,True,300g,True,6 x 300g,True,False,False,True
Purizon Wet Dog Food,purizon adult 6 x,3,purizonwetdogfood|purizon_adult_6_x_800g|wet,Purizon Adult 6 x 800g,False,True,800g,True,6 x 800g,True,False,False,True
Purizon Wet Dog Food,purizon adult 6 x,3,purizonwetdogfood|purizon_adult_6_x_400g|wet,Purizon Adult 6 x 400g,False,True,400g,True,6 x 400g,True,False,False,True
Mjamjam Wet Dog Food,mjamjam adult dog 6 x,3,mjamjamwetdogfood|mjamjam_adult_dog_6_x_800g|wet,MjAMjAM Adult Dog 6 x 800g,True,True,800g,True,6 x 800g,True,False,False,True
Mjamjam Wet Dog Food,mjamjam adult dog 6 x,3,mjamjamwetdogfood|mjamjam_adult_dog_6_x_400g|wet,MjAMjAM Adult Dog 6 x 400g,False,True,400g,True,6 x 400g,True,False,False,True
Mjamjam Wet Dog Food,mjamjam adult dog 6 x,3,mjamjamwetdogfood|mjamjam_adult_dog_6_x_200g|wet,MjAMjAM Adult Dog 6 x 200g,False,True,200g,True,6 x 200g,False,False,False,True
Animonda,animonda grancarno adult single protein supreme 6 x,3,animonda|animonda_grancarno_adult_single_protein_supreme_6_x_400g|wet,animonda GranCarno Adult Single Protein Supreme 6 x 400g,True,True,400g,True,6 x 400g,True,False,False,True
Animonda,animonda grancarno adult single protein supreme 6 x,3,animonda|animonda_grancarno_adult_single_protein_supreme_6_x_800g|wet,animonda GranCarno Adult Single Protein Supreme 6 x 800g,False,True,800g,True,6 x 800g,True,False,False,True
Animonda,animonda grancarno adult single protein supreme 6 x,3,animonda|animonda_grancarno_adult_single_protein_supreme_6_x_400_g|wet,animonda GranCarno Adult Single Protein Supreme 6 x 400 g,False,True,400 g,True,6 x 400 g,True,False,False,True
Doggy Dog,doggy dog adult saver pack 24 x,3,doggydog|doggy_dog_adult_saver_pack_24_x_400g|wet,Doggy Dog Adult Saver Pack 24 x 400g,True,True,400g,True,24 x 400g,True,False,False,True
