web-scraper-order,web-scraper-start-url,pagination-selector,data-page-selector,data-page-selector-href,image-0-src,text-1,text-2,text-3,text-4
"1757701912-1","https://www.zooplus.com/shop/dogs/dry_dog_food","","Josera YoungStar 900g","https://www.zooplus.com/shop/dogs/dry_dog_food/josera/518435?activeVariant=518435.5","https://media.zooplus.com/bilder/9/400/141297_pla_youngstar_mit_schatten_900g_9.jpg","Josera YoungStar","","","Grain free puppy food for young dogs aged 8 weeks+, with poultry meat and moderate energy content, plus a balanced phosphorus and calcium ratio to promote healthy bone growth"
"1757701915-2","https://www.zooplus.com/shop/dogs/dry_dog_food","","Wolf of Wilderness Adult ""Rocky Canyons"" Free-Range Beef 1kg","https://www.zooplus.com/shop/dogs/dry_dog_food/wolf_of_wilderness/wow_elements_dry_dog_food/1417686?activeVariant=1417686.1","","Wolf of Wilderness Adult ""Rocky Canyons"" Free-Range Beef","","","Grain-free single protein complete dry dog food made with 40% delicious fresh beef meat and offal, enriched with vegetables and wild herbs. With aloe vera. Responsibly bred meat, recyclable packaging."
"1757701917-3","https://www.zooplus.com/shop/dogs/dry_dog_food","","Isegrim Junior ""River"" Salmon with Berries & Wild Herbs 3 kg","https://www.zooplus.com/shop/dogs/dry_dog_food/isegrim/1583540?activeVariant=1583540.0","","Isegrim Junior ""River"" Salmon with Berries & Wild Herbs","","","Specially developed for puppies: Grain-free dry food with fresh salmon, fine berries and potatoes as an important energy supplier. For species-appropriate nutrition right from the start"
"1757701920-4","https://www.zooplus.com/shop/dogs/dry_dog_food","","Fokker Press-Fit Economy Pack: 2 x 13kg","https://www.zooplus.com/shop/dogs/dry_dog_food/fokker/1584056?activeVariant=1584056.0","","Fokker Press-Fit","","","Cold-pressed dry food for adult dogs, with lots of chicken, high digestibility, nutrient-rich recipe, natural ingredients, gentle production, grain- & gluten-free, very tasty"
"1757701922-5","https://www.zooplus.com/shop/dogs/dry_dog_food","","Natura Diet Reduced -20% Calories Turkey Economy package: 2 x 12 kg","https://www.zooplus.com/shop/dogs/dry_dog_food/naturadiet/1584205?activeVariant=1584205.0","","Natura Diet Reduced -20% Calories Turkey","","","Calorie-reduced dry food for adult dogs, ideal for overweight dogs, balanced recipe with turkey, gluten-free and well tolerated, prepared with vital nutrients, produced in Spain"
"1757701924-6","https://www.zooplus.com/shop/dogs/dry_dog_food","","Trovet Hypoallergenic Insect IPD Economy package: 2 x 10 kg","https://www.zooplus.com/shop/dogs/dry_dog_food/trovet/1584574?activeVariant=1584574.0","","Trovet Hypoallergenic Insect IPD","","","Dietetic dry food for dogs with food allergies and intolerances, hypoallergenic recipe, insects as the only source of animal protein, potatoes as a source of carbohydrates"
"1757701927-7","https://www.zooplus.com/shop/dogs/dry_dog_food","","mera Care Adult with Lamb & Rice 10kg","https://www.zooplus.com/shop/dogs/dry_dog_food/mera_dog/classic/1491031?activeVariant=1491031.2","","mera Care Adult with Lamb & Rice","","","Complete dry food for adult dogs, formula with well-tolerated ingredients such as lamb and rice, without wheat and sugar, contains prebiotic inulin, made in Germany."
"1757701929-8","https://www.zooplus.com/shop/dogs/dry_dog_food","","mera Pure Sensitive Adult Lamb & Rice 12.5kg","https://www.zooplus.com/shop/dogs/dry_dog_food/mera_dog/1949119?activeVariant=1949119.0","","mera Pure Sensitive Adult Lamb & Rice","","","Easy to digest dry food for dogs, only one protein and carbohydrate source each, also suitable for allergies, with omega 3 and 6 fatty acids for skin & fur, with antioxidants, gluten free"
"1757701931-9","https://www.zooplus.com/shop/dogs/dry_dog_food","","Farmina N&D grain-free Ocean Herring & Orange Adult Medium & Maxi 12kg","https://www.zooplus.com/shop/dogs/dry_dog_food/farmina/ocean/1949757?activeVariant=1949757.0","","Farmina N&D grain-free Ocean Herring & Orange Adult Medium & Maxi","","","High-quality dry food for fully grown dogs of medium and large breeds, with fresh herring and oranges, without genetically engineered ingredients or artificial preservatives, grain-free, well-accepted"
"1757701934-10","https://www.zooplus.com/shop/dogs/dry_dog_food","","N&D Tropical Selection Adult Medium/Maxi with Lamb 10kg","https://www.zooplus.com/shop/dogs/dry_dog_food/farmina/tropical_selection/2098208?activeVariant=2098208.1","","N&D Tropical Selection Adult Medium/Maxi with Lamb","","","High-quality dry dog food with easy-to-digest lamb combined with a tasty mix of tropical fruits, with a low glycaemic index to help promote a long-lasting sense of satiety."
