web-scraper-order,web-scraper-start-url,category-link-0,category-link-0-href,pagination-selector,data-page-selector,data-page-selector-href,product_name-0,product_description-0,image-0-src,text-3,text-4
"1757695483-1","https://www.zooplus.com/shop/dogs/dry_dog_food","Wet Dog Food","https://www.zooplus.com/shop/dogs/canned_dog_food","","Wolf of Wilderness Senior ""Free-Range"" 6 x 800g Senior Green Fields - Free-Range Lamb & Free-Range Chicken","https://www.zooplus.com/shop/dogs/canned_dog_food/wolf_of_wilderness/free_range_meat/1218127?activeVariant=1218127.1","Wolf of Wilderness Senior ""Free-Range"" 6 x 800g","Complete wet food for older dogs made with 100% free-range meat and offal. This 100% grain-free recipe also contains wild berries, roots and herbs. Responsibly bred meat, recyclable packaging.","","",""
"1757695486-2","https://www.zooplus.com/shop/dogs/dry_dog_food","Wet Dog Food","https://www.zooplus.com/shop/dogs/canned_dog_food","","Forthglade Just 90% Grain-Free Adult Dog - Just Poultry 12 x 395g","https://www.zooplus.com/shop/dogs/canned_dog_food/forthglade/just_90/957017?activeVariant=957017.3","Forthglade Just 90% Grain-Free Adult Dog - Just Poultry","Rich in protein and full of flavour, this supplementary wet dog food contains proper chicken and turkey with key minerals, designed to support your dog's health and be kind on sensitive tummies.","","",""
"1757695488-3","https://www.zooplus.com/shop/dogs/dry_dog_food","Wet Dog Food","https://www.zooplus.com/shop/dogs/canned_dog_food","","Economy pack Happy Dog Sensible Pure 24 x 400 g Mix Sensible (3 varieties)","https://www.zooplus.com/shop/dogs/canned_dog_food/happy_dog/1582651?activeVariant=1582651.0","Economy pack Happy Dog Sensible Pure 24 x 400 g","Stock up now! Grain-free dog food in a large economy pack, high meat content with only one animal protein source, 100% animal protein, wholesome and complete, no added sugar","","",""
"1757695490-4","https://www.zooplus.com/shop/dogs/dry_dog_food","Wet Dog Food","https://www.zooplus.com/shop/dogs/canned_dog_food","","MAC's Superfood 6 x 400g Beef & Vegetables","https://www.zooplus.com/shop/dogs/canned_dog_food/macs/1861287?activeVariant=1861287.1","MAC's Superfood 6 x 400g","Complete wet food for dogs, with a high meat content and food-grade quality ingredients, rich in vitamins and fibre thanks to a high vegetable content, with grain-free recipes for easy digestion.","","",""
"1757695493-5","https://www.zooplus.com/shop/dogs/dry_dog_food","Wet Dog Food","https://www.zooplus.com/shop/dogs/canned_dog_food","","Terra Canis Essential 8+ 6 x 780g Chicken & Turkey","https://www.zooplus.com/shop/dogs/canned_dog_food/terra_canis/terracanis_menu/1948338?activeVariant=1948338.1","Terra Canis Essential 8+ 6 x 780g","Balanced wet food for dogs of all breeds and sizes, with 8 selected ingredients in duo-protein recipes, gluten-free and developed by veterinarians to be a source of essential fatty acids.","","",""
"1757695495-6","https://www.zooplus.com/shop/dogs/dry_dog_food","Wet Dog Food","https://www.zooplus.com/shop/dogs/canned_dog_food","","Terra Canis Essential 8+ 6 x 780g Chicken & Beef","https://www.zooplus.com/shop/dogs/canned_dog_food/terra_canis/terracanis_menu/1948338?activeVariant=1948338.2","Terra Canis Essential 8+ 6 x 780g","Balanced wet food for dogs of all breeds and sizes, with 8 selected ingredients in duo-protein recipes, gluten-free and developed by veterinarians to be a source of essential fatty acids.","","",""
"1757695498-7","https://www.zooplus.com/shop/dogs/dry_dog_food","Wet Dog Food","https://www.zooplus.com/shop/dogs/canned_dog_food","","Almo Nature HFC 6 x 290g Tuna & Chicken","https://www.zooplus.com/shop/dogs/canned_dog_food/almo_nature/cans/1949775?activeVariant=1949775.0","Almo Nature HFC 6 x 290g","Exquisite, natural wet food for all dogs, cooked in its own stock to help retain nutrients and its delicious natural flavour, free from additives, in a recipe that is easy-to-digest and well-accepted.","","",""
"1757695500-8","https://www.zooplus.com/shop/dogs/dry_dog_food","Wet Dog Food","https://www.zooplus.com/shop/dogs/canned_dog_food","","RINTI Filetto Pouch in Jelly 8 x 100g Mixed Pack (4 Varieties)","https://www.zooplus.com/shop/dogs/canned_dog_food/rinti/rinti_pouches/2201828?activeVariant=2201828.0","RINTI Filetto Pouch in Jelly 8 x 100g","Excellent wet food for dogs, high-quality supplement to the main food, high meat content, with easily digestible rice, low-fat recipe, in soft jelly, with four varieties in a mixed pack option.","","",""
"1757695503-9","https://www.zooplus.com/shop/dogs/dry_dog_food","Wet Dog Food","https://www.zooplus.com/shop/dogs/canned_dog_food","","Forza10 Active Line Renal with Lamb 6 x 390g","https://www.zooplus.com/shop/dogs/canned_dog_food/forza10/2212707?activeVariant=2212707.0","Forza10 Active Line Renal with Lamb","Tasty wet dietetic food for adult dogs, to support kidney function in chronic- and acute renal insufficiency, with less protein and phosphorus, high-quality protein sources, with rice.","","",""
"1757695506-10","https://www.zooplus.com/shop/dogs/dry_dog_food","Wet Dog Food","https://www.zooplus.com/shop/dogs/canned_dog_food","","Forza10 ActiWet Hypoallergenic Fish 12 x 100g","https://www.zooplus.com/shop/dogs/canned_dog_food/forza10/2218464?activeVariant=2218464.0","Forza10 ActiWet Hypoallergenic Fish","Balanced wet dietetic food for adult dogs with food intolerances, with rice and fish as selected sources of carbohydrates and protein in a limited list of ingredients, highly digestible, with herbs.","","",""
"1757695508-11","https://www.zooplus.com/shop/dogs/dry_dog_food","Wet Dog Food","https://www.zooplus.com/shop/dogs/canned_dog_food","","Advance Veterinary Diets Gastroenteric Medium/Maxi 400g","https://www.zooplus.com/shop/dogs/canned_dog_food/advance_veterinary_diets/gastrointestinal/2260472?activeVariant=2260472.1","Advance Veterinary Diets Gastroenteric Medium/Maxi","Easily-digestible dietetic wet food for adult dogs of medium to large breeds (from 10kg) and puppies from 14 weeks, increased electrolyte content, reduced fibre content, selected proteins.","","",""
"1757695510-12","https://www.zooplus.com/shop/dogs/dry_dog_food","Wet Dog Food","https://www.zooplus.com/shop/dogs/canned_dog_food","","Applaws Puppy Taste Toppers in Broth 6 x 156g Chicken Breast","https://www.zooplus.com/shop/dogs/canned_dog_food/applaws/applaws_cans/2340721?activeVariant=2340721.1","Applaws Puppy Taste Toppers in Broth 6 x 156g","Gluten-free wet food for puppies, a delicious food topping to increase acceptance, containing fine strips of meat in savoury broth, refined with gluten-free rice, promotes fluid intake.","","",""
"1757695513-13","https://www.zooplus.com/shop/dogs/dry_dog_food","Wet Dog Food","https://www.zooplus.com/shop/dogs/canned_dog_food","","Briantos Chunks in Gravy Saver Pack 48 x 100g Beef & carrots","https://www.zooplus.com/shop/dogs/canned_dog_food/briantos/briantos_chunks_in_gravy/2096931?activeVariant=2096931.2","Briantos Chunks in Gravy Saver Pack 48 x 100g","The wet food Briantos Chunks in Gravy is a grain-free complete food with meat and carrots. Developed for the needs of adult dogs. Contains no artificial flavorings. Great value in a 48 x 100g saver pack!","","",""
"1757695515-14","https://www.zooplus.com/shop/dogs/dry_dog_food","Wet Dog Food","https://www.zooplus.com/shop/dogs/canned_dog_food","","Friskies Adult in Sauce Beef, Chicken & Lamb 12 x 85g","https://www.zooplus.com/shop/dogs/canned_dog_food/friskies_wet_food/2184568?activeVariant=2184568.2","Friskies Adult in Sauce Beef, Chicken & Lamb","Balanced and complete wet food for adult dogs, in a delicious sauce. In three delicious flavours, with beef, chicken and lamb. Each recipe contains all the important vitamins and minerals.","","",""
"1757695518-15","https://www.zooplus.com/shop/dogs/dry_dog_food","Wet Dog Food","https://www.zooplus.com/shop/dogs/canned_dog_food","","alpha spirit Dog Meatballs 6 x 400g Beef & Sage","https://www.zooplus.com/shop/dogs/canned_dog_food/alpha_spirit/1970065?activeVariant=1970065.6","alpha spirit Dog Meatballs 6 x 400g","Innovative wet food for dogs, with juicy meatballs in a cooking gravy, with 80% fresh meat refined with vegetables and spices, grain- and gluten-free, gently cooked to retain flavour and nutrients.","","",""
"1757695520-16","https://www.zooplus.com/shop/dogs/dry_dog_food","Wet Dog Food","https://www.zooplus.com/shop/dogs/canned_dog_food","","MjAMjAM Pure Single Meat 6 x 400g Pure Chicken","https://www.zooplus.com/shop/dogs/canned_dog_food/mjamjam_wet_dog_food/mjamjam_single_protein/1995842?activeVariant=1995842.3","MjAMjAM Pure Single Meat 6 x 400g","Single-protein wet dog food, free from lactose, added sugar, grains and meat meal, with a natural prey concept and high content of meat and offal, easy to digest and enriched with natural calcium.","","",""
"1757695522-17","https://www.zooplus.com/shop/dogs/dry_dog_food","Wet Dog Food","https://www.zooplus.com/shop/dogs/canned_dog_food","","MjAMjAM Adult Dog 6 x 400g Mixed Pack I (3 Varieties)","https://www.zooplus.com/shop/dogs/canned_dog_food/mjamjam_wet_dog_food/mjamjam_adult/1995712?activeVariant=1995712.3","MjAMjAM Adult Dog 6 x 400g","Wholesome wet food for adult dogs, in a range of tasty flavours each with a high meat content and mono-protein recipe, based on natural nutrition and containing no grains or gluten.","","",""
"1757695526-18","https://www.zooplus.com/shop/dogs/dry_dog_food","Wet Dog Food","https://www.zooplus.com/shop/dogs/canned_dog_food","","Cesar Classic Selection Mixed Pack Classic Terrine (8 x 150g)","https://www.zooplus.com/shop/dogs/canned_dog_food/cesar/1949547?activeVariant=1949547.3","Cesar Classic Selection Mixed Pack","Delicious wet dog food for adult dogs, with hearty pâtés in 4 different varieties, with vitamins and minerals, free from sugar and artificial flavourings, with natural ingredients.","","",""
"1757695528-19","https://www.zooplus.com/shop/dogs/dry_dog_food","Wet Dog Food","https://www.zooplus.com/shop/dogs/canned_dog_food","","MAC's Superfood 6 x 400g Poultry & Vegetables","https://www.zooplus.com/shop/dogs/canned_dog_food/macs/1861287?activeVariant=1861287.0","MAC's Superfood 6 x 400g","Complete wet food for dogs, with a high meat content and food-grade quality ingredients, rich in vitamins and fibre thanks to a high vegetable content, with grain-free recipes for easy digestion.","","",""
"1757695531-20","https://www.zooplus.com/shop/dogs/dry_dog_food","Wet Dog Food","https://www.zooplus.com/shop/dogs/canned_dog_food","","Briantos Chunks in Gravy Saver Pack 48 x 100g Salmon & carrots","https://www.zooplus.com/shop/dogs/canned_dog_food/briantos/briantos_chunks_in_gravy/2096931?activeVariant=2096931.3","Briantos Chunks in Gravy Saver Pack 48 x 100g","The wet food Briantos Chunks in Gravy is a grain-free complete food with meat and carrots. Developed for the needs of adult dogs. Contains no artificial flavorings. Great value in a 48 x 100g saver pack!","","",""
"1757695533-21","https://www.zooplus.com/shop/dogs/dry_dog_food","Wet Dog Food","https://www.zooplus.com/shop/dogs/canned_dog_food","","Rocco Single Meat 6 x 400g Lamb","https://www.zooplus.com/shop/dogs/canned_dog_food/rocco/single_meat/1874716?activeVariant=1874716.1","Rocco Single Meat 6 x 400g","Mono-protein, grain-free wet dog food, made with a single source of protein. This tasty recipe consists of 70% meat and offal. All ingredients are 100% fresh, with no artificial additives or fillers.","","",""
"1757695535-22","https://www.zooplus.com/shop/dogs/dry_dog_food","Wet Dog Food","https://www.zooplus.com/shop/dogs/canned_dog_food","","Briantos Chunks in Gravy 12 x 100g Salmon & carrots","https://www.zooplus.com/shop/dogs/canned_dog_food/briantos/briantos_chunks_in_gravy/2096583?activeVariant=2096583.2","Briantos Chunks in Gravy 12 x 100g","The wet food Briantos Chunks in Gravy is a grain-free complete food with meat and carrots. Developed for the needs of adult dogs. Contains no artificial flavorings.","","",""
"1757695538-23","https://www.zooplus.com/shop/dogs/dry_dog_food","Wet Dog Food","https://www.zooplus.com/shop/dogs/canned_dog_food","","Encore Dog Jelly Pouch Multipack 100g Meat Selection (5 x 100g)","https://www.zooplus.com/shop/dogs/canned_dog_food/encore/pouches/694532?activeVariant=694532.4","Encore Dog Jelly Pouch Multipack 100g","Premium wet food for dogs, with 100% natural ingredients including chicken, fish and vegetables in jelly, ideal for daily feeding, with three tasty flavours in each pack and no artificial additives.","https://media.zooplus.com/bilder/1/400/4139010_pla_encoredog_jelly_pouchmix_fleisct_hs_01_1.jpg","",""
"1757695540-24","https://www.zooplus.com/shop/dogs/dry_dog_food","Wet Dog Food","https://www.zooplus.com/shop/dogs/canned_dog_food","","Rocco Single Meat 6 x 800g Tripe","https://www.zooplus.com/shop/dogs/canned_dog_food/rocco/single_meat/1874717?activeVariant=1874717.4","Rocco Single Meat 6 x 800g","Delicious single meat wet dog food, made with just one source of protein. The grain-free recipe contains 70% meat and offal and is made using 100% fresh ingredients of the highest quality. No fillers.","","",""
"1757695542-25","https://www.zooplus.com/shop/dogs/dry_dog_food","Wet Dog Food","https://www.zooplus.com/shop/dogs/canned_dog_food","","Wolf of Wilderness Adult ""Expedition"", 6 x 400 g Stony Creek - Poultry with beef","https://www.zooplus.com/shop/dogs/canned_dog_food/wolf_of_wilderness/1947647?activeVariant=1947647.0","Wolf of Wilderness Adult ""Expedition"", 6 x 400 g","The 100% grain-free recipe, enriched with forest berries, roots and wild herbs, supports digestion and is optimally suited for dogs with intolerance or allergy to grains.","","",""
"1757695545-26","https://www.zooplus.com/shop/dogs/dry_dog_food","Wet Dog Food","https://www.zooplus.com/shop/dogs/canned_dog_food","","Encore Dog Tin 12 x 156g Chicken Breast with Rice","https://www.zooplus.com/shop/dogs/canned_dog_food/encore/cans/694530?activeVariant=694530.1","Encore Dog Tin 12 x 156g","Premium wet food for dogs, 100% natural, with flavoursome meat, rice & vegetables, rich in taurine, omega fatty acids, arginine & proteins, available in different varieties, no additives","https://media.zooplus.com/bilder/8/400/82370_pla_encore_dog156g_chicken_hs_01_8.jpg","",""
"1757695547-27","https://www.zooplus.com/shop/dogs/dry_dog_food","Wet Dog Food","https://www.zooplus.com/shop/dogs/canned_dog_food","","Wolf of Wilderness Adult “The Taste of” Mixed Pack 6 x 400g Mixed Pack (5 Varieties)","https://www.zooplus.com/shop/dogs/canned_dog_food/wolf_of_wilderness/206790/701304?activeVariant=701304.1","Wolf of Wilderness Adult “The Taste of” Mixed Pack","Try all 3 varieties in this mixed pack. Grain-free, with lots of fresh meat and offal, this wet dog food is inspired by the local diet of the wild wolf in Canada, Scandinavia or the Mediterranean.","https://media.zooplus.com/bilder/2/400/wow_the_taste_of_mix_5_6x400g_2.jpg","",""
"1757695550-28","https://www.zooplus.com/shop/dogs/dry_dog_food","Wet Dog Food","https://www.zooplus.com/shop/dogs/canned_dog_food","","Wolf of Wilderness Senior ""Free-Range"" 6 x 800g Senior Wild Hills - Free-Range Duck & Free-Range Veal","https://www.zooplus.com/shop/dogs/canned_dog_food/wolf_of_wilderness/free_range_meat/1218127?activeVariant=1218127.0","Wolf of Wilderness Senior ""Free-Range"" 6 x 800g","Complete wet food for older dogs made with 100% free-range meat and offal. This 100% grain-free recipe also contains wild berries, roots and herbs. Responsibly bred meat, recyclable packaging.","","",""
"1757695552-29","https://www.zooplus.com/shop/dogs/dry_dog_food","Wet Dog Food","https://www.zooplus.com/shop/dogs/canned_dog_food","","alpha spirit Multi-Flavour Pouch for Dogs 10 x 100 g","https://www.zooplus.com/shop/dogs/canned_dog_food/alpha_spirit/1583006?activeVariant=1583006.0","alpha spirit Multi-Flavour Pouch for Dogs","High quality wet food for small breed dogs, delicious pâté in 4 flavours, with lots of fresh meat, gluten-free recipe, food quality ingredients, very tasty","","",""
"1757695554-30","https://www.zooplus.com/shop/dogs/dry_dog_food","Wet Dog Food","https://www.zooplus.com/shop/dogs/canned_dog_food","","Applaws Taste Toppers Stew 6 x 156g Chicken","https://www.zooplus.com/shop/dogs/canned_dog_food/applaws/applaws_cans/1638439?activeVariant=1638439.2","Applaws Taste Toppers Stew 6 x 156g","Irresistible dog food topping, ideal as a natural supplement to dry food, rich in moisture and made with meat offering plenty of protein, enriched with nutritious vegetables in a grain-free recipe.","","",""
"1757695557-31","https://www.zooplus.com/shop/dogs/dry_dog_food","Wet Dog Food","https://www.zooplus.com/shop/dogs/canned_dog_food","","Rocco Single Meat 6 x 400g Chicken","https://www.zooplus.com/shop/dogs/canned_dog_food/rocco/single_meat/1874716?activeVariant=1874716.2","Rocco Single Meat 6 x 400g","Mono-protein, grain-free wet dog food, made with a single source of protein. This tasty recipe consists of 70% meat and offal. All ingredients are 100% fresh, with no artificial additives or fillers.","","",""
"1757695559-32","https://www.zooplus.com/shop/dogs/dry_dog_food","Wet Dog Food","https://www.zooplus.com/shop/dogs/canned_dog_food","","Rocco Single Meat 6 x 400g Beef","https://www.zooplus.com/shop/dogs/canned_dog_food/rocco/single_meat/1874716?activeVariant=1874716.0","Rocco Single Meat 6 x 400g","Mono-protein, grain-free wet dog food, made with a single source of protein. This tasty recipe consists of 70% meat and offal. All ingredients are 100% fresh, with no artificial additives or fillers.","","",""
"1757695562-33","https://www.zooplus.com/shop/dogs/dry_dog_food","Wet Dog Food","https://www.zooplus.com/shop/dogs/canned_dog_food","","Rocco Single Meat 6 x 800g Chicken","https://www.zooplus.com/shop/dogs/canned_dog_food/rocco/single_meat/1874717?activeVariant=1874717.0","Rocco Single Meat 6 x 800g","Delicious single meat wet dog food, made with just one source of protein. The grain-free recipe contains 70% meat and offal and is made using 100% fresh ingredients of the highest quality. No fillers.","","",""
"1757695564-34","https://www.zooplus.com/shop/dogs/dry_dog_food","Wet Dog Food","https://www.zooplus.com/shop/dogs/canned_dog_food","","1 x 400g Purizon Single Meat Beef Wet Dog Food - Try Now!* Beef with Hibiscus Blossoms (400g)","https://www.zooplus.com/shop/dogs/canned_dog_food/purizon_wet_dog_food/trial_packs/2005180?activeVariant=2005180.0","1 x 400g Purizon Single Meat Beef Wet Dog Food - Try Now!*","Complete, grain-free wet dog food made with delicious beef and hibiscus blossoms! Enriched with carefully selected fruit and vegetables. Try a single 400g can now!","","",""
"1757695567-35","https://www.zooplus.com/shop/dogs/dry_dog_food","Wet Dog Food","https://www.zooplus.com/shop/dogs/canned_dog_food","","PURINA ONE Mini Adult Weight Control Turkey 10 x 85g","https://www.zooplus.com/shop/dogs/canned_dog_food/purina_one/adult/2006994?activeVariant=2006994.1","PURINA ONE Mini Adult Weight Control Turkey","Protein-rich wet food for small breed adult dogs up to 10kg. This recipe contains a reduced fat content with carrots & peas. With prebiotic inulin for optimum digestion.","","",""
"1757695569-36","https://www.zooplus.com/shop/dogs/dry_dog_food","Wet Dog Food","https://www.zooplus.com/shop/dogs/canned_dog_food","","Lily's Kitchen Puppy Recipe with Turkey, Duck & Kale 6 x 400g","https://www.zooplus.com/shop/dogs/canned_dog_food/lilys_kitchen_wet_dog_food/lilys_kitchen_tray_dog_food/375092?activeVariant=375092.5","Lily's Kitchen Puppy Recipe with Turkey, Duck & Kale","Complete, balanced wet food designed to provide all the nutrients needed for a puppy over the age of 8 weeks, to support healthy development with a grain-free recipe full of flavour.","https://media.zooplus.com/bilder/7/400/478497_pla_lilys_kitchen_puppy_recipe_turkey_duck_wet_dog_food_400g_hs_01_7.jpg","",""
"1757695571-37","https://www.zooplus.com/shop/dogs/dry_dog_food","Wet Dog Food","https://www.zooplus.com/shop/dogs/canned_dog_food","","Royal Canin Maxi Adult in Loaf 12 x 410g","https://www.zooplus.com/shop/dogs/canned_dog_food/royal_canin/size/2049681?activeVariant=2049681.1","Royal Canin Maxi Adult in Loaf","Tasty wet food for large breed adult dogs (26-44 kg), with highly-digestible proteins, prebiotic fibres for optimum digestion, balanced nutrient profile and soft texture for high levels of acceptance.","https://media.zooplus.com/bilder/4/400/492142_pla_royal_canin_maxi_adult_mousse_hs_01_4.jpg","",""
"1757695574-38","https://www.zooplus.com/shop/dogs/dry_dog_food","Wet Dog Food","https://www.zooplus.com/shop/dogs/canned_dog_food","","Briantos Chunks in Gravy 12 x 100g Chicken and carrots","https://www.zooplus.com/shop/dogs/canned_dog_food/briantos/briantos_chunks_in_gravy/2096583?activeVariant=2096583.0","Briantos Chunks in Gravy 12 x 100g","The wet food Briantos Chunks in Gravy is a grain-free complete food with meat and carrots. Developed for the needs of adult dogs. Contains no artificial flavorings.","","",""
"1757695576-39","https://www.zooplus.com/shop/dogs/dry_dog_food","Wet Dog Food","https://www.zooplus.com/shop/dogs/canned_dog_food","","MjAMjAM Junior 6 x 200g Juicy Chicken with Egg","https://www.zooplus.com/shop/dogs/canned_dog_food/mjamjam_wet_dog_food/mjamjam_junior/2108460?activeVariant=2108460.0","MjAMjAM Junior 6 x 200g","High-quality wet dog food for puppies with lots of delicious chicken, mono-protein recipe, grain-free, gluten, lactose and added sugar, source of vitamin E, made in Germany.","","",""
"1757695578-40","https://www.zooplus.com/shop/dogs/dry_dog_food","Wet Dog Food","https://www.zooplus.com/shop/dogs/canned_dog_food","","Rocco Single Meat 6 x 800g Turkey","https://www.zooplus.com/shop/dogs/canned_dog_food/rocco/single_meat/1874717?activeVariant=1874717.3","Rocco Single Meat 6 x 800g","Delicious single meat wet dog food, made with just one source of protein. The grain-free recipe contains 70% meat and offal and is made using 100% fresh ingredients of the highest quality. No fillers.","","",""
"1757695581-41","https://www.zooplus.com/shop/dogs/dry_dog_food","Wet Dog Food","https://www.zooplus.com/shop/dogs/canned_dog_food","","Rocco Single Meat 6 x 800g Beef","https://www.zooplus.com/shop/dogs/canned_dog_food/rocco/single_meat/1874717?activeVariant=1874717.2","Rocco Single Meat 6 x 800g","Delicious single meat wet dog food, made with just one source of protein. The grain-free recipe contains 70% meat and offal and is made using 100% fresh ingredients of the highest quality. No fillers.","","",""
"1757695583-42","https://www.zooplus.com/shop/dogs/dry_dog_food","Wet Dog Food","https://www.zooplus.com/shop/dogs/canned_dog_food","","Almo Nature HFC 6 x 280g / 290g Skipjack Tuna & Cod (290g)","https://www.zooplus.com/shop/dogs/canned_dog_food/almo_nature/cans/431509?activeVariant=431509.7","Almo Nature HFC 6 x 280g / 290g","Great tasting, top quality wet food. Naturally rich in protein and nutrients it is preserved in its cooking stock. It is easy to digest and provides natural, additive-free nutrition for your dog.","","",""
"1757695586-43","https://www.zooplus.com/shop/dogs/dry_dog_food","Wet Dog Food","https://www.zooplus.com/shop/dogs/canned_dog_food","","RINTI Light Prey 9 x 300 g Chicken","https://www.zooplus.com/shop/dogs/canned_dog_food/rinti/1949625?activeVariant=1949625.1","RINTI Light Prey 9 x 300 g","Low-calorie dog food, rich in lean chicken, low fat ingredients, ideal for small dogs, easy to digest, pleasantly satiety, conveniently portioned, made in Germany","","",""
"1757695589-44","https://www.zooplus.com/shop/dogs/dry_dog_food","Wet Dog Food","https://www.zooplus.com/shop/dogs/canned_dog_food","","Briantos Delicious Paté 12x100g Mixed Pack - (Chicken,Beef,Salmon)","https://www.zooplus.com/shop/dogs/canned_dog_food/briantos/delicious_pate/2096661?activeVariant=2096661.0","Briantos Delicious Paté 12x100g","Briantos Delicious Paté is a wet food with a grain-free recipe. Developed for the needs of adult dogs. No added sugar, no artificial flavorings","","",""
"1757695591-45","https://www.zooplus.com/shop/dogs/dry_dog_food","Wet Dog Food","https://www.zooplus.com/shop/dogs/canned_dog_food","","MAC's Mono Sensitive 6 x 800 g Red Deer","https://www.zooplus.com/shop/dogs/canned_dog_food/macs/1947909?activeVariant=1947909.3","MAC's Mono Sensitive 6 x 800 g","Grain-free wet dog food, only one type of meat, 70% meat content, tasty & rich in vital substances, free from artificial additives, suitable for exclusion diets, from Germany","","",""
"1757695593-46","https://www.zooplus.com/shop/dogs/dry_dog_food","Wet Dog Food","https://www.zooplus.com/shop/dogs/canned_dog_food","","Briantos Delicious Paté Saver Pack 48 x 100g Mixed Pack - (Chicken,Beef,Salmon)","https://www.zooplus.com/shop/dogs/canned_dog_food/briantos/delicious_pate/2096908?activeVariant=2096908.1","Briantos Delicious Paté Saver Pack 48 x 100g","Briantos Delicious Paté is a wet food with a grain-free recipe. Developed for the needs of adult dogs. No added sugar, no artificial flavorings.  Great value in a 48 x 100g saver pack!","","",""
"1757695595-47","https://www.zooplus.com/shop/dogs/dry_dog_food","Wet Dog Food","https://www.zooplus.com/shop/dogs/canned_dog_food","","Briantos Chunks in Gravy 12 x 100g Beef & carrots","https://www.zooplus.com/shop/dogs/canned_dog_food/briantos/briantos_chunks_in_gravy/2096583?activeVariant=2096583.1","Briantos Chunks in Gravy 12 x 100g","The wet food Briantos Chunks in Gravy is a grain-free complete food with meat and carrots. Developed for the needs of adult dogs. Contains no artificial flavorings.","","",""
"1757695598-48","https://www.zooplus.com/shop/dogs/dry_dog_food","Wet Dog Food","https://www.zooplus.com/shop/dogs/canned_dog_food","","Briantos Chunks in Gravy Saver Pack 48 x 100g Chicken and carrots","https://www.zooplus.com/shop/dogs/canned_dog_food/briantos/briantos_chunks_in_gravy/2096931?activeVariant=2096931.1","Briantos Chunks in Gravy Saver Pack 48 x 100g","The wet food Briantos Chunks in Gravy is a grain-free complete food with meat and carrots. Developed for the needs of adult dogs. Contains no artificial flavorings. Great value in a 48 x 100g saver pack!","","",""
"1757695600-49","https://www.zooplus.com/shop/dogs/dry_dog_food","Wet Dog Food","https://www.zooplus.com/shop/dogs/canned_dog_food","","MAC's Adult 6 x 800g Reindeer & Vegetables","https://www.zooplus.com/shop/dogs/canned_dog_food/macs/1947907?activeVariant=1947907.6","MAC's Adult 6 x 800g","Tasty complete food for fully grown dogs, grain-free and balanced recipe, 60-70% meat content depending on the variety, no animal or bone meal, no soya, produced in Germany.","","",""
"1757695603-50","https://www.zooplus.com/shop/dogs/dry_dog_food","Wet Dog Food","https://www.zooplus.com/shop/dogs/canned_dog_food","","Purizon Organic 6 x 800g Chicken & Goose with Pumpkin","https://www.zooplus.com/shop/dogs/canned_dog_food/purizon_wet_dog_food/organic/1870766?activeVariant=1870766.2","Purizon Organic 6 x 800g","Grain-free, protein-rich organic wet dog food. This complete wet food is made with organic meat, offal and fish. It also contains organically grown fruit and veg. Suitable for dogs with sensitive digestions.","","",""
"1757695605-51","https://www.zooplus.com/shop/dogs/dry_dog_food","Wet Dog Food","https://www.zooplus.com/shop/dogs/canned_dog_food","","Purizon Organic 6 x 800g Beef & Chicken with Carrot","https://www.zooplus.com/shop/dogs/canned_dog_food/purizon_wet_dog_food/organic/1870766?activeVariant=1870766.3","Purizon Organic 6 x 800g","Grain-free, protein-rich organic wet dog food. This complete wet food is made with organic meat, offal and fish. It also contains organically grown fruit and veg. Suitable for dogs with sensitive digestions.","","",""
