product_key,brand,product_name,product_url
bosch|bosch_adult_poultry_millet_dry_dog_food|dry,Bosch,bosch Adult Poultry & Millet Dry Dog Food,https://www.zooplus.com/shop/dogs/dry_dog_food/bosch/bosch_adult/128376?activeVariant=128376.8
purizon|purizongrainfreetrialpacks|dry,Purizon,Purizon Grain-free Trial Packs,https://www.zooplus.com/shop/dogs/dry_dog_food/purizon/trial_packs/1191314
bugbell|bugbellbonepower|dry,Bugbell,BugBell Bone Power,https://www.zooplus.com/shop/dogs/dry_dog_food/bugbell/2220522?activeVariant=2220522.3
royalcaninveterinaryexpert|royalcaninexpertcanineneuteredadultlargedog|dry,Royal Canin Veterinary & Expert,Royal Canin Expert Canine Neutered Adult Large Dog,https://www.zooplus.com/shop/dogs/dry_dog_food/royal_canin_vet_diet/1949350?activeVariant=1949350.1
farmina|farmina_n_d_prime_grain_free_mini_lamb_blueberries|dry,Farmina,Farmina N&D Prime Grain Free Mini Lamb & Blueberries,https://www.zooplus.com/shop/dogs/dry_dog_food/farmina/prime/1949691?activeVariant=1949691.0
advanceveterinarydiets|advanceveterinarydietshypoallergenicmini_v2|dry,Advance Veterinary Diets,Advance Veterinary Diets Hypoallergenic Mini (Variant 2),https://www.zooplus.com/shop/dogs/dry_dog_food/advance_vet_diets/2159368?activeVariant=2159368.0
advance_veterinary_diets|advance_veterinary_diets_hypoallergenic|dry,Advance Veterinary Diets,Hypoallergenic,https://www.zooplus.com/shop/dogs/dry_dog_food/advance_vet_diets/1949491?activeVariant=1949491.2
advance_veterinary_diets|advance_veterinary_diets_hypoallergenic_mini|dry,Advance Veterinary Diets,Hypoallergenic Mini,https://www.zooplus.com/shop/dogs/dry_dog_food/advance_vet_diets/2159368?activeVariant=2159368.1
virbacveterinary|virbac_veterinary_hpm_dog_gastro_digestive_support|wet,Virbac Veterinary,Virbac Veterinary HPM Dog Gastro Digestive Support,https://www.zooplus.com/shop/dogs/canned_dog_food/virbac_veterinary/2237815?activeVariant=2237815.0
farmina|farmina_n_d_prime_canine_chicken_pomegranate_puppy_medium_maxi|dry,Farmina,Farmina N&D Prime Canine Chicken & Pomegranate Puppy Medium/Maxi,https://www.zooplus.com/shop/dogs/dry_dog_food/farmina/prime/1949799?activeVariant=1949799.1
tasteofthewild|tasteofthewildwetlandscanine|wet,Taste Of The Wild,Taste of the Wild - Wetlands Canine,https://www.zooplus.com/shop/dogs/dry_dog_food/taste_of_the_wild/231826?activeVariant=231826.9
farmina|farmina_n_d_prime_wild_boar_and_apple|dry,Farmina,Farmina N&D Prime wild boar and apple,https://www.zooplus.com/shop/dogs/dry_dog_food/farmina/prime/1949842?activeVariant=1949842.0
wolfofwilderness|wolf_of_wilderness_adult_expedition_6_x_400_g|wet,Wolf of Wilderness,"Wolf of Wilderness Adult Expedition, 6 x 400 g",https://www.zooplus.com/shop/dogs/canned_dog_food/wolf_of_wilderness/1947647?activeVariant=1947647.0
wolfofwilderness|wolf_of_wilderness_adult_expedition_6_x_800_g|wet,Wolf of Wilderness,"Wolf of Wilderness Adult Expedition, 6 x 800 g",https://www.zooplus.com/shop/dogs/canned_dog_food/wolf_of_wilderness/1947648?activeVariant=1947648.1
wolfofwilderness|wolf_of_wilderness_senior_expedition_6_x_800_g|wet,Wolf of Wilderness,"Wolf of Wilderness Senior Expedition, 6 x 800 g",https://www.zooplus.com/shop/dogs/canned_dog_food/wolf_of_wilderness/1947664?activeVariant=1947664.1
almo_nature|almo_nature_saver_pack|wet,Almo Nature,Saver Pack,https://www.zooplus.com/shop/dogs/canned_dog_food/almo_nature/cans/324903?activeVariant=324903.0
wolfofwilderness|wolf_of_wilderness_junior_poultry_with_beef|wet,Wolf of Wilderness,Wolf of Wilderness JUNIOR - poultry with beef,https://www.zooplus.com/shop/dogs/canned_dog_food/wolf_of_wilderness/1947808?activeVariant=1947808.0
wolfofwilderness|wolf_of_wilderness_adult_single_protein_mixed_packs|wet,Wolf of Wilderness,Wolf of Wilderness Adult Single Protein Mixed Packs,https://www.zooplus.com/shop/dogs/canned_dog_food/wolf_of_wilderness/206790/497196?activeVariant=497196.13
wolfofwilderness|wolf_of_wilderness_adult_single_protein_6_x_800g|wet,Wolf of Wilderness,Wolf of Wilderness Adult Single Protein 6 x 800g,https://www.zooplus.com/shop/dogs/canned_dog_food/wolf_of_wilderness/206791/497197?activeVariant=497197.5
wolfofwilderness|wolf_of_wilderness_adult_single_protein_6_x_400g|wet,Wolf of Wilderness,Wolf of Wilderness Adult Single Protein 6 x 400g,https://www.zooplus.com/shop/dogs/canned_dog_food/wolf_of_wilderness/206791/497285?activeVariant=497285.10
pedigree|pedigreejuniorpoultryvegetables|dry,Pedigree,Pedigree Junior Poultry & Vegetables,https://www.zooplus.com/shop/dogs/dry_dog_food/pedigree/pedigree_puppy/1975418?activeVariant=1975418.1
farmina|farmina_n_d_grain_free_pumpkin_adult_medium_maxi_with_chicken_pomegranate|dry,Farmina,Farmina N&D Grain Free Pumpkin Adult Medium & Maxi with Chicken & Pomegranate,https://www.zooplus.com/shop/dogs/dry_dog_food/farmina/pumpkin/1584186?activeVariant=1584186.0
farmina|farmina_n_d_grain_free_pumpkin_adult_medium_maxi_with_boar_apple|dry,Farmina,Farmina N&D Grain Free Pumpkin Adult Medium & Maxi with Boar & Apple,https://www.zooplus.com/shop/dogs/dry_dog_food/farmina/pumpkin/1584188?activeVariant=1584188.0
applaws|applaws_puppy_small_&_medium_breed_-_chicken|dry,Applaws,Puppy Small & Medium Breed - Chicken,https://www.zooplus.com/shop/dogs/dry_dog_food/applaws_dry_dog_food/354522
wolfofwilderness|wolf_of_wilderness_senior_saver_pack_24_x_400g|wet,Wolf of Wilderness,Wolf of Wilderness Senior Saver Pack 24 x 400g,https://www.zooplus.com/shop/dogs/canned_dog_food/wolf_of_wilderness/206792/651161?activeVariant=651161.1
wolfofwilderness|wolf_of_wilderness_adult_saver_pack_24_x_300g|wet,Wolf of Wilderness,Wolf of Wilderness Adult Saver Pack 24 x 300g,https://www.zooplus.com/shop/dogs/canned_dog_food/wolf_of_wilderness/206792/700959?activeVariant=700959.7
farmina|farmina_n_d_grain_free_pumpkin_adult_medium_maxi_with_lamb_blueberry|dry,Farmina,Farmina N&D Grain Free Pumpkin Adult Medium & Maxi with Lamb & Blueberry,https://www.zooplus.com/shop/dogs/dry_dog_food/farmina/pumpkin/1584189?activeVariant=1584189.0
royalcanin|royalcaninfrenchbulldogpuppy|dry,Royal Canin,Royal Canin French Bulldog Puppy,https://www.zooplus.com/shop/dogs/dry_dog_food/royal_canin_breed/french_bulldog/209128?activeVariant=209128.12
royalcanin|royalcaninrottweileradult|dry,Royal Canin,Royal Canin Rottweiler Adult,https://www.zooplus.com/shop/dogs/dry_dog_food/royal_canin_breed/rottweiler/209269?activeVariant=209269.7
arquivet|arquivet_original_adult_lamb_&_rice|dry,Arquivet,Original Adult Lamb & Rice,https://www.zooplus.com/shop/dogs/dry_dog_food/arquivet/2227240?activeVariant=2227240.0
wolfofwilderness|wolf_of_wilderness_junior_expedition_stony_creek_poultry_with_beef_1_x_400g|wet,Wolf of Wilderness,Wolf of Wilderness Junior Expedition Stony Creek - Poultry with Beef 1 x 400g,https://www.zooplus.com/shop/dogs/canned_dog_food/wolf_of_wilderness/expedition_wet_wolf_of_wilderness/1947611?activeVariant=1947611.0
wolfofwilderness|wolf_of_wilderness_expedition_stony_creek_poultry_with_beef_1_x_400g|wet,Wolf of Wilderness,Wolf of Wilderness Expedition Stony Creek - Poultry with Beef 1 x 400g,https://www.zooplus.com/shop/dogs/canned_dog_food/wolf_of_wilderness/expedition_wet_wolf_of_wilderness/1947646?activeVariant=1947646.0
