db_product_key,db_product_name,staging_url,has_ingredients_preview
almo_nature|almo_nature_saver_pack|wet,Saver Pack,https://www.zooplus.com/shop/dogs/canned_dog_food/almo_nature/cans/324903?activeVariant=324903.4,True
cesar|cesar_natural_goodness_grain-free_with_superfoods|wet,Natural Goodness Grain-Free with Superfoods,https://www.zooplus.com/shop/dogs/canned_dog_food/cesar/adult_trays/1987430?activeVariant=1987430.1,True
wolf-of-wilderness|wolf_of_wilderness_grain-free_trial_pack|dry,Grain-Free Trial Pack,https://www.zooplus.com/shop/dogs/dry_dog_food/wolf_of_wilderness/trial_pack/1960043?activeVariant=1960043.0,True
lukullus|lukullus_saver_pack|wet,Saver Pack,https://www.zooplus.com/shop/dogs/canned_dog_food/lukullus/natural_food/330262?activeVariant=330262.25,True
rinti|rinti_adult|wet,Adult,https://www.zooplus.com/shop/dogs/canned_dog_food/rinti/rinti_cans/128729?activeVariant=128729.20,True
rocco|rocco_classic_saver_pack|wet,Classic Saver Pack,https://www.zooplus.com/shop/dogs/canned_dog_food/rocco/rocco_classic/154458?activeVariant=154458.8,True
rocco|rocco_diet_care_hepatic_-_chicken_with_oat_flakes_&_cottage_cheese|wet,Diet Care Hepatic - Chicken with Oat Flakes & Cottage Cheese,https://www.zooplus.com/shop/dogs/canned_dog_food/rocco/rocco_diet_care/1227205?activeVariant=1227205.4,True
rocco|rocco_diet_care_weight_control_-_beef_&_chicken|wet,Diet Care Weight Control - Beef & Chicken,https://www.zooplus.com/shop/dogs/canned_dog_food/rocco/rocco_diet_care/761120?activeVariant=761120.0,True
"wolf-of-wilderness|wolf_of_wilderness_""triple_taste""|wet","""Triple Taste""",https://www.zooplus.com/shop/dogs/canned_dog_food/wolf_of_wilderness/hundenassfuttermitdreifachenproteinenregionen/1952494?activeVariant=1952494.2,True
wolf-of-wilderness|wolf_of_wilderness_senior|wet,Senior,https://www.zooplus.com/shop/dogs/canned_dog_food/wolf_of_wilderness/wolf_of_wilderness_senior/651160?activeVariant=651160.0,True
royal-canin|royal_canin_veterinary_dog_-_renal_in_gravy|wet,Veterinary Dog - Renal in Gravy,https://www.zooplus.com/shop/dogs/canned_dog_food/royal_canin_veterinary_diet/renal/2027084?activeVariant=2027084.1,True
hill's_science_plan|hill's_science_plan_mature_adult_7+|wet,Mature Adult 7+,https://www.zooplus.com/shop/dogs/canned_dog_food/hills_science_plan/128629?activeVariant=128629.12,True
hill's_science_plan|hill's_science_plan_puppy_&_mother_tender_mousse|wet,Puppy & Mother Tender Mousse,https://www.zooplus.com/shop/dogs/canned_dog_food/hills_science_plan/1981435?activeVariant=1981435.0,True
cesar|cesar_natural_goodness|wet,Natural Goodness,https://www.zooplus.com/shop/dogs/canned_dog_food/cesar/cans/1195343?activeVariant=1195343.2,True
lukullus|lukullus_menu_gustico_beef_–_grain-free|wet,Menu Gustico Beef – Grain-free,https://www.zooplus.com/shop/dogs/canned_dog_food/lukullus/lukullus_menu_gustico/741150?activeVariant=741150.1,True
rocco|rocco_classic_trio_di_carne|wet,Classic Trio di Carne,https://www.zooplus.com/shop/dogs/canned_dog_food/rocco/rocco_trio_di_carne/1633611?activeVariant=1633611.2,True
rocco|rocco_diet_care_hypoallergenic_-_lamb|wet,Diet Care Hypoallergenic - Lamb,https://www.zooplus.com/shop/dogs/canned_dog_food/rocco/rocco_diet_care/761217?activeVariant=761217.3,True
wolfofwilderness|wolfofwildernessadultsaverpack|wet,Wolf of Wilderness Adult Saver Pack,https://www.zooplus.com/shop/dogs/canned_dog_food/wolf_of_wilderness/206792/1379339?activeVariant=1379339.2,True
lukullus|lukullussaverpack_v9|wet,Lukullus Saver Pack (Variant 9),https://www.zooplus.com/shop/dogs/canned_dog_food/lukullus/natural_food/330351?activeVariant=330351.22,True
purizon|purizonadult|wet,Purizon Adult,https://www.zooplus.com/shop/dogs/canned_dog_food/purizon_wet_dog_food/adult/1549511?activeVariant=1549511.5,True
purizon|purizonadult_v2|wet,Purizon Adult (Variant 2),https://www.zooplus.com/shop/dogs/canned_dog_food/purizon_wet_dog_food/adult/1549511?activeVariant=1549511.5,True
encore|encoredogjellypouchmultipack|wet,Encore Dog Jelly Pouch Multipack,https://www.zooplus.com/shop/dogs/canned_dog_food/encore/pouches/694532?activeVariant=694532.4,True
burns|burnswetfoodfordogs|wet,Burns Wet Food for Dogs,https://www.zooplus.com/shop/dogs/canned_dog_food/burns_wet/burns_pouches/1997759?activeVariant=1997759.7,True
crave|craveadult|wet,Crave Adult,https://www.zooplus.com/shop/dogs/canned_dog_food/crave/976315?activeVariant=976315.1,True
encore|encoredoggravypouchmix|wet,Encore Dog Gravy Pouch Mix,https://www.zooplus.com/shop/dogs/canned_dog_food/encore/pouches/1925280?activeVariant=1925280.0,True
rinti|rinticanineintestinalwithlamb400g|wet,RINTI Canine Intestinal with Lamb 400 g,https://www.zooplus.com/shop/dogs/canned_dog_food/rinti/specialist_diet/1582656?activeVariant=1582656.0,True
