product_key,brand,product_name,product_url,food_type,has_ingredients,ingredients_preview,source_file,base_url
advanceveterinarydiets|advance_veterinary_diets_dog_atopic_mini|wet,Advance Veterinary Diets,Advance Veterinary Diets Dog Atopic Mini,https://www.zooplus.com/shop/dogs/canned_dog_food/advance_veterinary_diets/atopic/1471245?activeVariant=1471245.0,wet,False,,file1,https://www.zooplus.com/shop/dogs/canned_dog_food/advance_veterinary_diets/atopic/1471245
advanceveterinarydiets|advance_veterinary_diets_atopic_medium_maxi|wet,Advance Veterinary Diets,Advance Veterinary Diets Atopic Medium/Maxi,https://www.zooplus.com/shop/dogs/canned_dog_food/advance_veterinary_diets/atopic/2257348?activeVariant=2257348.0,wet,False,,file1,https://www.zooplus.com/shop/dogs/canned_dog_food/advance_veterinary_diets/atopic/2257348
advanceveterinarydiets|_advance_veterinary_diets_dog_gastroenteric_mini|wet,Advance Veterinary Diets,​​​​​​​Advance Veterinary Diets Dog Gastroenteric Mini,https://www.zooplus.com/shop/dogs/canned_dog_food/advance_veterinary_diets/gastrointestinal/1475126?activeVariant=1475126.0,wet,True,"Delicious dietetic food for adult dogs and puppies over 14 weeks, with digestible ingredients to help support acute absorption issues in the gut and a balanced intestinal flora, with prebiotics.",file1,https://www.zooplus.com/shop/dogs/canned_dog_food/advance_veterinary_diets/gastrointestinal/1475126
advanceveterinarydiets|advance_veterinary_diets_gastroenteric_medium_maxi|wet,Advance Veterinary Diets,Advance Veterinary Diets Gastroenteric Medium/Maxi,https://www.zooplus.com/shop/dogs/canned_dog_food/advance_veterinary_diets/gastrointestinal/2260472?activeVariant=2260472.1,wet,False,,file1,https://www.zooplus.com/shop/dogs/canned_dog_food/advance_veterinary_diets/gastrointestinal/2260472
advanceveterinarydiets|advance_veterinary_diets_hypoallergenic|wet,Advance Veterinary Diets,Advance Veterinary Diets Hypoallergenic,https://www.zooplus.com/shop/dogs/canned_dog_food/advance_veterinary_diets/hypoallergenic/2239129?activeVariant=2239129.0,wet,False,,file1,https://www.zooplus.com/shop/dogs/canned_dog_food/advance_veterinary_diets/hypoallergenic/2239129
advanceveterinarydiets|advance_veterinary_diets_recovery_mini|wet,Advance Veterinary Diets,Advance Veterinary Diets Recovery Mini,https://www.zooplus.com/shop/dogs/canned_dog_food/advance_veterinary_diets/recovery/1475438?activeVariant=1475438.1,wet,False,,file1,https://www.zooplus.com/shop/dogs/canned_dog_food/advance_veterinary_diets/recovery/1475438
advanceveterinarydiets|advance_veterinary_diets_dog_weight_balance|wet,Advance Veterinary Diets,Advance Veterinary Diets Dog Weight Balance,https://www.zooplus.com/shop/dogs/canned_dog_food/advance_veterinary_diets/weight_management/1475611?activeVariant=1475611.0,wet,False,,file1,https://www.zooplus.com/shop/dogs/canned_dog_food/advance_veterinary_diets/weight_management/1475611
advanceveterinarydiets|advance_veterinary_diets_weight_balance_medium_maxi|wet,Advance Veterinary Diets,Advance Veterinary Diets Weight Balance Medium/Maxi,https://www.zooplus.com/shop/dogs/canned_dog_food/advance_veterinary_diets/weight_management/2264158?activeVariant=2264158.0,wet,False,,file1,https://www.zooplus.com/shop/dogs/canned_dog_food/advance_veterinary_diets/weight_management/2264158
almonature|almo_nature_hfc_6_x_95g|wet,Almo Nature,Almo Nature HFC 6 x 95g,https://www.zooplus.com/shop/dogs/canned_dog_food/almo_nature/cans/128591?activeVariant=128591.5,wet,True,"High-quality wet food for adult dogs, ideal as a supplementary food with a gluten-free recipe using ingredients of food-grade quality, cooked in its own stock and free from additives, 100% natural.",file1,https://www.zooplus.com/shop/dogs/canned_dog_food/almo_nature/cans/128591
almonature|almo_nature_hfc_6_x_290g|wet,Almo Nature,Almo Nature HFC 6 x 290g,https://www.zooplus.com/shop/dogs/canned_dog_food/almo_nature/cans/1949775?activeVariant=1949775.0,wet,False,,file1,https://www.zooplus.com/shop/dogs/canned_dog_food/almo_nature/cans/1949775
almonature|almo_nature_saver_pack_12_x_95g|wet,Almo Nature,Almo Nature Saver Pack 12 x 95g,https://www.zooplus.com/shop/dogs/canned_dog_food/almo_nature/cans/324903?activeVariant=324903.4,wet,True,"Premium wet food for adult dogs, a supplementary food with a gluten-free recipe using ingredients of food-grade quality, cooked in its own stock and free from additives, in a handy saver pack!",file1,https://www.zooplus.com/shop/dogs/canned_dog_food/almo_nature/cans/324903
almonature|almo_nature_hfc_saver_pack_12_x_280g_290g|wet,Almo Nature,Almo Nature HFC Saver Pack 12 x 280g / 290g,https://www.zooplus.com/shop/dogs/canned_dog_food/almo_nature/cans/431431?activeVariant=431431.5,wet,False,,file1,https://www.zooplus.com/shop/dogs/canned_dog_food/almo_nature/cans/431431
almonature|almo_nature_hfc_6_x_280g_290g|wet,Almo Nature,Almo Nature HFC 6 x 280g / 290g,https://www.zooplus.com/shop/dogs/canned_dog_food/almo_nature/cans/431509?activeVariant=431509.7,wet,False,,file1,https://www.zooplus.com/shop/dogs/canned_dog_food/almo_nature/cans/431509
almonature|almo_nature_daily_400g|wet,Almo Nature,Almo Nature Daily 400g,https://www.zooplus.com/shop/dogs/canned_dog_food/almo_nature/daily/1583454?activeVariant=1583454.1,wet,False,,file1,https://www.zooplus.com/shop/dogs/canned_dog_food/almo_nature/daily/1583454
almonature|almo_nature_daily_9_x_300g|wet,Almo Nature,Almo Nature Daily 9 x 300g,https://www.zooplus.com/shop/dogs/canned_dog_food/almo_nature/daily/1898371?activeVariant=1898371.0,wet,False,,file1,https://www.zooplus.com/shop/dogs/canned_dog_food/almo_nature/daily/1898371
