product_key,product_name,brand,product_url
155444|12kg_iams_advanced_nutrition_dry_dog_food_10kg_2kg_free_|dry,12kg IAMS Advanced Nutrition Dry Dog Food - 10kg + 2kg Free! *,155444,https://www.zooplus.com/shop/dogs/dry_dog_food/155444/853523?activeVariant=853523.12
advanceveterinarydiets|18kg_14kg_adult_advance_dry_dog_food_3kg_2kg_free_|dry,18kg/14kg Adult Advance Dry Dog Food - 3kg/2kg Free! *,Advance Veterinary Diets,https://www.zooplus.com/shop/dogs/dry_dog_food/advance_vet_diets/1988723?activeVariant=1988723.0
advanceveterinarydiets|advance_veterinary_diets_hypoallergenic|wet,Advance Veterinary Diets Hypoallergenic,Advance Veterinary Diets,https://www.zooplus.com/shop/dogs/canned_dog_food/advance_veterinary_diets/hypoallergenic/2239129?activeVariant=2239129.0
advanceveterinarydiets|advance_veterinary_diets_urinary|dry,Advance Veterinary Diets Urinary,Advance Veterinary Diets,https://www.zooplus.com/shop/dogs/dry_dog_food/advance_vet_diets/1583121?activeVariant=1583121.1
advanceveterinarydiets|advanceveterinarydietsurinary|dry,Advance Veterinary Diets Urinary,Advance Veterinary Diets,https://www.zooplus.com/shop/dogs/dry_dog_food/advance_vet_diets/1583121?activeVariant=1583121.0
almonature|almo_nature_daily_400g|wet,Almo Nature Daily 400g,Almo Nature,https://www.zooplus.com/shop/dogs/canned_dog_food/almo_nature/daily/1583454?activeVariant=1583454.1
almonature|almonaturehfc|wet,Almo Nature HFC,Almo Nature,https://www.zooplus.com/shop/dogs/canned_dog_food/almo_nature/cans/128591?activeVariant=128591.0
almonatureholistic|almo_nature_holistic_medium_adult_dog_lamb_rice|dry,Almo Nature Holistic Medium Adult Dog - Lamb & Rice,Almo Nature Holistic,https://www.zooplus.com/shop/dogs/dry_dog_food/almo_nature_holistic/medium/136875?activeVariant=136875.1
alphaspirit|alpha_spirit_fish_dog_food|dry,Alpha Spirit Fish Dog Food,Alpha Spirit,https://www.zooplus.com/shop/dogs/dry_dog_food/alpha_spirit/grain_free/571912?activeVariant=571912.4
alphaspirit|alpha_spirit_semi_moist_puppies_complete|dry,Alpha Spirit Semi-Moist Puppies Complete,Alpha Spirit,https://www.zooplus.com/shop/dogs/dry_dog_food/alpha_spirit/semimoist/900814?activeVariant=900814.0
alphaspirit|alpha_spirit_the_only_one_7_days|dry,alpha spirit The Only One 7 Days,Alpha Spirit,https://www.zooplus.com/shop/dogs/dry_dog_food/alpha_spirit/1583218?activeVariant=1583218.0
