product_key,product_name,url
bugbell|bugbellbonepower|dry,BugBell Bone Power,https://www.zooplus.com/shop/dogs/dry_dog_food/bugbell/2220522?activeVariant=2220522.3
royalcaninveterinaryexpert|royalcaninexpertcanineneuteredadultlargedog|dry,Royal Canin Expert Canine Neutered Adult Large Dog,https://www.zooplus.com/shop/dogs/dry_dog_food/royal_canin_vet_diet/1949350?activeVariant=1949350.1
advanceveterinarydiets|advanceveterinarydietshypoallergenicmini_v2|dry,Advance Veterinary Diets Hypoallergenic Mini (Variant 2),https://www.zooplus.com/shop/dogs/dry_dog_food/advance_vet_diets/2159368?activeVariant=2159368.0
advance_veterinary_diets|advance_veterinary_diets_hypoallergenic|dry,Hypoallergenic,https://www.zooplus.com/shop/dogs/dry_dog_food/advance_vet_diets/1949491?activeVariant=1949491.2
advance_veterinary_diets|advance_veterinary_diets_hypoallergenic_mini|dry,Hypoallergenic Mini,https://www.zooplus.com/shop/dogs/dry_dog_food/advance_vet_diets/2159368?activeVariant=2159368.1
tasteofthewild|tasteofthewildwetlandscanine|wet,Taste of the Wild - Wetlands Canine,https://www.zooplus.com/shop/dogs/dry_dog_food/taste_of_the_wild/231826?activeVariant=231826.9
pedigree|pedigreejuniorpoultryvegetables|dry,Pedigree Junior Poultry & Vegetables,https://www.zooplus.com/shop/dogs/dry_dog_food/pedigree/pedigree_puppy/1975418?activeVariant=1975418.1
applaws|applaws_puppy_small_&_medium_breed_-_chicken|dry,Puppy Small & Medium Breed - Chicken,https://www.zooplus.com/shop/dogs/dry_dog_food/applaws_dry_dog_food/354522
royalcanin|royalcaninfrenchbulldogpuppy|dry,Royal Canin French Bulldog Puppy,https://www.zooplus.com/shop/dogs/dry_dog_food/royal_canin_breed/french_bulldog/209128?activeVariant=209128.12
royalcanin|royalcaninrottweileradult|dry,Royal Canin Rottweiler Adult,https://www.zooplus.com/shop/dogs/dry_dog_food/royal_canin_breed/rottweiler/209269?activeVariant=209269.7
arquivet|arquivet_original_adult_lamb_&_rice|dry,Original Adult Lamb & Rice,https://www.zooplus.com/shop/dogs/dry_dog_food/arquivet/2227240?activeVariant=2227240.0
royalcanincarenutrition|royalcaninmediumsterilised_v2|dry,Royal Canin Medium Sterilised (Variant 2),https://www.zooplus.com/shop/dogs/dry_dog_food/royal_canin_care_nutrition/296052?activeVariant=296052.9
royalcanincarenutrition|royalcaninmediumsterilised|dry,Royal Canin Medium Sterilised,https://www.zooplus.com/shop/dogs/dry_dog_food/royal_canin_care_nutrition/296052?activeVariant=296052.8
happydogsupreme|happydogsupremetoscana|dry,Happy Dog Supreme Toscana,https://www.zooplus.com/shop/dogs/dry_dog_food/happy_dog/supreme/128453
purizon|purizonsinglemeatadultdoggrainfreebeefwithhibiscus|dry,Purizon Single Meat Adult Dog - Grain-Free Beef with Hibiscus Blossoms,https://www.zooplus.com/shop/dogs/dry_dog_food/purizon/single_meat/2124227?activeVariant=2124227.2
belcando|belcando_baseline_young|dry,Baseline Young,https://www.zooplus.com/shop/dogs/dry_dog_food/belcando/baseline/2176816?activeVariant=2176816.1
dogsntiger|dogsntigeradultinnocentlamb|dry,Dogs'n Tiger Adult Innocent Lamb,https://www.zooplus.com/shop/dogs/dry_dog_food/dogsn_tiger/2188952?activeVariant=2188952.1
bosch|bosch_adult_mini_senior_dry_dog_food|dry,Adult Mini Senior Dry Dog Food,https://www.zooplus.com/shop/dogs/dry_dog_food/bosch/bosch_senior/317406?activeVariant=317406.3
bosch|bosch_hpc_adult_vegan_potato_&_pea|dry,HPC Adult Vegan Potato & Pea,https://www.zooplus.com/shop/dogs/dry_dog_food/bosch/bosch_adult/1995623?activeVariant=1995623.4
bosch|bosch_adult_mini_poultry_&_millet_dry_dog_food|dry,Adult Mini Poultry & Millet Dry Dog Food,https://www.zooplus.com/shop/dogs/dry_dog_food/bosch/bosch_adult/323020?activeVariant=323020.4
bosch|bosch_hpc_soft_maxi_water_buffalo_&_sweet_potato|dry,HPC Soft Maxi Water Buffalo & Sweet potato,https://www.zooplus.com/shop/dogs/dry_dog_food/bosch/bosch_adult/2296076?activeVariant=2296076.1
bosch|bosch_senior_age_&_weight_dry_dog_food|dry,Senior Age & Weight Dry Dog Food,https://www.zooplus.com/shop/dogs/dry_dog_food/bosch/bosch_life_protection/136396?activeVariant=136396.2
bozita|bozita_grain_free_mother_&_puppy_xl_elk|dry,Grain Free Mother & Puppy XL Elk,https://www.zooplus.com/shop/dogs/dry_dog_food/bozita/bozita_dog_food/1488409?activeVariant=1488409.7
bozita|bozita_grain_free_salmon_&_beef_for_small_dogs|dry,Grain Free Salmon & Beef for Small Dogs,https://www.zooplus.com/shop/dogs/dry_dog_food/bozita/bozita_dog_food/1488611?activeVariant=1488611.3
bozita|bozita_robur_adult_active_performance_reindeer|dry,Robur Adult Active Performance Reindeer,https://www.zooplus.com/shop/dogs/dry_dog_food/bozita/bozita_robur_dog_food/2311849?activeVariant=2311849.0
