product_key,url,brand,name
rinti|rinti_canine_diabetes_with_chicken|wet,https://www.zooplus.com/shop/dogs/canned_dog_food/rinti/specialist_diet/1582654?activeVariant=1582654.0,Rinti,RINTI Canine Diabetes with Chicken 400 g
bozita|bozita_grain_free_salmon_&_beef_for_small_dogs|dry,https://www.zooplus.com/shop/dogs/dry_dog_food/bozita/bozita_dog_food/1488611?activeVariant=1488611.3,Bozita,Bozita Grain Free Salmon & Beef for Small Dogs
bozita|bozita_grain_free_mother_&_puppy_xl_elk|dry,https://www.zooplus.com/shop/dogs/dry_dog_food/bozita/bozita_dog_food/1488409?activeVariant=1488409.7,Bozita,Bozita Grain Free Mother & Puppy XL Elk
advanceveterinarydiets|advanceveterinarydietshypoallergenicmini_v2|dry,https://www.zooplus.com/shop/dogs/dry_dog_food/advance_vet_diets/2159368?activeVariant=2159368.0,Advance Vet Diets,Advance Veterinary Diets Hypoallergenic Mini
advance_veterinary_diets|advance_veterinary_diets_hypoallergenic_mini|dry,https://www.zooplus.com/shop/dogs/dry_dog_food/advance_vet_diets/2159368?activeVariant=2159368.1,Advance Vet Diets,Advance Veterinary Diets Hypoallergenic Mini
belcando|belcando_baseline_young|dry,https://www.zooplus.com/shop/dogs/dry_dog_food/belcando/baseline/2176816?activeVariant=2176816.1,Belcando,Belcando Baseline Young
calibra|calibra_veterinary_diet_hepatic_salmon|dry,https://www.zooplus.com/shop/dogs/dry_dog_food/calibra/1949240?activeVariant=1949240.1,Calibra,Calibra Veterinary Diet Hepatic Salmon
calibra|calibra_life_senior_large_breed_fresh_beef|dry,https://www.zooplus.com/shop/dogs/dry_dog_food/calibra/1947655?activeVariant=1947655.1,Calibra,Calibra Life Senior Large Breed Fresh Beef
dogsntiger|dogsntigeradultinnocentlamb|dry,https://www.zooplus.com/shop/dogs/dry_dog_food/dogsn_tiger/2188952?activeVariant=2188952.1,Dogsn Tiger,Dogs'n Tiger Adult Innocent Lamb
bugbell|bugbellbonepower|dry,https://www.zooplus.com/shop/dogs/dry_dog_food/bugbell/2220522?activeVariant=2220522.3,Bugbell,BugBell Bone Power
bugbell|bugbell_energy_wonder|dry,https://www.zooplus.com/shop/dogs/dry_dog_food/bugbell/2220539?activeVariant=2220539.1,Bugbell,BugBell Energy Wonder
bugbell|bugbell_happy_mood|dry,https://www.zooplus.com/shop/dogs/dry_dog_food/bugbell/2220470?activeVariant=2220470.3,Bugbell,BugBell Happy Mood
bugbell|bugbell_magic_relax|dry,https://www.zooplus.com/shop/dogs/dry_dog_food/bugbell/2220822?activeVariant=2220822.3,Bugbell,BugBell Magic Relax
bosch|bosch_hpc_soft_maxi_water_buffalo_&_sweet_potato|dry,https://www.zooplus.com/shop/dogs/dry_dog_food/bosch/bosch_adult/2296076?activeVariant=2296076.1,Bosch,bosch HPC Soft Maxi Water Buffalo & Sweet potato
bozita|bozita_robur_adult_active_performance_reindeer|dry,https://www.zooplus.com/shop/dogs/dry_dog_food/bozita/bozita_robur_dog_food/2311849?activeVariant=2311849.0,Bozita,Bozita Robur Adult Active Performance Reindeer
bozita|bozita_robur_puppy_&_junior_chicken|dry,https://www.zooplus.com/shop/dogs/dry_dog_food/bozita/bozita_robur_dog_food/2311868?activeVariant=2311868.3,Bozita,Bozita Robur Puppy & Junior Chicken
