product_key,brand,brand_slug,product_name,ingredients_tokens,form,life_stage,kcal_per_100g
4paws|supplies_premium_cold_pressed_lovely_lamb|dry,4PAWS,4paws,Supplies Premium Cold Pressed Lovely Lamb,[],,,366.0
4paws|supplies_premium_cold_pressed_omega_salmon|dry,4PAWS,4paws,Supplies Premium Cold Pressed Omega Salmon,[],,,366.0
4paws|supplies_premium_cold_pressed_tasty_chicken|dry,4PAWS,4paws,Supplies Premium Cold Pressed Tasty Chicken,[],,,366.0
4paws|supplies_working_dog_cold_pressed_brilliant_beef|dry,4PAWS,4paws,Supplies Working Dog Cold Pressed Brilliant Beef,[],,,366.0
4paws|supplies_working_dog_cold_pressed_choice_chicken|dry,4PAWS,4paws,Supplies Working Dog Cold Pressed Choice Chicken,[],,,366.0
4paws|supplies_working_dog_cold_pressed_palatable_pork|dry,4PAWS,4paws,Supplies Working Dog Cold Pressed Palatable Pork,[],,,362.5
4pawsraw|grain_free_angus_beef_with_carrot|dry,4PAWSRAW,4pawsraw,Grain Free Angus Beef with Carrot,[],raw,,366.0
4pawsraw|grain_free_chicken_sweet_potato_herbs|dry,4PAWSRAW,4pawsraw,Grain Free Chicken Sweet Potato  Herbs,[],raw,,366.0
4pawsraw|grain_free_haddock_sweet_potato_with_parsley|dry,4PAWSRAW,4pawsraw,"Grain Free Haddock, Sweet Potato With Parsley",[],raw,,366.0
4pawsraw|grain_free_lamb_sweet_potato_mint|dry,4PAWSRAW,4pawsraw,"Grain Free Lamb, Sweet Potato  Mint",[],raw,,376.0
4pawsraw|grain_free_light_turkey_sweet_potato_cranberry|dry,4PAWSRAW,4pawsraw,"Grain Free Light Turkey, Sweet Potato  Cranberry",[],raw,,362.5
4pawsraw|grain_free_pork_sweet_potato_apple|dry,4PAWSRAW,4pawsraw,Grain Free Pork Sweet Potato  Apple,[],raw,,372.5
4pawsraw|grain_free_puppy_chicken_turkey_salmon_sweet_potato_carrot|dry,4PAWSRAW,4pawsraw,"Grain Free Puppy Chicken, Turkey, Salmon Sweet Potato  Carrot",[],raw,puppy,366.0
4pawsraw|grain_free_salmon_with_trout_asparagus|dry,4PAWSRAW,4pawsraw,Grain Free Salmon with Trout  Asparagus,[],raw,,366.0
4pawsraw|grain_free_tuna_with_salmon_sweet_potato_and_broccoli|dry,4PAWSRAW,4pawsraw,"Grain Free Tuna with Salmon, Sweet Potato and Broccoli",[],raw,,366.0
4pawsraw|grain_free_turkey_sweet_potato_cranberry|dry,4PAWSRAW,4pawsraw,Grain Free Turkey Sweet Potato  Cranberry,[],raw,,362.5
4pawsraw|grain_free_venison_salmon_sweet_potato_mulberry|dry,4PAWSRAW,4pawsraw,"Grain Free Venison, Salmon, Sweet Potato  Mulberry",[],raw,,372.5
aardvark|aardvark_complete_grain_free_insect_dry_food|dry,Aardvark,aardvark,Aardvark Complete Grain Free Insect Dry Food,"['insect (insect meal', 'insect oil )', 'sweet potato', 'field beans', 'linseed', 'sunflower oil', 'vegetable stock', 'chickpea', 'vitamins and minerals', 'coconut oil', 'fructooligosaccharides', 'mannan oligosaccharides .']",dry,all,376.0
aardvark|complete_grain_free_insect_dry_food|dry,Aardvark,aardvark,Complete Grain Free Insect Dry Food,[],dry,,376.0
aatu|aatu_free_run_chicken|dry,Aatu,aatu,Aatu Free Run Chicken,"['chicken', 'dried chicken', 'sweet potato', 'tapioca', 'apple', 'chickpeas', 'peas', 'minerals', 'salmon oil', 'glucosamine mg/kg', 'methylsulfonylmethane  mg/kg', 'chondroitin  mg/kg', 'lucerne', 'cranberry', 'pear', 'blueberry', 'mulberry', 'orange', 'bilberry', 'cowberry', 'carrot', 'tomato', 'chicory', 'parsley', 'peppermint', 'spirulina', 'seaweed', 'oregano', 'sage', 'marjoram', 'thyme', 'chamomile', 'rosehip', 'stinging nettle', 'yucca', 'marigold', 'aniseed', 'fenugreek', 'cinnamon']",dry,adult,372.5
aatu|aatu_free_run_duck|dry,Aatu,aatu,Aatu Free Run Duck,"['duck', 'dried duck', 'peas', 'sweet potato', 'apple', 'chickpeas', 'minerals', 'salmon oil', 'tapioca', 'glucosamine mg/kg', 'methylsulfonylmethane  mg/kg', 'chondroitin  mg/kg', 'lucerne', 'cranberry', 'pear', 'blueberry', 'mulberry', 'orange', 'bilberry', 'cowberry', 'carrot', 'tomato', 'chicory', 'parsley', 'peppermint', 'spirulina', 'seaweed', 'oregano', 'sage', 'marjoram', 'thyme', 'chamomile', 'rosehip', 'stinging nettle', 'yucca', 'marigold', 'aniseed', 'fenugreek', 'cinnamon']",dry,adult,372.5
aatu|aatu_free_run_turkey|dry,Aatu,aatu,Aatu Free Run Turkey,"['turkey', 'dried turkey', 'peas', 'sweet potato', 'apple', 'chickpeas', 'minerals', 'salmon oil', 'tapioca', 'glucosamine mg/kg', 'methylsulfonylmethane  mg/kg', 'chondroitin  mg/kg', 'lucerne', 'cranberry', 'pear', 'blueberry', 'mulberry', 'orange', 'bilberry', 'cowberry', 'carrot', 'tomato', 'chicory', 'parsley', 'peppermint', 'spirulina', 'seaweed', 'oregano', 'sage', 'marjoram', 'thyme', 'chamomile', 'rosehip', 'stinging nettle', 'yucca', 'marigold', 'aniseed', 'fenugreek', 'cinnamon']",dry,adult,372.5
aatu|aatu_puppy_salmon|dry,Aatu,aatu,Aatu Puppy Salmon,"['salmon (includes  salmon', 'dehydrated salmon', 'salmon stock)', 'sweet potato', 'chickpeas', 'peas', 'lucerne', 'minerals', 'vitamins', 'prebiotic mos', 'prebiotic fos', 'tapioca', 'apple', 'cranberry', 'pear', 'blueberry', 'mulberry', 'orange', 'bilberry', 'cowberry', 'carrot', 'tomato', 'chicory', 'peppermint', 'parsley', 'cinnamon', 'marigold', 'stinging nettle', 'camomile', 'rosehip', 'yucca', 'spirulina', 'seaweed', 'aniseed', 'fenugreek', 'oregano', 'sage', 'marjoram', 'thyme']",dry,puppy,372.5
aatu|aatu_salmon|dry,Aatu,aatu,Aatu Salmon,"['salmon', 'dried salmon', 'sweet potato', 'peas', 'apple', 'chickpeas', 'salmon oil', 'minerals', 'sunflower oil', 'glucosamine mg/kg', 'methylsulfonylmethane  mg/kg', 'chondroitin  mg/kg', 'tapioca', 'lucerne', 'cranberry', 'pear', 'blueberry', 'mulberry', 'orange', 'bilberry', 'cowberry', 'carrot', 'tomato', 'chicory', 'parsley', 'peppermint', 'spirulina', 'seaweed', 'oregano', 'sage', 'marjoram', 'thyme', 'chamomile', 'rosehip', 'stinging nettle', 'yucca', 'marigold', 'aniseed', 'fenugreek', 'cinnamon']",dry,adult,362.5
aatu|angus_beef|dry,Aatu,aatu,Angus Beef,[],,,362.5
aatu|chicken|dry,Aatu,aatu,Chicken,[],,,382.5
aatu|duck_turkey|dry,Aatu,aatu,Duck  Turkey,[],,,372.5
aatu|free_run_chicken|dry,Aatu,aatu,Free Run Chicken,[],dry,,372.5
aatu|free_run_duck|dry,Aatu,aatu,Free Run Duck,[],dry,,372.5
aatu|free_run_turkey|dry,Aatu,aatu,Free Run Turkey,[],dry,,372.5
aatu|pork_wild_boar|dry,Aatu,aatu,Pork  Wild Boar,[],,,372.5
aatu|puppy_salmon|dry,Aatu,aatu,Puppy Salmon,[],dry,puppy,372.5
aatu|salmon|dry,Aatu,aatu,Salmon,[],dry,,362.5
aatu|shellfish|dry,Aatu,aatu,Shellfish,[],,,362.5
aatu|tuna_salmon|dry,Aatu,aatu,Tuna  Salmon,[],,,362.5
acana|acana_adult_dog_recipe_grain_free|dry,ACANA,acana,ACANA Adult Dog Recipe (Grain-Free),"['Deboned chicken', 'Chicken meal', 'Turkey meal', 'Whole peas', 'Whole lentils']",dry,adult,365.0
acana|acana_free_run_duck|dry,Acana,acana,Acana Free Run Duck,"['fresh duck', 'duck meat meal', 'whole green peas', 'whole red lentils', 'fresh duck giblets (liver', 'heart', 'kidney)', 'duck fat', 'fresh pears', 'whole garbanzo beans', 'whole green lentils', 'whole yellow peas', 'dried duck cartilage', 'lentil fibre', 'marine algae', 'fresh whole butternut squash', 'fresh whole pumpkin', 'dried brown kelp', 'freeze-dried duck liver', 'salt', 'fresh whole cranberries', 'fresh whole blueberries', 'chicory root', 'turmeric root', 'milk thistle', 'burdock root', 'lavender', 'marshmallow root', 'rosehips', 'enterococcus faecium. supplements: vitamin e', 'zinc chelate', 'copper chelate.']",dry,adult,372.5
acana|acana_grass_fed_lamb|dry,Acana,acana,Acana Grass-Fed Lamb,"['raw lamb', 'lamb meal', 'whole green peas', 'whole red lentils', 'raw lamb liver', 'canola oil', 'fresh apples', 'whole chickpeas', 'whole green lentils', 'whole yellow peas', 'lentil fibre', 'pea starch', 'sunflower oil', 'algae', 'raw lamb tripe', 'raw lamb kidney', 'fresh whole butternut squash', 'fresh whole pumpkin', 'dried kelp', 'salt', 'dried chicory root', 'whole cranberries', 'whole blueberries', 'turmeric', 'milk thistle', 'burdock root', 'lavender', 'marshmallow root', 'rosehips.']",dry,adult,372.5
acana|acana_highest_protein_grasslands|dry,Acana,acana,Acana Highest Protein Grasslands,"['raw lamb', 'raw duck', 'eggs', 'lamb meal', 'herring meal', 'turkey meal', 'whole green peas', 'whole red lentils', 'whole chickpeas', 'raw freshwater lake fish*', 'fish oil', 'raw lamb liver', 'duck liver', 'raw turkey', 'whole green lentils', 'whole pinto beans', 'whole yellow peas', 'lentil fibre', 'chicken fat', 'pea starch', 'dried kelp', 'fresh whole pumpkin', 'fresh whole butternut squash', 'fresh whole carrots', 'fresh whole apples', 'fresh whole pears', 'fresh whole zucchini', 'dried chicory root', 'freeze-dried duck and liver', 'freeze-dried lamb and liver', 'fresh kale', 'fresh spinach', 'fresh turnip greens', 'fresh beet greens', 'whole cranberries', 'whole blueberries', 'whole saskatoon berries', 'turmeric', 'milk thistle', 'burdock root', 'lavender', 'marshmallow root', 'rosehips. *varied mix of raw tullibee', 'whitefish', 'northern pike', 'and mullet']",dry,adult,382.5
acana|acana_highest_protein_pacifica|dry,Acana,acana,Acana Highest Protein Pacifica,"['raw whole herring', 'raw whole mackerel', 'raw flounder', 'herring meal', 'mackerel meal', 'blue whiting meal', 'whole green peas', 'whole red lentils', 'whole chickpeas', 'whole green lentils', 'fish oil', 'raw whole hake', 'raw whole rockfish', 'whole pinto beans', 'whole yellow peas', 'pea starch', 'sunflower oil', 'lentil fibre', 'dried kelp', 'freeze-dried cod and liver', 'fresh whole pumpkin', 'fresh whole butternut squash', 'fresh whole carrots', 'fresh whole apples', 'fresh whole pears', 'fresh whole zucchini', 'dried chicory root', 'fresh kale', 'fresh spinach', 'fresh turnip greens', 'fresh beet greens', 'whole cranberries', 'whole blueberries', 'whole saskatoon berries', 'turmeric', 'milk thistle', 'burdock root', 'lavender', 'marshmallow root', 'rosehips.']",dry,adult,372.5
acana|acana_light_fit_recipe|dry,Acana,acana,Acana Light  fit Recipe,"['fresh chicken', 'chicken meal', 'whole red lentils', 'whole green peas', 'lentil fibre', 'fresh chicken giblets (liver', 'heart)', 'turkey meal', 'fresh eggs', 'raw hake', 'whole chickpeas', 'whole green lentils', 'whole yellow peas', 'pea starch', 'herring meal', 'chicken fat', 'fish oil', 'raw turkey livers', 'salt', 'dried kelp', 'fresh whole pumpkin', 'fresh whole butternut squash', 'fresh whole carrots', 'fresh whole apples', 'fresh whole pears', 'fresh whole zucchini', 'dried chicory root', 'fresh kale', 'fresh spinach', 'fresh turnip greens', 'fresh beet greens', 'whole cranberries', 'whole blueberries', 'whole saskatoon berries', 'turmeric', 'milk thistle', 'burdock root', 'lavender', 'marshmallow root', 'rosehips.']",dry,adult,382.5
acana|acana_light_fit_recipe|dry,Acana,acana,Acana Light & fit Recipe,"['fresh chicken', 'chicken meal', 'whole red lentils', 'whole green peas', 'lentil fibre', 'fresh chicken giblets (liver', 'heart)', 'turkey meal', 'fresh eggs', 'raw hake', 'whole chickpeas', 'whole green lentils', 'whole yellow peas', 'pea starch', 'herring meal', 'chicken fat', 'fish oil', 'raw turkey livers', 'salt', 'dried kelp', 'fresh whole pumpkin', 'fresh whole butternut squash', 'fresh whole carrots', 'fresh whole apples', 'fresh whole pears', 'fresh whole zucchini', 'dried chicory root', 'fresh kale', 'fresh spinach', 'fresh turnip greens', 'fresh beet greens', 'whole cranberries', 'whole blueberries', 'whole saskatoon berries', 'turmeric', 'milk thistle', 'burdock root', 'lavender', 'marshmallow root', 'rosehips.']",dry,adult,382.5
