brand,product_count,tokens_coverage,kcal_coverage,life_stage_coverage,form_coverage,price_bucket_coverage,quality_score
Brit,73,100.0,98.63,82.19,84.93,50.68,90.62
Alpha,53,100.0,100.0,11.32,9.43,0.0,67.59
Briantos,46,100.0,93.48,73.91,50.0,50.0,83.86
Bozita,34,100.0,100.0,52.94,41.18,41.18,80.88
Belcando,34,100.0,97.06,64.71,35.29,32.35,80.0
Barking,33,100.0,96.97,12.12,69.7,0.0,74.47
Acana,32,100.0,100.0,62.5,78.12,40.62,86.64
Arden,32,100.0,100.0,90.62,43.75,0.0,81.8
Applaws,31,100.0,96.77,90.32,96.77,58.06,93.39
Borders,29,100.0,100.0,100.0,0.0,0.0,77.5
Advance Veterinary Diets,26,100.0,96.15,30.77,100.0,100.0,90.38
bosch,26,100.0,88.46,65.38,100.0,96.15,92.4
Arion,26,100.0,100.0,61.54,61.54,61.54,86.54
Bright,25,100.0,100.0,28.0,0.0,0.0,68.5
BETTY,24,100.0,100.0,33.33,0.0,0.0,69.17
Bounce,20,100.0,100.0,95.0,0.0,0.0,76.88
Autarky,19,100.0,100.0,78.95,73.68,36.84,87.76
Biofood,18,100.0,100.0,33.33,0.0,0.0,69.17
Ambrosia,18,100.0,100.0,94.44,0.0,0.0,76.81
Aatu,16,100.0,100.0,37.5,62.5,31.25,80.62
Affinity,16,100.0,100.0,62.5,0.0,0.0,72.81
Browns,16,100.0,100.0,93.75,0.0,0.0,76.72
Aldi,15,100.0,100.0,6.67,6.67,0.0,66.67
Amazon,15,100.0,93.33,6.67,0.0,0.0,64.17
Bakers,15,100.0,100.0,93.33,93.33,20.0,90.33
Arden Grange,14,100.0,100.0,100.0,100.0,100.0,100.0
Benyfit,14,100.0,0.0,42.86,71.43,0.0,54.29
Akela,14,100.0,100.0,14.29,14.29,0.0,68.57
Almo Nature,13,100.0,100.0,84.62,100.0,100.0,98.08
Beta,12,100.0,100.0,100.0,58.33,0.0,84.79
Burgess,12,100.0,100.0,83.33,0.0,0.0,75.42
ASDA,12,100.0,100.0,58.33,83.33,41.67,86.88
4PAWSRAW,11,100.0,100.0,9.09,100.0,0.0,78.64
Billy,10,100.0,100.0,20.0,60.0,0.0,75.0
Buddy,9,100.0,100.0,11.11,0.0,0.0,66.39
Bosch,9,100.0,100.0,77.78,11.11,0.0,76.11
Aflora,9,100.0,100.0,22.22,0.0,0.0,67.78
Brigadiers,9,100.0,100.0,33.33,0.0,0.0,69.17
Animonda,9,100.0,100.0,100.0,66.67,44.44,90.28
Boost,8,100.0,100.0,12.5,0.0,0.0,66.56
Bentleys,8,100.0,100.0,0.0,0.0,0.0,65.0
Beco,8,100.0,100.0,12.5,0.0,0.0,66.56
Bear,7,100.0,85.71,0.0,0.0,0.0,61.43
Arquivet,7,100.0,100.0,28.57,100.0,100.0,91.07
Arkwrights,7,100.0,85.71,42.86,85.71,42.86,81.79
AniForte,7,100.0,100.0,14.29,0.0,0.0,66.79
BugBell,6,100.0,100.0,0.0,100.0,100.0,87.5
BULLYBILLOWS,6,100.0,100.0,100.0,0.0,0.0,77.5
4PAWS,6,100.0,100.0,0.0,0.0,0.0,65.0
Burns,6,100.0,100.0,50.0,83.33,0.0,81.67
