product_key,brand,product_name,form,kcal_per_100g,reason
akela|grain-free_complete_wet_working_dog_70%_lamb|wet,Akela,Grain-Free Complete Wet Working Dog 70% Lamb,wet,372.5,Too high for wet food
akela|grain-free_complete_wet_working_dog_wild_game_70:30|wet,Akela,Grain-Free Complete Wet Working Dog Wild Game 70:30,wet,372.5,Too high for wet food
alpha|spirit_primal_spirit_iberian_ancestral_grassland_complete_wet_sausage|wet,Alpha,Spirit Primal Spirit Iberian Ancestral Grassland Complete Wet Sausage,wet,379.5,Too high for wet food
alpha|spirit_primal_spirit_iberian_mediterranean_farm_complete_wet_sausage|wet,Alpha,Spirit Primal Spirit Iberian Mediterranean Farm Complete Wet Sausage,wet,379.5,Too high for wet food
alpha|spirit_primal_spirit_iberian_nordic_sealand_complete_wet_sausage|wet,Alpha,Spirit Primal Spirit Iberian Nordic Sealand Complete Wet Sausage,wet,366.0,Too high for wet food
alpha|spirit_primal_spirit_iberian_wild_forest_complete_wet_sausage|wet,Alpha,Spirit Primal Spirit Iberian Wild Forest Complete Wet Sausage,wet,379.5,Too high for wet food
animonda|grancarno_adult_dog_with_game_(wet)|wet,Animonda,GranCarno Adult Dog with Game (wet),wet,321.1,Too high for wet food
applaws|adult_chicken_breast_in_broth|wet,Applaws,Adult Chicken Breast in Broth,wet,373.0,Too high for wet food
"applaws|adult_chicken,_beef_liver__vegetables|wet",Applaws,"Adult Chicken, Beef Liver  Vegetables",wet,366.0,Too high for wet food
"applaws|adult_chicken,_ham__vegetables|wet",Applaws,"Adult Chicken, Ham  Vegetables",wet,366.0,Too high for wet food
"applaws|adult_chicken,_salmon__vegetables|wet",Applaws,"Adult Chicken, Salmon  Vegetables",wet,366.0,Too high for wet food
"applaws|adult_chicken,_tuna__vegetables|wet",Applaws,"Adult Chicken, Tuna  Vegetables",wet,366.0,Too high for wet food
applaws|applaws_adult_chicken_breast_in_broth|wet,Applaws,Applaws Adult Chicken Breast in Broth,wet,373.0,Too high for wet food
"applaws|applaws_adult_chicken,_beef_liver_&_vegetables|wet",Applaws,"Applaws Adult Chicken, Beef Liver & Vegetables",wet,366.0,Too high for wet food
"applaws|applaws_adult_chicken,_ham_&_vegetables|wet",Applaws,"Applaws Adult Chicken, Ham & Vegetables",wet,366.0,Too high for wet food
"applaws|applaws_adult_chicken,_salmon_&_vegetables|wet",Applaws,"Applaws Adult Chicken, Salmon & Vegetables",wet,366.0,Too high for wet food
"applaws|applaws_adult_chicken,_tuna_&_vegetables|wet",Applaws,"Applaws Adult Chicken, Tuna & Vegetables",wet,366.0,Too high for wet food
"arden_grange|arden_grange_partners_chicken,_rice_&_veg|wet",Arden Grange,"Arden Grange Partners Chicken, Rice & Veg",wet,386.0,Too high for wet food
"arden_grange|arden_grange_partners_lamb,_rice_&_veg|wet",Arden Grange,"Arden Grange Partners Lamb, Rice & Veg",wet,376.0,Too high for wet food
"arden|grange_partners_chicken,_rice__veg|wet",Arden,"Grange Partners Chicken, Rice  Veg",wet,386.0,Too high for wet food
"arden|grange_partners_lamb,_rice__veg|wet",Arden,"Grange Partners Lamb, Rice  Veg",wet,376.0,Too high for wet food
asda|asda_hero_meaty_&_poultry_chunks_in_jelly|wet,ASDA,ASDA Hero Meaty & Poultry Chunks in Jelly,wet,349.5,Too high for wet food
asda|hero_meaty__poultry_chunks_in_jelly|wet,ASDA,Hero Meaty  Poultry Chunks in Jelly,wet,349.5,Too high for wet food
barking|heads_beef_waggington_wet|wet,Barking,Heads Beef Waggington Wet,wet,362.5,Too high for wet food
barking|heads_bowl_lickin_chicken_wet|wet,Barking,Heads Bowl Lickin Chicken Wet,wet,386.0,Too high for wet food
barking|heads_chop_lickin_lamb_wet|wet,Barking,Heads Chop Lickin Lamb Wet,wet,376.0,Too high for wet food
barking|heads_fat_dog_slim_wet|wet,Barking,Heads Fat Dog Slim Wet,wet,386.0,Too high for wet food
barking|heads_golden_years_wet|wet,Barking,Heads Golden Years Wet,wet,376.0,Too high for wet food
barking|heads_puppy_days_wet|wet,Barking,Heads Puppy Days Wet,wet,386.0,Too high for wet food
barking|heads_top_dog_turkey_wet|wet,Barking,Heads Top Dog Turkey Wet,wet,376.0,Too high for wet food
billy|margot_chicken_with_superfoods_puppy|wet,Billy,Margot Chicken with Superfoods Puppy,wet,362.5,Too high for wet food
billy|margot_chicken_with_superfoods|wet,Billy,Margot Chicken with Superfoods,wet,362.5,Too high for wet food
bugsforpets|bugs_wet_food|wet,BugsForPets,Bugs Wet Food,wet,346.0,Too high for wet food
