product_key,brand,product_name,form,life_stage,kcal_per_100g,price_per_kg,price_bucket
ambrosia|adult_all_breeds_beef__fresh_salmon|unknown,Ambrosia,Adult All Breeds Beef  Fresh Salmon,wet,adult,342.5,,
briantos|delicious_paté_turkey|unknown,Briantos,Delicious Paté Turkey,,,346.0,,
aldi|earls_with_chicken__vegetables|unknown,Aldi,Earls With Chicken  Vegetables,,,353.0,,
ambrosia|adult_all_breeds_chicken__veggies|unknown,Ambrosia,Adult All Breeds Chicken  Veggies,,adult,382.5,,
briantos|briantos_adult_grain-free_duck_&_potato|dry,Briantos,Briantos Adult Grain-Free Duck & Potato,dry,adult,310.55,27.99,premium
barking|heads_beef_waggington_wet|wet,Barking,Heads Beef Waggington Wet,wet,adult,362.5,,
brit|brit_care_dog_sustainable_adult_small_breed_chicken_&_insects|dry,Brit,Brit Care Dog Sustainable Adult Small Breed Chicken & Insects,dry,adult,366.75,19.99,mid
alpha|spirit_orygo_fresh_turkey_with_pumpkin|unknown,Alpha,Spirit Orygo Fresh Turkey with Pumpkin,,,372.5,,
"beanfields|farm_salmon,_trout,_sweet_potato__asparagus|unknown",Beanfields,"Farm Salmon, Trout, Sweet Potato  Asparagus",,,366.0,,
bozita|bozita_grain_free_elk|dry,Bozita,Bozita Grain Free Elk,dry,,360.0,82.99,super_premium
arden|grange_sensitive_puppy/junior|unknown,Arden,Grange Sensitive Puppy/Junior,,puppy,362.5,,
benyfit|natural_chicken__tripe|raw,Benyfit,Natural Chicken  Tripe,raw,,,,
amazon|chicken_with_carrots_and_peas_pate|unknown,Amazon,Chicken with Carrots and Peas Pate,wet,adult,346.0,,
arden|grange_adult_pork__rice|unknown,Arden,Grange Adult Pork  Rice,,adult,376.0,,
barking|heads_all_hounder_fat_dog_slim|unknown,Barking,Heads All Hounder Fat Dog Slim,,adult,366.0,,
aniforte|semi_moist_cold_pressed_salmon|unknown,AniForte,Semi Moist Cold Pressed Salmon,dry,adult,366.0,,
bentleys|buffalo_superfood_blend|unknown,Bentleys,Buffalo Superfood Blend,,,372.5,,
briantos|salmon__carrots_chunks_in_gravy|unknown,Briantos,Salmon  Carrots Chunks In Gravy,,,346.0,,
"applaws|adult_chicken,_beef_liver__vegetables|wet",Applaws,"Adult Chicken, Beef Liver  Vegetables",wet,adult,366.0,,
buddy|pet_food_free_range_duck|unknown,Buddy,Pet Food Free Range Duck,,,382.5,,
barking|heads_all_hounder_bowl_lickin_goodness_chicken|unknown,Barking,Heads All Hounder Bowl Lickin Goodness Chicken,,adult,386.0,,
alpha|spirit_chicken_with_pineapple|unknown,Alpha,Spirit Chicken with Pineapple,dry,adult,382.5,,
affinity|ultima_medium/maxi_digestive_wellbeing_with_salmon|unknown,Affinity,Ultima Medium/Maxi Digestive Wellbeing with Salmon,,,356.0,,
arquivet|arquivet_original_adult_lamb_&_rice|dry,Arquivet,Arquivet Original Adult Lamb & Rice,dry,adult,349.649999666214,42.99,super_premium
arden_grange|arden_grange_senior_chicken_&_rice|dry,Arden Grange,Arden Grange Senior Chicken & Rice,dry,senior,366.0,12.75,mid
benevo|adult_original|dry,Benevo,Adult Original,dry,adult,,,
barking|heads_plant_powered_pooches|dry,Barking,Heads Plant Powered Pooches,dry,adult,,,
alpha|spirit_anchovy_with_red_apple|unknown,Alpha,Spirit Anchovy with Red Apple,wet,adult,372.5,,
bounce|bella_turkey__cranberry_large_breed_adult|unknown,Bounce,Bella Turkey  Cranberry Large Breed Adult,,adult,376.0,,
aldi|earls_tender_pate_with_beef|unknown,Aldi,Earls Tender Pate with Beef,,,353.0,,
barking|heads_little_paws_bowl_lickin_chicken|dry,Barking,Heads Little Paws Bowl Lickin Chicken,dry,,386.0,,
"barfgold|barf_menü_rind_(beef_menu,_raw_frozen)|BARF",Barfgold,"BARF Menü Rind (Beef Menu, Raw Frozen)",BARF,adult,355.75,,
beta|puppy_large_breed_turkey|dry,Beta,Puppy Large Breed Turkey,dry,puppy,346.0,,
ambrosia|senior__sterilized_turkey__white_fish|unknown,Ambrosia,Senior  Sterilized Turkey  White Fish,,senior,372.5,,
beco|wild_caught_cod__haddock|unknown,Beco,Wild Caught Cod  Haddock,,,366.0,,
brit|brit_care_dog_sustainable_adult_large_breed_chicken_&_insects|dry,Brit,Brit Care Dog Sustainable Adult Large Breed Chicken & Insects,dry,adult,355.950000166893,128.99,
arden|grange_adult_chicken__rice|dry,Arden,Grange Adult Chicken  Rice,dry,adult,366.0,,
acana|acana_puppy_large_breed_recipe|dry,Acana,Acana Puppy Large Breed Recipe,dry,puppy,382.5,90.08,super_premium
