product_id,brand,brand_slug,url,product_name,harvested_at,method,form,life_stage,ingredients,ingredients_tokens,allergen_groups,protein_percent,fat_percent,fiber_percent,ash_percent,moisture_percent,kcal_per_100g,pack_size,price,price_per_kg,price_bucket,form_confidence,life_stage_confidence,ingredients_confidence,price_confidence,has_jsonld,jsonld_type
briantos_001,Briantos,briantos,https://www.briantos.com/products/1,Briantos Sensitive Salmon Adult,2025-09-10T20:38:05.106899,scrapingbee_simulation,wet,senior,"chicken, turkey, corn, barley, sweet potato, carrots, sunflower oil, minerals, vitamins","[""chicken"", ""turkey"", ""corn"", ""barley"", ""sweet potato"", ""carrots"", ""sunflower oil"", ""minerals"", ""vitamins""]","[""chicken"", ""grain""]",28.3,15.4,2.0,6.9,9.0,364.4,2kg,20.13,10.06,mid,0.95,0.95,0.98,0.9,,
briantos_002,Briantos,briantos,https://www.briantos.com/products/2,Briantos Active Turkey Large Breed,2025-09-10T20:38:05.106926,scrapingbee_simulation,wet,puppy,"chicken meal, lamb meal, barley, rice, carrots, sweet potato, chicken fat, vitamins, chondroitin","[""chicken meal"", ""lamb meal"", ""barley"", ""rice"", ""carrots"", ""sweet potato"", ""chicken fat"", ""vitamins"", ""chondroitin""]","[""chicken"", ""lamb"", ""grain""]",19.6,17.0,3.3,6.1,11.9,360.5,10kg,29.77,2.98,budget,0.95,0.95,0.98,0.9,,
briantos_003,Briantos,briantos,https://www.briantos.com/products/3,Briantos Grain-Free Beef Senior,2025-09-10T20:38:05.106945,scrapingbee_simulation,semi-moist,adult,"chicken, turkey, oats, corn, peas, spinach, chicken fat, glucosamine, probiotics","[""chicken"", ""turkey"", ""oats"", ""corn"", ""peas"", ""spinach"", ""chicken fat"", ""glucosamine"", ""probiotics""]","[""chicken"", ""grain""]",25.6,13.7,4.2,6.4,10.1,346.1,2kg,,,,0.95,0.95,0.98,0.0,True,Product
briantos_004,Briantos,briantos,https://www.briantos.com/products/4,Briantos Light Turkey Senior,2025-09-10T20:38:05.106961,scrapingbee_simulation,semi-moist,,"chicken, chicken meal, corn, rice, spinach, carrots, salmon oil, minerals, probiotics","[""chicken"", ""chicken meal"", ""corn"", ""rice"", ""spinach"", ""carrots"", ""salmon oil"", ""minerals"", ""probiotics""]","[""chicken"", ""fish"", ""grain""]",24.1,10.7,2.8,8.0,10.9,327.6,1.5kg,25.9,17.27,mid,0.95,0.0,0.98,0.9,True,Product
briantos_005,Briantos,briantos,https://www.briantos.com/products/5,Briantos Natural Chicken Adult,2025-09-10T20:38:05.106976,scrapingbee_simulation,dry,all,"beef, lamb meal, wheat, barley, pumpkin, sweet potato, flaxseed oil, chondroitin, glucosamine","[""beef"", ""lamb meal"", ""wheat"", ""barley"", ""pumpkin"", ""sweet potato"", ""flaxseed oil"", ""chondroitin"", ""glucosamine""]","[""beef"", ""lamb"", ""grain""]",,,,,,,800g,24.9,31.12,premium,0.95,0.95,0.98,0.9,True,Product
briantos_006,Briantos,briantos,https://www.briantos.com/products/6,Briantos High-Protein Turkey Large Breed,2025-09-10T20:38:05.106991,scrapingbee_simulation,dry,all,"lamb meal, turkey, corn, rice, pumpkin, spinach, salmon oil, glucosamine, probiotics","[""lamb meal"", ""turkey"", ""corn"", ""rice"", ""pumpkin"", ""spinach"", ""salmon oil"", ""glucosamine"", ""probiotics""]","[""chicken"", ""lamb"", ""fish"", ""grain""]",20.2,11.3,4.9,8.3,8.6,330.2,10kg,23.27,2.33,budget,0.95,0.95,0.98,0.9,,
briantos_007,Briantos,briantos,https://www.briantos.com/products/7,Briantos Premium Lamb Senior,2025-09-10T20:38:05.107007,scrapingbee_simulation,dry,adult,"chicken, salmon, barley, rice, sweet potato, peas, chicken fat, minerals, vitamins","[""chicken"", ""salmon"", ""barley"", ""rice"", ""sweet potato"", ""peas"", ""chicken fat"", ""minerals"", ""vitamins""]","[""chicken"", ""fish"", ""grain""]",29.1,9.5,3.5,5.7,8.8,334.5,12kg,,,,0.95,0.95,0.98,0.0,,
briantos_008,Briantos,briantos,https://www.briantos.com/products/8,Briantos Natural Lamb Small Breed,2025-09-10T20:38:05.107020,scrapingbee_simulation,wet,senior,"lamb meal, salmon, rice, barley, pumpkin, spinach, flaxseed oil, vitamins, probiotics","[""lamb meal"", ""salmon"", ""rice"", ""barley"", ""pumpkin"", ""spinach"", ""flaxseed oil"", ""vitamins"", ""probiotics""]","[""lamb"", ""fish"", ""grain""]",24.7,16.7,2.5,8.2,11.4,356.1,15kg,16.33,1.09,budget,0.95,0.95,0.98,0.9,,
briantos_009,Briantos,briantos,https://www.briantos.com/products/9,Briantos Premium Beef Adult,2025-09-10T20:38:05.107036,scrapingbee_simulation,dry,adult,"chicken meal, beef, corn, oats, carrots, pumpkin, chicken fat, chondroitin, vitamins","[""chicken meal"", ""beef"", ""corn"", ""oats"", ""carrots"", ""pumpkin"", ""chicken fat"", ""chondroitin"", ""vitamins""]","[""chicken"", ""beef"", ""grain""]",23.8,15.7,2.3,8.5,8.8,359.9,5kg,20.05,4.01,budget,0.95,0.95,0.98,0.9,,
briantos_010,Briantos,briantos,https://www.briantos.com/products/10,Briantos Sensitive Salmon Large Breed,2025-09-10T20:38:05.107051,scrapingbee_simulation,dry,adult,"lamb meal, chicken, corn, barley, pumpkin, peas, salmon oil, glucosamine, chondroitin","[""lamb meal"", ""chicken"", ""corn"", ""barley"", ""pumpkin"", ""peas"", ""salmon oil"", ""glucosamine"", ""chondroitin""]","[""chicken"", ""lamb"", ""fish"", ""grain""]",27.6,8.0,3.0,9.0,11.6,307.4,800g,25.23,31.54,premium,0.95,0.95,0.98,0.9,,
briantos_011,Briantos,briantos,https://www.briantos.com/products/11,Briantos Active Turkey Large Breed,2025-09-10T20:38:05.107065,scrapingbee_simulation,dry,adult,"beef, chicken, oats, wheat, carrots, peas, sunflower oil, vitamins, probiotics","[""beef"", ""chicken"", ""oats"", ""wheat"", ""carrots"", ""peas"", ""sunflower oil"", ""vitamins"", ""probiotics""]","[""chicken"", ""beef"", ""grain""]",26.6,13.2,4.0,8.5,10.9,334.1,15kg,19.54,1.3,budget,0.95,0.95,0.98,0.9,True,Product
briantos_012,Briantos,briantos,https://www.briantos.com/products/12,Briantos Sensitive Duck Large Breed,2025-09-10T20:38:05.107080,scrapingbee_simulation,wet,puppy,"beef, salmon, oats, corn, carrots, pumpkin, sunflower oil, minerals, chondroitin","[""beef"", ""salmon"", ""oats"", ""corn"", ""carrots"", ""pumpkin"", ""sunflower oil"", ""minerals"", ""chondroitin""]","[""beef"", ""fish"", ""grain""]",30.8,19.6,3.1,6.8,10.8,375.6,15kg,24.63,1.64,budget,0.95,0.95,0.98,0.9,,
briantos_013,Briantos,briantos,https://www.briantos.com/products/13,Briantos Grain-Free Salmon Puppy,2025-09-10T20:38:05.107095,scrapingbee_simulation,wet,senior,"lamb meal, chicken, oats, wheat, peas, spinach, chicken fat, chondroitin, probiotics","[""lamb meal"", ""chicken"", ""oats"", ""wheat"", ""peas"", ""spinach"", ""chicken fat"", ""chondroitin"", ""probiotics""]","[""chicken"", ""lamb"", ""grain""]",21.7,12.1,5.1,5.7,9.2,340.5,400g,16.3,40.75,super_premium,0.95,0.95,0.98,0.9,,
briantos_014,Briantos,briantos,https://www.briantos.com/products/14,Briantos High-Protein Chicken Puppy,2025-09-10T20:38:05.107109,scrapingbee_simulation,wet,puppy,"chicken meal, beef, oats, rice, pumpkin, sweet potato, salmon oil, vitamins, chondroitin","[""chicken meal"", ""beef"", ""oats"", ""rice"", ""pumpkin"", ""sweet potato"", ""salmon oil"", ""vitamins"", ""chondroitin""]","[""chicken"", ""beef"", ""fish""]",19.5,11.0,3.7,8.6,11.7,321.0,12kg,15.53,1.29,budget,0.95,0.95,0.98,0.9,True,Product
briantos_015,Briantos,briantos,https://www.briantos.com/products/15,Briantos Active Chicken Adult,2025-09-10T20:38:05.107125,scrapingbee_simulation,dry,puppy,"lamb meal, salmon, oats, corn, sweet potato, pumpkin, sunflower oil, probiotics, vitamins","[""lamb meal"", ""salmon"", ""oats"", ""corn"", ""sweet potato"", ""pumpkin"", ""sunflower oil"", ""probiotics"", ""vitamins""]","[""lamb"", ""fish"", ""grain""]",30.3,17.7,2.5,8.3,8.7,370.2,400g,26.1,65.25,super_premium,0.95,0.95,0.98,0.9,True,Product
briantos_016,Briantos,briantos,https://www.briantos.com/products/16,Briantos Sensitive Beef Small Breed,2025-09-10T20:38:05.107140,scrapingbee_simulation,wet,adult,"salmon, chicken, oats, rice, spinach, pumpkin, sunflower oil, chondroitin, probiotics","[""salmon"", ""chicken"", ""oats"", ""rice"", ""spinach"", ""pumpkin"", ""sunflower oil"", ""chondroitin"", ""probiotics""]","[""chicken"", ""fish""]",24.6,15.4,3.5,8.7,9.6,350.7,800g,32.74,40.92,super_premium,0.95,0.95,0.98,0.9,True,Product
briantos_017,Briantos,briantos,https://www.briantos.com/products/17,Briantos Active Duck Small Breed,2025-09-10T20:38:05.107155,scrapingbee_simulation,dry,adult,"lamb meal, salmon, barley, corn, peas, sweet potato, sunflower oil, glucosamine, chondroitin","[""lamb meal"", ""salmon"", ""barley"", ""corn"", ""peas"", ""sweet potato"", ""sunflower oil"", ""glucosamine"", ""chondroitin""]","[""lamb"", ""fish"", ""grain""]",24.6,11.9,2.6,6.6,9.4,344.4,1.5kg,22.22,14.81,mid,0.95,0.95,0.98,0.9,,
briantos_018,Briantos,briantos,https://www.briantos.com/products/18,Briantos Active Beef Senior,2025-09-10T20:38:05.107170,scrapingbee_simulation,wet,puppy,"turkey, salmon, oats, barley, peas, pumpkin, flaxseed oil, vitamins, chondroitin","[""turkey"", ""salmon"", ""oats"", ""barley"", ""peas"", ""pumpkin"", ""flaxseed oil"", ""vitamins"", ""chondroitin""]","[""chicken"", ""fish"", ""grain""]",18.7,11.6,5.9,8.6,10.2,321.6,10kg,30.64,3.06,budget,0.95,0.95,0.98,0.9,,
briantos_019,Briantos,briantos,https://www.briantos.com/products/19,Briantos Natural Lamb Puppy,2025-09-10T20:38:05.107185,scrapingbee_simulation,dry,senior,"chicken meal, beef, wheat, barley, spinach, pumpkin, sunflower oil, minerals, vitamins","[""chicken meal"", ""beef"", ""wheat"", ""barley"", ""spinach"", ""pumpkin"", ""sunflower oil"", ""minerals"", ""vitamins""]","[""chicken"", ""beef"", ""grain""]",23.2,9.6,3.1,5.0,9.7,335.7,15kg,,,,0.95,0.95,0.98,0.0,,
briantos_020,Briantos,briantos,https://www.briantos.com/products/20,Briantos Natural Beef Puppy,2025-09-10T20:38:05.107198,scrapingbee_simulation,wet,adult,"chicken, beef, wheat, barley, carrots, peas, salmon oil, minerals, glucosamine","[""chicken"", ""beef"", ""wheat"", ""barley"", ""carrots"", ""peas"", ""salmon oil"", ""minerals"", ""glucosamine""]","[""chicken"", ""beef"", ""fish"", ""grain""]",,,,,,,1.5kg,16.56,11.04,mid,0.95,0.95,0.98,0.9,True,Product
briantos_021,Briantos,briantos,https://www.briantos.com/products/21,Briantos Sensitive Lamb Large Breed,2025-09-10T20:38:05.107211,scrapingbee_simulation,dry,puppy,"chicken meal, chicken, rice, barley, sweet potato, pumpkin, chicken fat, chondroitin, probiotics","[""chicken meal"", ""chicken"", ""rice"", ""barley"", ""sweet potato"", ""pumpkin"", ""chicken fat"", ""chondroitin"", ""probiotics""]","[""chicken"", ""grain""]",22.2,15.0,2.1,8.2,10.5,352.2,12kg,27.6,2.3,budget,0.95,0.95,0.98,0.9,,
briantos_022,Briantos,briantos,https://www.briantos.com/products/22,Briantos Grain-Free Lamb Adult,2025-09-10T20:38:05.107226,scrapingbee_simulation,dry,adult,"turkey, chicken, corn, barley, carrots, sweet potato, chicken fat, glucosamine, chondroitin","[""turkey"", ""chicken"", ""corn"", ""barley"", ""carrots"", ""sweet potato"", ""chicken fat"", ""glucosamine"", ""chondroitin""]","[""chicken"", ""grain""]",19.0,13.2,3.0,7.3,9.7,346.0,2kg,33.34,16.67,mid,0.95,0.95,0.98,0.9,True,Product
briantos_023,Briantos,briantos,https://www.briantos.com/products/23,Briantos Natural Turkey Small Breed,2025-09-10T20:38:05.107241,scrapingbee_simulation,wet,adult,"salmon, turkey, wheat, barley, peas, pumpkin, chicken fat, probiotics, vitamins","[""salmon"", ""turkey"", ""wheat"", ""barley"", ""peas"", ""pumpkin"", ""chicken fat"", ""probiotics"", ""vitamins""]","[""chicken"", ""fish"", ""grain""]",30.8,16.5,3.8,6.3,11.6,356.6,12kg,,,,0.95,0.95,0.98,0.0,,
briantos_024,Briantos,briantos,https://www.briantos.com/products/24,Briantos Active Turkey Large Breed,2025-09-10T20:38:05.107254,scrapingbee_simulation,semi-moist,adult,"turkey, beef, corn, wheat, spinach, sweet potato, sunflower oil, chondroitin, glucosamine","[""turkey"", ""beef"", ""corn"", ""wheat"", ""spinach"", ""sweet potato"", ""sunflower oil"", ""chondroitin"", ""glucosamine""]","[""chicken"", ""beef"", ""grain""]",,,,,,,800g,,,,0.95,0.95,0.98,0.0,,
briantos_025,Briantos,briantos,https://www.briantos.com/products/25,Briantos Premium Lamb Large Breed,2025-09-10T20:38:05.107265,scrapingbee_simulation,wet,adult,"chicken, salmon, corn, oats, pumpkin, peas, salmon oil, chondroitin, probiotics","[""chicken"", ""salmon"", ""corn"", ""oats"", ""pumpkin"", ""peas"", ""salmon oil"", ""chondroitin"", ""probiotics""]","[""chicken"", ""fish"", ""grain""]",18.9,9.7,4.6,5.4,11.1,324.6,400g,15.1,37.75,premium,0.95,0.95,0.98,0.9,True,Product
