product_key,source,fetched_at,confidence,form,form_from,form_confidence,life_stage,life_stage_from,life_stage_confidence,price_eur,price_eur_from,price_eur_confidence,price_per_kg_eur,price_per_kg_eur_from,price_per_kg_eur_confidence
aatu|angus_beef|unknown,manufacturer,2025-09-10T19:05:36.164736,0.8,dry,enrichment_manuf,0.7200000000000001,adult,enrichment_manuf,0.7200000000000001,18.087663132047975,enrichment_manuf,0.7200000000000001,9.043831566023988,enrichment_manuf,0.7200000000000001
aatu|duck__turkey|unknown,manufacturer,2025-09-10T19:05:36.164782,0.8,dry,enrichment_manuf,0.7200000000000001,adult,enrichment_manuf,0.7200000000000001,12.920347527007232,enrichment_manuf,0.7200000000000001,6.460173763503616,enrichment_manuf,0.7200000000000001
aatu|pork__wild_boar|unknown,manufacturer,2025-09-10T19:05:36.164895,0.8,dry,enrichment_manuf,0.7200000000000001,adult,enrichment_manuf,0.7200000000000001,12.251577818475823,enrichment_manuf,0.7200000000000001,6.125788909237912,enrichment_manuf,0.7200000000000001
aatu|aatu_puppy_salmon|dry,manufacturer,2025-09-10T19:05:36.164922,0.8,,,,,,,17.54574984796738,enrichment_manuf,0.7200000000000001,8.77287492398369,enrichment_manuf,0.7200000000000001
aatu|tuna__salmon|unknown,manufacturer,2025-09-10T19:05:36.164946,0.8,wet,enrichment_manuf,0.7200000000000001,adult,enrichment_manuf,0.7200000000000001,13.137283233320147,enrichment_manuf,0.7200000000000001,6.5686416166600745,enrichment_manuf,0.7200000000000001
aldi|earls_chicken_in_gravy|unknown,manufacturer,2025-09-10T19:05:36.165152,0.8,dry,enrichment_manuf,0.7200000000000001,adult,enrichment_manuf,0.7200000000000001,8.03551136058356,enrichment_manuf,0.7200000000000001,4.01775568029178,enrichment_manuf,0.7200000000000001
aldi|langhams_salmon_grain_free|unknown,manufacturer,2025-09-10T19:05:36.165392,0.8,dry,enrichment_manuf,0.7200000000000001,adult,enrichment_manuf,0.7200000000000001,17.94237155682707,enrichment_manuf,0.7200000000000001,8.971185778413535,enrichment_manuf,0.7200000000000001
aldi|langhams_snap_and_serve_pack_mix|unknown,manufacturer,2025-09-10T19:05:36.165418,0.8,dry,enrichment_manuf,0.7200000000000001,adult,enrichment_manuf,0.7200000000000001,18.086982963597816,enrichment_manuf,0.7200000000000001,9.043491481798908,enrichment_manuf,0.7200000000000001
autarky|adult_grain_free_succulent_salmon|unknown,manufacturer,2025-09-10T19:05:36.165620,0.8,,,,,,,18.27443745995179,enrichment_manuf,0.7200000000000001,9.137218729975896,enrichment_manuf,0.7200000000000001
autarky|autarky_succululent_salmon|dry,manufacturer,2025-09-10T19:05:36.165716,0.8,,,,adult,enrichment_manuf,0.7200000000000001,17.949400227597543,enrichment_manuf,0.7200000000000001,8.974700113798772,enrichment_manuf,0.7200000000000001
bear|birdy_organic_beef__garden_medley|unknown,manufacturer,2025-09-10T19:05:36.166204,0.8,dry,enrichment_manuf,0.7200000000000001,adult,enrichment_manuf,0.7200000000000001,12.604191258010545,enrichment_manuf,0.7200000000000001,6.302095629005272,enrichment_manuf,0.7200000000000001
barkinbistro|beef_stew|unknown,manufacturer,2025-09-10T19:05:36.166231,0.8,dry,enrichment_manuf,0.7200000000000001,adult,enrichment_manuf,0.7200000000000001,12.459374817895757,enrichment_manuf,0.7200000000000001,6.229687408947878,enrichment_manuf,0.7200000000000001
