url,scraped_at,brand,brand_slug,product_name,from_cache,ingredients,form,life_stage,price,pack_size,price_per_kg,jsonld,analytical_constituents
https://www.4pawsraw.com/products/4pawsraw|grain_free_angus_beef_with_carrot|raw,2025-09-10T19:04:49.274003,4PAWSRAW,4pawsraw,Grain Free Angus Beef with Carrot,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",,adult,19.393387353491953,2kg,9.696693676745976,,
https://www.4pawsraw.com/products/4pawsraw|grain_free_chicken_sweet_potato__herbs|raw,2025-09-10T19:04:49.274059,4PAWSRAW,4pawsraw,Grain Free Chicken Sweet Potato  Herbs,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",,adult,15.774592541071321,2kg,7.887296270535661,,
"https://www.4pawsraw.com/products/4pawsraw|grain_free_haddock,_sweet_potato_with_parsley|raw",2025-09-10T19:04:49.274104,4PAWSRAW,4pawsraw,"Grain Free Haddock, Sweet Potato With Parsley",False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",,adult,18.14638136094424,2kg,9.07319068047212,"{'@type': 'Product', 'name': 'Grain Free Haddock, Sweet Potato With Parsley', 'brand': {'@type': 'Brand', 'name': '4PAWSRAW'}, 'offers': {'@type': 'Offer', 'price': 18.14638136094424, 'priceCurrency': 'EUR'}}",
"https://www.4pawsraw.com/products/4pawsraw|grain_free_lamb,_sweet_potato__mint|raw",2025-09-10T19:04:49.274152,4PAWSRAW,4pawsraw,"Grain Free Lamb, Sweet Potato  Mint",False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",,adult,12.695125235652105,2kg,6.3475626178260525,"{'@type': 'Product', 'name': 'Grain Free Lamb, Sweet Potato  Mint', 'brand': {'@type': 'Brand', 'name': '4PAWSRAW'}, 'offers': {'@type': 'Offer', 'price': 12.695125235652105, 'priceCurrency': 'EUR'}}",
"https://www.4pawsraw.com/products/4pawsraw|grain_free_light_turkey,_sweet_potato__cranberry|raw",2025-09-10T19:04:49.274197,4PAWSRAW,4pawsraw,"Grain Free Light Turkey, Sweet Potato  Cranberry",False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",,adult,11.029250934035073,2kg,5.514625467017536,,
https://www.4pawsraw.com/products/4pawsraw|grain_free_pork_sweet_potato__apple|raw,2025-09-10T19:04:49.274238,4PAWSRAW,4pawsraw,Grain Free Pork Sweet Potato  Apple,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",,adult,12.211506469743666,2kg,6.105753234871833,,
"https://www.4pawsraw.com/products/4pawsraw|grain_free_puppy_chicken,_turkey,_salmon_sweet_potato__carrot|raw",2025-09-10T19:04:49.274280,4PAWSRAW,4pawsraw,"Grain Free Puppy Chicken, Turkey, Salmon Sweet Potato  Carrot",False,"chicken, chicken meal, dha, calcium, rice, barley, peas, sweet potato",,,10.562452533582569,2kg,5.281226266791284,"{'@type': 'Product', 'name': 'Grain Free Puppy Chicken, Turkey, Salmon Sweet Potato  Carrot', 'brand': {'@type': 'Brand', 'name': '4PAWSRAW'}, 'offers': {'@type': 'Offer', 'price': 10.562452533582569, 'priceCurrency': 'EUR'}}",
https://www.4pawsraw.com/products/4pawsraw|grain_free_salmon_with_trout__asparagus|raw,2025-09-10T19:04:49.274323,4PAWSRAW,4pawsraw,Grain Free Salmon with Trout  Asparagus,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",,adult,12.624663907461095,2kg,6.312331953730547,"{'@type': 'Product', 'name': 'Grain Free Salmon with Trout  Asparagus', 'brand': {'@type': 'Brand', 'name': '4PAWSRAW'}, 'offers': {'@type': 'Offer', 'price': 12.624663907461095, 'priceCurrency': 'EUR'}}",
"https://www.4pawsraw.com/products/4pawsraw|grain_free_tuna_with_salmon,_sweet_potato_and_broccoli|raw",2025-09-10T19:04:49.274366,4PAWSRAW,4pawsraw,"Grain Free Tuna with Salmon, Sweet Potato and Broccoli",False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",,adult,18.01221786632847,2kg,9.006108933164235,"{'@type': 'Product', 'name': 'Grain Free Tuna with Salmon, Sweet Potato and Broccoli', 'brand': {'@type': 'Brand', 'name': '4PAWSRAW'}, 'offers': {'@type': 'Offer', 'price': 18.01221786632847, 'priceCurrency': 'EUR'}}",
https://www.4pawsraw.com/products/4pawsraw|grain_free_turkey_sweet_potato__cranberry|raw,2025-09-10T19:04:49.274409,4PAWSRAW,4pawsraw,Grain Free Turkey Sweet Potato  Cranberry,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",,adult,14.630910774974096,2kg,7.315455387487048,,
"https://www.4pawsraw.com/products/4pawsraw|grain_free_venison,_salmon,_sweet_potato__mulberry|raw",2025-09-10T19:04:49.274447,4PAWSRAW,4pawsraw,"Grain Free Venison, Salmon, Sweet Potato  Mulberry",False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",,adult,10.792500331321715,2kg,5.396250165660858,,
