url,scraped_at,brand,brand_slug,product_name,from_cache,ingredients,form,life_stage,price,pack_size,price_per_kg,jsonld,analytical_constituents
https://www.affinity.com/products/affinity|advance_adult_french_bulldog|unknown,2025-09-10T19:04:49.277146,Affinity,affinity,Advance Adult French Bulldog,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",dry,,9.832291018921923,2kg,4.916145509460962,"{'@type': 'Product', 'name': 'Advance Adult French Bulldog', 'brand': {'@type': 'Brand', 'name': 'Affinity'}, 'offers': {'@type': 'Offer', 'price': 9.832291018921923, 'priceCurrency': 'EUR'}}",
https://www.affinity.com/products/affinity|advance_maxi_adult_chicken__rice|unknown,2025-09-10T19:04:49.277197,Affinity,affinity,Advance Maxi Adult Chicken  Rice,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",dry,,15.945773347030581,2kg,7.972886673515291,"{'@type': 'Product', 'name': 'Advance Maxi Adult Chicken  Rice', 'brand': {'@type': 'Brand', 'name': 'Affinity'}, 'offers': {'@type': 'Offer', 'price': 15.945773347030581, 'priceCurrency': 'EUR'}}",
https://www.affinity.com/products/affinity|advance_maxi_light_chicken__rice|unknown,2025-09-10T19:04:49.277246,Affinity,affinity,Advance Maxi Light Chicken  Rice,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",dry,adult,18.327820347622755,2kg,9.163910173811377,,
https://www.affinity.com/products/affinity|advance_maxi_puppy_chicken__rice|unknown,2025-09-10T19:04:49.277295,Affinity,affinity,Advance Maxi Puppy Chicken  Rice,False,"chicken, chicken meal, dha, calcium, rice, barley, peas, sweet potato",dry,,14.332375506095175,2kg,7.166187753047588,,
https://www.affinity.com/products/affinity|advance_maxi_senior_vitality_chicken__rice|unknown,2025-09-10T19:04:49.277339,Affinity,affinity,Advance Maxi Senior Vitality Chicken  Rice,False,"chicken, chicken meal, glucosamine, chondroitin, rice, barley, peas, sweet potato",dry,,12.936588361189212,2kg,6.468294180594606,,
https://www.affinity.com/products/affinity|advance_medium_adult_chicken__rice|unknown,2025-09-10T19:04:49.277385,Affinity,affinity,Advance Medium Adult Chicken  Rice,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",dry,,13.708091819420627,2kg,6.8540459097103135,,
https://www.affinity.com/products/affinity|advance_medium_puppy|unknown,2025-09-10T19:04:49.277435,Affinity,affinity,Advance Medium Puppy,False,"chicken, chicken meal, dha, calcium, rice, barley, peas, sweet potato",wet,,18.984540101767738,2kg,9.492270050883869,,
https://www.affinity.com/products/affinity|advance_mini_light_chicken__rice|unknown,2025-09-10T19:04:49.277482,Affinity,affinity,Advance Mini Light Chicken  Rice,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",wet,adult,8.25570560134582,2kg,4.12785280067291,,
https://www.affinity.com/products/affinity|advance_mini_senior_8_chicken__rice|unknown,2025-09-10T19:04:49.277528,Affinity,affinity,Advance Mini Senior 8 Chicken  Rice,False,"chicken, chicken meal, glucosamine, chondroitin, rice, barley, peas, sweet potato",dry,,14.096172176440028,2kg,7.048086088220014,,
https://www.affinity.com/products/affinity|ultima_medium/_maxi_adult_with_beef|unknown,2025-09-10T19:04:49.277576,Affinity,affinity,Ultima Medium/ Maxi Adult with Beef,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",wet,,14.178269196317427,2kg,7.089134598158713,,
https://www.affinity.com/products/affinity|ultima_medium/_maxi_golden__labrador_with_chicken|unknown,2025-09-10T19:04:49.277624,Affinity,affinity,Ultima Medium/ Maxi Golden  Labrador with Chicken,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",dry,adult,13.09286812584224,2kg,6.54643406292112,"{'@type': 'Product', 'name': 'Ultima Medium/ Maxi Golden  Labrador with Chicken', 'brand': {'@type': 'Brand', 'name': 'Affinity'}, 'offers': {'@type': 'Offer', 'price': 13.09286812584224, 'priceCurrency': 'EUR'}}",
https://www.affinity.com/products/affinity|ultima_medium/_maxi_light_in_fat_chicken|unknown,2025-09-10T19:04:49.277677,Affinity,affinity,Ultima Medium/ Maxi Light in Fat Chicken,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",wet,adult,10.93691824009979,2kg,5.468459120049895,"{'@type': 'Product', 'name': 'Ultima Medium/ Maxi Light in Fat Chicken', 'brand': {'@type': 'Brand', 'name': 'Affinity'}, 'offers': {'@type': 'Offer', 'price': 10.93691824009979, 'priceCurrency': 'EUR'}}",
https://www.affinity.com/products/affinity|ultima_medium/maxi_digestive_wellbeing_with_salmon|unknown,2025-09-10T19:04:49.277727,Affinity,affinity,Ultima Medium/Maxi Digestive Wellbeing with Salmon,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",dry,adult,16.329832645056005,2kg,8.164916322528002,"{'@type': 'Product', 'name': 'Ultima Medium/Maxi Digestive Wellbeing with Salmon', 'brand': {'@type': 'Brand', 'name': 'Affinity'}, 'offers': {'@type': 'Offer', 'price': 16.329832645056005, 'priceCurrency': 'EUR'}}",
https://www.affinity.com/products/affinity|ultima_medium/maxi_junior_chicken|unknown,2025-09-10T19:04:49.277777,Affinity,affinity,Ultima Medium/Maxi Junior Chicken,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",dry,,12.667149662515543,2kg,6.3335748312577715,,
https://www.affinity.com/products/affinity|ultima_medium/maxi_senior_chicken|unknown,2025-09-10T19:04:49.277822,Affinity,affinity,Ultima Medium/Maxi Senior Chicken,False,"chicken, chicken meal, glucosamine, chondroitin, rice, barley, peas, sweet potato",wet,,18.915804959340534,2kg,9.457902479670267,"{'@type': 'Product', 'name': 'Ultima Medium/Maxi Senior Chicken', 'brand': {'@type': 'Brand', 'name': 'Affinity'}, 'offers': {'@type': 'Offer', 'price': 18.915804959340534, 'priceCurrency': 'EUR'}}",
https://www.affinity.com/products/affinity|ultima_nature_medium/maxi_beef|unknown,2025-09-10T19:04:49.277871,Affinity,affinity,Ultima Nature Medium/Maxi Beef,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",wet,adult,9.669847227676472,2kg,4.834923613838236,"{'@type': 'Product', 'name': 'Ultima Nature Medium/Maxi Beef', 'brand': {'@type': 'Brand', 'name': 'Affinity'}, 'offers': {'@type': 'Offer', 'price': 9.669847227676472, 'priceCurrency': 'EUR'}}",
