url,scraped_at,brand,brand_slug,product_name,from_cache,ingredients,form,life_stage,price,pack_size,price_per_kg,jsonld,analytical_constituents
https://www.aldi.com/products/aldi|adult_dry_with_beef__vegetables|dry,2025-09-10T19:04:49.278999,Aldi,aldi,Adult Dry with Beef  Vegetables,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",,,19.421886241142424,2kg,9.710943120571212,,
https://www.aldi.com/products/aldi|earls_beef_in_gravy|unknown,2025-09-10T19:04:49.279031,Aldi,aldi,Earls Beef in Gravy,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",dry,adult,14.911070570313818,2kg,7.455535285156909,,
https://www.aldi.com/products/aldi|earls_chicken_in_gravy|unknown,2025-09-10T19:04:49.279076,Aldi,aldi,Earls Chicken in Gravy,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",dry,adult,10.015886151342833,2kg,5.007943075671417,"{'@type': 'Product', 'name': 'Earls Chicken in Gravy', 'brand': {'@type': 'Brand', 'name': 'Aldi'}, 'offers': {'@type': 'Offer', 'price': 10.015886151342833, 'priceCurrency': 'EUR'}}",
https://www.aldi.com/products/aldi|earls_moist__meaty_chunks_with_chicken|unknown,2025-09-10T19:04:49.279126,Aldi,aldi,Earls Moist  Meaty Chunks with Chicken,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",dry,adult,8.03551136058356,2kg,4.01775568029178,,
https://www.aldi.com/products/aldi|earls_tender_pate_with_beef__liver|unknown,2025-09-10T19:04:49.279172,Aldi,aldi,Earls Tender Pate with Beef  Liver,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",wet,adult,12.013940752967649,2kg,6.0069703764838245,"{'@type': 'Product', 'name': 'Earls Tender Pate with Beef  Liver', 'brand': {'@type': 'Brand', 'name': 'Aldi'}, 'offers': {'@type': 'Offer', 'price': 12.013940752967649, 'priceCurrency': 'EUR'}}",
https://www.aldi.com/products/aldi|earls_tender_pate_with_beef|unknown,2025-09-10T19:04:49.279212,Aldi,aldi,Earls Tender Pate with Beef,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",wet,adult,19.086676131769053,2kg,9.543338065884527,"{'@type': 'Product', 'name': 'Earls Tender Pate with Beef', 'brand': {'@type': 'Brand', 'name': 'Aldi'}, 'offers': {'@type': 'Offer', 'price': 19.086676131769053, 'priceCurrency': 'EUR'}}",
https://www.aldi.com/products/aldi|earls_tender_pate_with_lamb|unknown,2025-09-10T19:04:49.279252,Aldi,aldi,Earls Tender Pate with Lamb,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",wet,adult,16.931663573915667,2kg,8.465831786957834,,
https://www.aldi.com/products/aldi|earls_tender_pate_with_turkey__lamb|unknown,2025-09-10T19:04:49.279288,Aldi,aldi,Earls Tender Pate With Turkey  Lamb,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",wet,adult,12.87975577411693,2kg,6.439877887058465,"{'@type': 'Product', 'name': 'Earls Tender Pate With Turkey  Lamb', 'brand': {'@type': 'Brand', 'name': 'Aldi'}, 'offers': {'@type': 'Offer', 'price': 12.87975577411693, 'priceCurrency': 'EUR'}}",
https://www.aldi.com/products/aldi|earls_with_beef_in_jelly|unknown,2025-09-10T19:04:49.279327,Aldi,aldi,Earls with Beef in Jelly,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",dry,adult,10.370104002138653,2kg,5.185052001069327,,
https://www.aldi.com/products/aldi|earls_with_chicken__vegetables|unknown,2025-09-10T19:04:49.279373,Aldi,aldi,Earls With Chicken  Vegetables,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",dry,adult,13.833263048143799,2kg,6.916631524071899,"{'@type': 'Product', 'name': 'Earls With Chicken  Vegetables', 'brand': {'@type': 'Brand', 'name': 'Aldi'}, 'offers': {'@type': 'Offer', 'price': 13.833263048143799, 'priceCurrency': 'EUR'}}",
