url,scraped_at,brand,brand_slug,product_name,from_cache,ingredients,form,life_stage,price,pack_size,price_per_kg,jsonld,analytical_constituents
"https://www.alpha.com/products/alpha|feeds_everyday_beef,_chicken__veg|unknown",2025-09-10T19:04:49.280121,Alpha,alpha,"Feeds Everyday Beef, Chicken  Veg",False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",dry,adult,14.147355403483617,2kg,7.073677701741809,,
"https://www.alpha.com/products/alpha|feeds_grain_free_chicken,_potato__veg|unknown",2025-09-10T19:04:49.280167,Alpha,alpha,"Feeds Grain Free Chicken, Potato  Veg",False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",wet,adult,15.092372059554537,2kg,7.546186029777268,,
https://www.alpha.com/products/alpha|feeds_junior__sporting_chicken__rice|unknown,2025-09-10T19:04:49.280213,Alpha,alpha,Feeds Junior  Sporting Chicken  Rice,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",dry,,13.789902915882942,2kg,6.894951457941471,,
https://www.alpha.com/products/alpha|feeds_performance_chicken__rice|unknown,2025-09-10T19:04:49.280257,Alpha,alpha,Feeds Performance Chicken  Rice,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",dry,adult,8.14057443830465,2kg,4.070287219152325,,
https://www.alpha.com/products/alpha|feeds_sensitive_chicken__rice|unknown,2025-09-10T19:04:49.280303,Alpha,alpha,Feeds Sensitive Chicken  Rice,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",dry,adult,13.011518499960218,2kg,6.505759249980109,,
https://www.alpha.com/products/alpha|feeds_sensitive_extra_duck__rice|unknown,2025-09-10T19:04:49.280347,Alpha,alpha,Feeds Sensitive Extra Duck  Rice,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",dry,adult,15.183358653689394,2kg,7.591679326844697,,
https://www.alpha.com/products/alpha|feeds_sporting_puppy_chicken__rice|unknown,2025-09-10T19:04:49.280392,Alpha,alpha,Feeds Sporting Puppy Chicken  Rice,False,"chicken, chicken meal, dha, calcium, rice, barley, peas, sweet potato",dry,,11.69658380504137,2kg,5.848291902520685,,
https://www.alpha.com/products/alpha|feeds_working_maintenance_beef|unknown,2025-09-10T19:04:49.280435,Alpha,alpha,Feeds Working Maintenance Beef,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",dry,,10.558225385717519,2kg,5.279112692858759,,
https://www.alpha.com/products/alpha|spirit_7_days_formula-the_only_one|unknown,2025-09-10T19:04:49.280479,Alpha,alpha,Spirit 7 Days Formula-The Only One,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",dry,adult,11.911598486798406,2kg,5.955799243399203,,
https://www.alpha.com/products/alpha|spirit_anchovy_with_red_apple|unknown,2025-09-10T19:04:49.280524,Alpha,alpha,Spirit Anchovy with Red Apple,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",dry,adult,11.216409009542186,2kg,5.608204504771093,,
https://www.alpha.com/products/alpha|spirit_beef_with_melon|unknown,2025-09-10T19:04:49.280572,Alpha,alpha,Spirit Beef with Melon,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",wet,adult,15.137292354252434,2kg,7.568646177126217,,
https://www.alpha.com/products/alpha|spirit_beef_with_sage_canned_meatballs|unknown,2025-09-10T19:04:49.280621,Alpha,alpha,Spirit Beef with Sage Canned Meatballs,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",wet,adult,15.387052925541813,2kg,7.693526462770906,"{'@type': 'Product', 'name': 'Spirit Beef with Sage Canned Meatballs', 'brand': {'@type': 'Brand', 'name': 'Alpha'}, 'offers': {'@type': 'Offer', 'price': 15.387052925541813, 'priceCurrency': 'EUR'}}",
https://www.alpha.com/products/alpha|spirit_chicken_with_pineapple|unknown,2025-09-10T19:04:49.280661,Alpha,alpha,Spirit Chicken with Pineapple,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",dry,adult,9.37985055672722,2kg,4.68992527836361,,
https://www.alpha.com/products/alpha|spirit_chicken_with_turmeric_canned_meatballs|unknown,2025-09-10T19:04:49.280706,Alpha,alpha,Spirit Chicken with Turmeric Canned Meatballs,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",wet,adult,17.2355115945187,2kg,8.61775579725935,"{'@type': 'Product', 'name': 'Spirit Chicken with Turmeric Canned Meatballs', 'brand': {'@type': 'Brand', 'name': 'Alpha'}, 'offers': {'@type': 'Offer', 'price': 17.2355115945187, 'priceCurrency': 'EUR'}}",
https://www.alpha.com/products/alpha|spirit_deer_with_rosemary_canned_meatballs|unknown,2025-09-10T19:04:49.280746,Alpha,alpha,Spirit Deer with Rosemary Canned Meatballs,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",wet,adult,18.747141880225225,2kg,9.373570940112613,"{'@type': 'Product', 'name': 'Spirit Deer with Rosemary Canned Meatballs', 'brand': {'@type': 'Brand', 'name': 'Alpha'}, 'offers': {'@type': 'Offer', 'price': 18.747141880225225, 'priceCurrency': 'EUR'}}",
https://www.alpha.com/products/alpha|spirit_duck_with_green_apple|unknown,2025-09-10T19:04:49.280785,Alpha,alpha,Spirit Duck with Green Apple,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",dry,adult,19.90174355903741,2kg,9.950871779518705,,
https://www.alpha.com/products/alpha|spirit_duck-the_only_one|unknown,2025-09-10T19:04:49.280830,Alpha,alpha,Spirit Duck-The Only One,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",dry,adult,9.628966591236132,2kg,4.814483295618066,,
https://www.alpha.com/products/alpha|spirit_ham_with_melon|unknown,2025-09-10T19:04:49.280878,Alpha,alpha,Spirit Ham with Melon,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",dry,adult,10.382665038328817,2kg,5.191332519164408,,
https://www.alpha.com/products/alpha|spirit_lamb_with_cumin_canned_meatballs|unknown,2025-09-10T19:04:49.280923,Alpha,alpha,Spirit Lamb with Cumin Canned Meatballs,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",wet,adult,15.975627415855651,2kg,7.987813707927826,,
https://www.alpha.com/products/alpha|spirit_lamb_with_pear|unknown,2025-09-10T19:04:49.280959,Alpha,alpha,Spirit Lamb with Pear,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",dry,adult,9.821170924096498,2kg,4.910585462048249,,
https://www.alpha.com/products/alpha|spirit_multi_protein-the_only_one|unknown,2025-09-10T19:04:49.281004,Alpha,alpha,Spirit Multi Protein-The Only One,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",dry,adult,11.929566818075799,2kg,5.964783409037899,,
