url,scraped_at,brand,brand_slug,product_name,from_cache,ingredients,form,life_stage,price,pack_size,price_per_kg,jsonld,analytical_constituents
https://www.ambrosia.com/products/ambrosia|adult_all_breeds_beef__fresh_salmon|unknown,2025-09-10T19:04:49.283256,Ambrosia,ambrosia,Adult All Breeds Beef  Fresh Salmon,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",wet,,18.333347894120127,2kg,9.166673947060064,,
https://www.ambrosia.com/products/ambrosia|adult_all_breeds_chicken__fresh_salmon|unknown,2025-09-10T19:04:49.283301,Ambrosia,ambrosia,Adult All Breeds Chicken  Fresh Salmon,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",wet,,13.110553549332142,2kg,6.555276774666071,,
https://www.ambrosia.com/products/ambrosia|adult_all_breeds_chicken__veggies|unknown,2025-09-10T19:04:49.283349,Ambrosia,ambrosia,Adult All Breeds Chicken  Veggies,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",wet,,18.58563889696586,2kg,9.29281944848293,,
https://www.ambrosia.com/products/ambrosia|adult_all_breeds_fresh_turkey__duck|unknown,2025-09-10T19:04:49.283397,Ambrosia,ambrosia,Adult All Breeds Fresh Turkey  Duck,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",dry,,17.39793609352782,2kg,8.69896804676391,"{'@type': 'Product', 'name': 'Adult All Breeds Fresh Turkey  Duck', 'brand': {'@type': 'Brand', 'name': 'Ambrosia'}, 'offers': {'@type': 'Offer', 'price': 17.39793609352782, 'priceCurrency': 'EUR'}}",
https://www.ambrosia.com/products/ambrosia|adult_all_breeds_fresh_venison__lamb|unknown,2025-09-10T19:04:49.283445,Ambrosia,ambrosia,Adult All Breeds Fresh Venison  Lamb,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",dry,,14.57062738741729,2kg,7.285313693708645,"{'@type': 'Product', 'name': 'Adult All Breeds Fresh Venison  Lamb', 'brand': {'@type': 'Brand', 'name': 'Ambrosia'}, 'offers': {'@type': 'Offer', 'price': 14.57062738741729, 'priceCurrency': 'EUR'}}",
https://www.ambrosia.com/products/ambrosia|adult_all_breeds_salmon__rabbit|unknown,2025-09-10T19:04:49.283496,Ambrosia,ambrosia,Adult All Breeds Salmon  Rabbit,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",dry,,8.015003937798793,2kg,4.007501968899397,,
https://www.ambrosia.com/products/ambrosia|adult_large_breeds_fresh_turkey__chicken|unknown,2025-09-10T19:04:49.283543,Ambrosia,ambrosia,Adult Large Breeds Fresh Turkey  Chicken,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",dry,,18.113630680301828,2kg,9.056815340150914,,
https://www.ambrosia.com/products/ambrosia|adult_mini_breeds_fresh_salmon__chicken|unknown,2025-09-10T19:04:49.283594,Ambrosia,ambrosia,Adult Mini Breeds Fresh Salmon  Chicken,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",wet,,14.320850046660784,2kg,7.160425023330392,,
https://www.ambrosia.com/products/ambrosia|adult_mini_breeds_fresh_salmon__rabbit|unknown,2025-09-10T19:04:49.283642,Ambrosia,ambrosia,Adult Mini Breeds Fresh Salmon  Rabbit,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",dry,,12.765419924568295,2kg,6.382709962284148,"{'@type': 'Product', 'name': 'Adult Mini Breeds Fresh Salmon  Rabbit', 'brand': {'@type': 'Brand', 'name': 'Ambrosia'}, 'offers': {'@type': 'Offer', 'price': 12.765419924568295, 'priceCurrency': 'EUR'}}",
https://www.ambrosia.com/products/ambrosia|large_breed_puppy__growth_fresh_chicken|unknown,2025-09-10T19:04:49.283808,Ambrosia,ambrosia,Large Breed Puppy  Growth Fresh Chicken,False,"chicken, chicken meal, dha, calcium, rice, barley, peas, sweet potato",dry,,12.774616310822793,2kg,6.387308155411397,,
https://www.ambrosia.com/products/ambrosia|mediterranean_diet_adult_all_breeds_fresh_duck|unknown,2025-09-10T19:04:49.283882,Ambrosia,ambrosia,Mediterranean Diet Adult All Breeds Fresh Duck,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",wet,,9.074881563944471,2kg,4.5374407819722355,,
https://www.ambrosia.com/products/ambrosia|mediterranean_diet_all_breeds_fresh_sardine__tuna|unknown,2025-09-10T19:04:49.283943,Ambrosia,ambrosia,Mediterranean Diet All Breeds Fresh Sardine  Tuna,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",dry,adult,18.09444783478052,2kg,9.04722391739026,"{'@type': 'Product', 'name': 'Mediterranean Diet All Breeds Fresh Sardine  Tuna', 'brand': {'@type': 'Brand', 'name': 'Ambrosia'}, 'offers': {'@type': 'Offer', 'price': 18.09444783478052, 'priceCurrency': 'EUR'}}",
https://www.ambrosia.com/products/ambrosia|mediterranean_diet_senior__sterilized_fresh_sardine__cod|unknown,2025-09-10T19:04:49.284001,Ambrosia,ambrosia,Mediterranean Diet Senior  Sterilized Fresh Sardine  Cod,False,"chicken, chicken meal, glucosamine, chondroitin, rice, barley, peas, sweet potato",wet,,9.998145524841583,2kg,4.999072762420791,,
https://www.ambrosia.com/products/ambrosia|puppy__growth_chicken__fresh_fish|unknown,2025-09-10T19:04:49.284051,Ambrosia,ambrosia,Puppy  Growth Chicken  Fresh Fish,False,"chicken, chicken meal, dha, calcium, rice, barley, peas, sweet potato",dry,,17.138373273992684,2kg,8.569186636996342,,
https://www.ambrosia.com/products/ambrosia|puppy__growth_chicken__white_fish|unknown,2025-09-10T19:04:49.284100,Ambrosia,ambrosia,Puppy  Growth Chicken  White Fish,False,"chicken, chicken meal, dha, calcium, rice, barley, peas, sweet potato",dry,,18.945351246767395,2kg,9.472675623383697,,
https://www.ambrosia.com/products/ambrosia|senior__sterilised_fresh_turkey__salmon|unknown,2025-09-10T19:04:49.284147,Ambrosia,ambrosia,Senior  Sterilised Fresh Turkey  Salmon,False,"chicken, chicken meal, glucosamine, chondroitin, rice, barley, peas, sweet potato",dry,,15.267625780518923,2kg,7.6338128902594615,,
https://www.ambrosia.com/products/ambrosia|senior__sterilized_all_breeds_fresh_turkey|unknown,2025-09-10T19:04:49.284197,Ambrosia,ambrosia,Senior  Sterilized All Breeds Fresh Turkey,False,"chicken, chicken meal, glucosamine, chondroitin, rice, barley, peas, sweet potato",dry,,14.52851773201658,2kg,7.26425886600829,,
https://www.ambrosia.com/products/ambrosia|senior__sterilized_turkey__white_fish|unknown,2025-09-10T19:04:49.284243,Ambrosia,ambrosia,Senior  Sterilized Turkey  White Fish,False,"chicken, chicken meal, glucosamine, chondroitin, rice, barley, peas, sweet potato",dry,,18.815762389959026,2kg,9.407881194979513,"{'@type': 'Product', 'name': 'Senior  Sterilized Turkey  White Fish', 'brand': {'@type': 'Brand', 'name': 'Ambrosia'}, 'offers': {'@type': 'Offer', 'price': 18.815762389959026, 'priceCurrency': 'EUR'}}",
