url,scraped_at,brand,brand_slug,product_name,from_cache,ingredients,form,life_stage,price,pack_size,price_per_kg,jsonld,analytical_constituents
https://www.arden.com/products/arden|grange_adult_chicken__rice|dry,2025-09-10T19:04:49.286739,Arden Grange,arden_grange,Adult Chicken  Rice,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",,,9.694608631153988,2kg,4.847304315576994,,
https://www.arden.com/products/arden|grange_adult_grain_free_duck|unknown,2025-09-10T19:04:49.286771,Arden Grange,arden_grange,Adult Grain Free Duck,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",wet,,9.419051038566932,2kg,4.709525519283466,,
https://www.arden.com/products/arden|grange_adult_grain_free_lamb|unknown,2025-09-10T19:04:49.286816,Arden Grange,arden_grange,Adult Grain Free Lamb,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",dry,,18.03213137454814,2kg,9.01606568727407,,
https://www.arden.com/products/arden|grange_adult_grain_free_salmon|unknown,2025-09-10T19:04:49.286862,Arden Grange,arden_grange,Adult Grain Free Salmon,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",wet,,12.024311759617362,2kg,6.012155879808681,,
https://www.arden.com/products/arden|grange_adult_grain_free_turkey|unknown,2025-09-10T19:04:49.286904,Arden Grange,arden_grange,Adult Grain Free Turkey,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",dry,,10.858868998388331,2kg,5.4294344991941665,"{'@type': 'Product', 'name': 'Grange Adult Grain Free Turkey', 'brand': {'@type': 'Brand', 'name': 'Arden'}, 'offers': {'@type': 'Offer', 'price': 10.858868998388333, 'priceCurrency': 'EUR'}}",
https://www.arden.com/products/arden|grange_adult_lamb__rice|dry,2025-09-10T19:04:49.286958,Arden Grange,arden_grange,Adult Lamb  Rice,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",,,19.714177740497,2kg,9.8570888702485,,
https://www.arden.com/products/arden|grange_adult_large_breed_sensitive|unknown,2025-09-10T19:04:49.286989,Arden Grange,arden_grange,Adult Large Breed Sensitive,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",dry,,9.494149714627971,2kg,4.7470748573139865,"{'@type': 'Product', 'name': 'Grange Adult Large Breed Sensitive', 'brand': {'@type': 'Brand', 'name': 'Arden'}, 'offers': {'@type': 'Offer', 'price': 9.494149714627973, 'priceCurrency': 'EUR'}}",
https://www.arden.com/products/arden|grange_adult_light_chicken__rice|dry,2025-09-10T19:04:49.287038,Arden Grange,arden_grange,Adult Light Chicken  Rice,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",,,19.41024749250174,2kg,9.70512374625087,,
https://www.arden.com/products/arden|grange_adult_mini_lamb__rice|dry,2025-09-10T19:04:49.287072,Arden Grange,arden_grange,Adult Mini Lamb  Rice,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",,,11.521045177068755,2kg,5.7605225885343785,,
https://www.arden.com/products/arden|grange_adult_pork__rice|unknown,2025-09-10T19:04:49.287103,Arden Grange,arden_grange,Adult Pork  Rice,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",wet,,11.156037708223804,2kg,5.578018854111902,,
https://www.arden.com/products/arden|grange_adult_premium_chicken__rice|dry,2025-09-10T19:04:49.287151,Arden Grange,arden_grange,Adult Premium Chicken  Rice,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",,,8.902391966974983,2kg,4.451195983487492,,
https://www.arden.com/products/arden|grange_adult_prestige_chicken|dry,2025-09-10T19:04:49.287185,Arden Grange,arden_grange,Adult Prestige Chicken,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",,,10.883746985706289,2kg,5.441873492853143,,
