url,scraped_at,brand,brand_slug,product_name,from_cache,ingredients,form,life_stage,price,pack_size,price_per_kg,jsonld,analytical_constituents
https://www.bakers.com/products/bakers|adult_beef__vegetable|dry,2025-09-10T19:04:49.290175,Bakers,bakers,Adult Beef  Vegetable,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",,,12.079886540790943,2kg,6.039943270395471,,
https://www.bakers.com/products/bakers|adult_chicken__vegetable|dry,2025-09-10T19:04:49.290209,Bakers,bakers,Adult Chicken  Vegetable,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",,,12.0725472150075,2kg,6.03627360750375,,
https://www.bakers.com/products/bakers|adult_meaty_meals_beef|dry,2025-09-10T19:04:49.290244,Bakers,bakers,Adult Meaty Meals Beef,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",,,10.761083904981874,2kg,5.380541952490937,,
https://www.bakers.com/products/bakers|adult_meaty_meals_chicken|dry,2025-09-10T19:04:49.290278,Bakers,bakers,Adult Meaty Meals Chicken,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",,,13.075695909656702,2kg,6.537847954828351,,
https://www.bakers.com/products/bakers|adult_small_breed_beef__vegetable|dry,2025-09-10T19:04:49.290312,Bakers,bakers,Adult Small Breed Beef  Vegetable,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",,,14.155664173965853,2kg,7.0778320869829265,,
https://www.bakers.com/products/bakers|adult_small_breed_chicken__vegetable|dry,2025-09-10T19:04:49.290345,Bakers,bakers,Adult Small Breed Chicken  Vegetable,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",,,12.35920688042304,2kg,6.17960344021152,"{'@type': 'Product', 'name': 'Adult Small Breed Chicken  Vegetable', 'brand': {'@type': 'Brand', 'name': 'Bakers'}, 'offers': {'@type': 'Offer', 'price': 12.35920688042304, 'priceCurrency': 'EUR'}}",
https://www.bakers.com/products/bakers|adult_small_breed_meaty_meals_beef|dry,2025-09-10T19:04:49.290383,Bakers,bakers,Adult Small Breed Meaty Meals Beef,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",,,11.609801920131224,2kg,5.804900960065612,,
https://www.bakers.com/products/bakers|adult_small_breed_meaty_meals_chicken|dry,2025-09-10T19:04:49.290416,Bakers,bakers,Adult Small Breed Meaty Meals Chicken,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",,,9.443680239410599,2kg,4.721840119705299,"{'@type': 'Product', 'name': 'Adult Small Breed Meaty Meals Chicken', 'brand': {'@type': 'Brand', 'name': 'Bakers'}, 'offers': {'@type': 'Offer', 'price': 9.443680239410599, 'priceCurrency': 'EUR'}}",
https://www.bakers.com/products/bakers|adult_weight_control_chicken_rice__vegetable|dry,2025-09-10T19:04:49.290455,Bakers,bakers,Adult Weight Control Chicken Rice  Vegetable,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",,,12.582423928968206,2kg,6.291211964484103,,
https://www.bakers.com/products/bakers|puppy_chicken__vegetable|dry,2025-09-10T19:04:49.290540,Bakers,bakers,Puppy Chicken  Vegetable,False,"chicken, chicken meal, dha, calcium, rice, barley, peas, sweet potato",,,18.385661456675507,2kg,9.192830728337753,"{'@type': 'Product', 'name': 'Puppy Chicken  Vegetable', 'brand': {'@type': 'Brand', 'name': 'Bakers'}, 'offers': {'@type': 'Offer', 'price': 18.385661456675507, 'priceCurrency': 'EUR'}}",
https://www.bakers.com/products/bakers|senior_chicken_rice__vegetable|dry,2025-09-10T19:04:49.290577,Bakers,bakers,Senior Chicken Rice  Vegetable,False,"chicken, chicken meal, glucosamine, chondroitin, rice, barley, peas, sweet potato",,,19.673253948213404,2kg,9.836626974106702,,
https://www.bakers.com/products/bakers|small_dog_sensitive_tummy|unknown,2025-09-10T19:04:49.290613,Bakers,bakers,Small Dog Sensitive Tummy,False,"chicken, chicken meal, rice, barley, peas, sweet potato, chicken fat, flaxseed",dry,adult,15.332629224348642,2kg,7.666314612174321,"{'@type': 'Product', 'name': 'Small Dog Sensitive Tummy', 'brand': {'@type': 'Brand', 'name': 'Bakers'}, 'offers': {'@type': 'Offer', 'price': 15.332629224348642, 'priceCurrency': 'EUR'}}",
