our_product_key,opff_id,score,components,status,brand_slug
"applaws|adult_chicken,_salmon__vegetables|wet",5060122491433,0.8712121212121212,"{""token_jaccard"": 1.0, ""protein_overlap"": 1.0, ""char_fuzzy"": 0.6060606060606061, ""form_lifestage"": 0.5}",auto,applaws
"applaws|applaws_adult_chicken,_salmon_&_vegetables|wet",5060122491433,0.8712121212121212,"{""token_jaccard"": 1.0, ""protein_overlap"": 1.0, ""char_fuzzy"": 0.6060606060606061, ""form_lifestage"": 0.5}",auto,applaws
affinity|advance_medium_puppy|unknown,8410650200408,0.6833333333333333,"{""token_jaccard"": 1.0, ""protein_overlap"": 0, ""char_fuzzy"": 0.6666666666666666, ""form_lifestage"": 0.5}",needs_review,affinity
acana|acana_puppy_large_breed_recipe|dry,0064992500115,0.6447368421052632,"{""token_jaccard"": 1.0, ""protein_overlap"": 0, ""char_fuzzy"": 0.47368421052631576, ""form_lifestage"": 0.5}",needs_review,acana
acana|acana_puppy_recipe|dry,0064992500115,0.6269230769230769,"{""token_jaccard"": 1.0, ""protein_overlap"": 0, ""char_fuzzy"": 0.38461538461538464, ""form_lifestage"": 0.5}",needs_review,acana
acana|acana_puppy_small_breed_recipe|dry,0064992500115,0.6342105263157896,"{""token_jaccard"": 1.0, ""protein_overlap"": 0, ""char_fuzzy"": 0.42105263157894735, ""form_lifestage"": 0.5}",needs_review,acana
acana|puppy_large_breed_recipe|dry,0064992500115,0.6447368421052632,"{""token_jaccard"": 1.0, ""protein_overlap"": 0, ""char_fuzzy"": 0.47368421052631576, ""form_lifestage"": 0.5}",needs_review,acana
acana|puppy_recipe|dry,0064992500115,0.6269230769230769,"{""token_jaccard"": 1.0, ""protein_overlap"": 0, ""char_fuzzy"": 0.38461538461538464, ""form_lifestage"": 0.5}",needs_review,acana
acana|puppy_small_breed_recipe|dry,0064992500115,0.6342105263157896,"{""token_jaccard"": 1.0, ""protein_overlap"": 0, ""char_fuzzy"": 0.42105263157894735, ""form_lifestage"": 0.5}",needs_review,acana
advance|adult_medium|dry,8410650160467,0.6217948717948718,"{""token_jaccard"": 1.0, ""protein_overlap"": 0, ""char_fuzzy"": 0.358974358974359, ""form_lifestage"": 0.5}",needs_review,advance
advance|advance_yorkshire_terrier_adult|dry,8410650160467,0.646,"{""token_jaccard"": 1.0, ""protein_overlap"": 0, ""char_fuzzy"": 0.48, ""form_lifestage"": 0.5}",needs_review,advance
affinity|advance_adult_french_bulldog|unknown,8410650162270,0.08571428571428572,"{""token_jaccard"": 0.0, ""protein_overlap"": 0, ""char_fuzzy"": 0.42857142857142855, ""form_lifestage"": 0.0}",rejected,affinity
affinity|advance_maxi_adult_chicken__rice|unknown,8410650200408,0.08800000000000001,"{""token_jaccard"": 0.0, ""protein_overlap"": 0.0, ""char_fuzzy"": 0.44, ""form_lifestage"": 0.0}",rejected,affinity
affinity|advance_maxi_light_chicken__rice|unknown,8410650162270,0.10566037735849057,"{""token_jaccard"": 0.0, ""protein_overlap"": 0.0, ""char_fuzzy"": 0.5283018867924528, ""form_lifestage"": 0.0}",rejected,affinity
affinity|advance_maxi_puppy_chicken__rice|unknown,8410650200408,0.428,"{""token_jaccard"": 0.5, ""protein_overlap"": 0.0, ""char_fuzzy"": 0.64, ""form_lifestage"": 0.5}",rejected,affinity
affinity|advance_maxi_senior_vitality_chicken__rice|unknown,3700260215691,0.36363636363636365,"{""token_jaccard"": 0.5, ""protein_overlap"": 0.0, ""char_fuzzy"": 0.3181818181818182, ""form_lifestage"": 0.5}",rejected,affinity
affinity|advance_medium_adult_chicken__rice|unknown,8410650200408,0.1,"{""token_jaccard"": 0.0, ""protein_overlap"": 0.0, ""char_fuzzy"": 0.5, ""form_lifestage"": 0.0}",rejected,affinity
affinity|advance_mini_light_chicken__rice|unknown,8410650162270,0.10566037735849057,"{""token_jaccard"": 0.0, ""protein_overlap"": 0.0, ""char_fuzzy"": 0.5283018867924528, ""form_lifestage"": 0.0}",rejected,affinity
affinity|advance_mini_senior_8_chicken__rice|unknown,3700260215691,0.3790123456790123,"{""token_jaccard"": 0.5, ""protein_overlap"": 0.0, ""char_fuzzy"": 0.3950617283950617, ""form_lifestage"": 0.5}",rejected,affinity
